,단어명,사회1분기빈도수,사회2분기빈도수,사회3분기빈도수,사회4분기빈도수,총빈도수
149,고소,30,19,21,10,80
276,판매,19,15,32,13,79
287,시도,19,31,18,11,79
356,위반,16,19,25,19,79
133,동료,33,18,20,8,79
222,벌금,23,22,22,12,79
135,취소,32,12,27,7,78
165,연기,29,12,27,10,78
345,장애인,17,27,16,18,78
207,결과,23,23,21,10,77
209,외국인,23,16,19,19,77
1588,양승태,4,22,29,22,77
248,필요,21,15,23,17,76
1092,만취,6,13,29,28,76
275,노인,19,21,21,15,76
177,성범죄,28,14,23,11,76
466,시위,13,23,29,10,75
433,대법,14,24,27,10,75
485,음주,13,18,26,18,75
137,유족,32,10,26,7,75
319,시설,18,22,22,13,75
286,상습,19,23,21,12,75
349,국가,17,15,25,18,75
333,의견,17,26,14,18,75
75,소방,44,9,13,9,75
606,청년,11,33,18,12,74
419,갈등,14,24,20,16,74
141,자금,32,12,26,4,74
292,발표,19,22,23,10,74
317,학대,18,16,27,13,74
204,차례,24,17,24,8,73
160,부장,29,9,19,16,73
172,아빠,28,11,20,14,73
213,단속,23,12,22,16,73
173,다른,28,22,17,6,73
309,사용,18,20,20,15,73
372,공장,16,21,20,15,72
205,현직,24,17,13,18,72
399,대법원,15,24,23,10,72
197,직장,25,19,16,11,71
242,소방관,21,17,27,6,71
195,비상,25,15,22,9,71
220,가해자,23,20,11,17,71
231,성매매,22,17,25,7,71
450,근로자,14,28,19,10,71
126,조치,34,13,15,9,71
253,금지,21,11,20,18,70
470,도주,13,20,21,16,70
194,기간,25,19,17,9,70
156,진상,29,21,15,5,70
241,부모,21,31,6,12,70
517,확정,12,24,19,15,70
233,보이스피싱,22,13,26,9,70
588,사법,11,13,22,24,70
284,도로,19,15,29,7,70
956,시험,7,18,23,22,70
405,고교,15,17,21,16,69
440,범행,14,19,21,15,69
268,학원,20,32,10,6,68
377,치료,16,20,18,14,68
472,반발,13,16,25,14,68
316,법정,18,19,25,6,68
214,일당,23,16,21,8,68
351,방치,17,15,24,12,68
313,지역,18,13,17,20,68
240,공항,22,13,32,1,68
216,화장실,23,17,19,8,67
444,하나,14,15,21,17,67
368,여부,16,14,25,12,67
1166,쓰레기,6,30,25,6,67
269,강화,20,14,20,13,67
352,설치,16,18,24,9,67
202,장관,24,15,19,9,67
151,대피,30,14,17,6,67
193,시간,25,15,23,4,67
396,절도,15,22,21,9,67
97,포항,39,11,15,2,67
394,학부모,15,6,17,28,66
416,유죄,14,18,23,11,66
278,투자,19,7,32,8,66
186,추행,26,15,19,6,66
221,여명,23,16,13,13,65
243,친구,21,12,21,11,65
290,아동,19,17,21,8,65
326,제자,17,27,14,7,65
320,업무,18,19,14,14,65
252,임금,21,24,15,5,65
344,청소년,17,18,22,8,65
498,마약,13,17,13,22,65
174,할머니,28,12,17,7,64
361,농단,16,13,15,20,64
57,이윤택,53,2,7,1,63
570,고용,12,28,15,8,63
383,정보,15,19,20,9,63
229,눈물,22,13,18,10,63
488,고속도로,13,16,21,13,63
336,센터,17,19,17,10,63
347,정황,17,13,21,12,63
198,진술,25,11,22,5,63
420,규명,14,20,19,10,63
298,합의,18,22,17,6,63
630,사법부,11,18,21,12,62
237,수색,22,23,14,3,62
230,출동,22,18,15,7,62
430,폭력,14,17,18,13,62
873,병역,8,12,13,29,62
154,결혼,29,9,15,8,61
267,중국,20,15,10,16,61
338,부부,17,18,15,11,61
325,교통사고,17,20,18,6,61
657,조폭,10,26,20,5,61
196,근무,25,20,12,4,61
618,유포,11,29,14,7,61
136,규모,32,12,9,7,60
554,대학생,12,19,19,10,60
155,운동,29,19,8,4,60
146,방화,30,15,11,4,60
251,어선,21,11,19,9,60
461,때문,13,18,17,12,60
346,강도,17,6,28,9,60
1024,증가,6,16,25,12,59
270,인권,20,14,18,7,59
442,문건,14,16,21,8,59
280,지시,19,13,19,8,59
459,가장,13,15,22,9,59
701,일부,9,17,24,9,59
754,가짜,9,10,24,16,59
353,부정,16,18,13,12,59
350,지사,17,3,28,10,58
453,성관계,14,20,15,9,58
78,화폐,44,7,4,3,58
2354,강진,1,37,19,1,58
456,확보,14,20,15,9,58
184,강원랜드,26,18,11,3,58
663,노동자,10,20,15,12,57
359,덜미,16,10,22,9,57
388,원인,15,12,17,13,57
402,서울대,15,17,23,2,57
437,주차,14,7,33,3,57
645,초등생,10,23,18,6,57
277,시장,19,8,17,13,57
224,금품,23,13,17,4,57
266,공작,20,13,15,9,57
300,집중,18,9,24,6,57
475,국회,13,18,17,8,56
308,출신,18,18,12,8,56
318,침해,18,15,14,9,56
175,사퇴,28,13,7,8,56
860,충돌,8,24,15,8,55
201,제출,24,11,12,8,55
589,이명박,11,19,14,11,55
358,계속,16,11,18,10,55
624,급증,11,9,22,12,54
954,촉구,7,22,15,10,54
566,경북,12,11,19,12,54
400,지하철,15,13,12,14,54
410,자녀,15,21,11,7,54
327,개혁,17,15,15,7,54
183,자살,26,16,6,6,54
595,유통,11,10,21,12,54
83,가상,42,8,1,3,54
332,가로,17,13,21,3,54
223,지휘,23,20,5,6,54
2328,혐오,1,6,37,9,53
301,관계,18,17,11,7,53
471,개선,13,22,11,7,53
304,법무부,18,18,13,4,53
256,여친,20,16,11,6,53
424,총장,14,20,14,5,53
152,귀가,30,11,6,6,53
295,동거,19,21,9,4,53
820,진행,8,19,17,9,53
729,선거,9,29,9,6,53
761,위기,9,11,21,12,53
329,본격,17,16,16,4,53
357,호소,16,12,14,11,53
378,역대,16,7,26,3,52
392,위협,15,12,16,9,52
170,사망자,29,9,8,6,52
506,개입,13,14,18,7,52
282,부실,19,13,10,10,52
310,작업,18,12,17,5,52
636,담배,10,19,17,6,52
720,헌재,9,14,23,5,51
496,원장,13,13,15,10,51
832,그룹,8,7,34,2,51
272,얼굴,19,14,11,7,51
239,모집,22,8,11,10,51
1168,양심,6,12,12,21,51
426,투신,14,8,22,7,51
441,청탁,14,21,15,1,51
753,속도,9,15,19,8,51
438,용의자,14,20,5,12,51
547,진실,12,12,17,10,51
324,주택,17,10,16,7,50
468,경찰청장,13,20,7,10,50
469,의식,13,18,14,5,50
699,모녀,10,33,4,3,50
861,제한,8,20,11,11,50
246,의무,21,10,10,9,50
341,단독,17,10,15,8,50
406,이용,15,14,16,5,50
477,불구속,13,23,8,6,50
522,대신,12,9,18,11,50
544,보험,12,6,17,15,50
549,마을,12,16,17,5,50
828,거리,8,19,17,6,50
311,주인,18,12,13,7,50
716,적용,9,18,14,9,50
809,특수,8,14,17,11,50
249,변호인,21,14,10,5,50
655,사태,10,15,15,10,50
389,시대,15,11,18,6,50
940,회사,7,17,17,9,50
535,기준,12,14,14,9,49
323,가능,17,16,12,4,49
734,장애,9,10,16,14,49
508,입원,12,12,14,11,49
411,이슈,14,21,5,9,49
1538,홍대,4,35,6,4,49
425,북한,14,19,11,5,49
181,극단,27,6,11,5,49
801,요청,8,18,17,6,49
294,인명,19,9,14,7,49
281,진화,19,12,11,7,49
525,처리,12,16,8,12,48
288,문화,19,12,7,10,48
511,비판,12,16,10,10,48
609,시민단체,11,15,15,7,48
640,건설,10,12,24,2,48
961,전자,7,13,19,9,48
536,광고,12,13,16,7,48
315,전직,18,10,14,6,48
369,건강,16,15,6,11,48
363,박원순,16,7,19,6,48
436,편의점,14,7,22,4,47
283,경비원,19,8,9,11,47
513,도심,12,12,14,9,47
495,해결,13,20,7,7,47
391,위험,15,12,13,7,47
539,무단,12,22,10,3,47
262,행위,20,9,8,10,47
550,훼손,12,8,16,11,47
742,주차장,9,9,25,4,47
557,미수,12,21,8,6,47
414,강요,14,14,7,12,47
791,동생,8,9,7,23,47
691,특별,10,8,21,8,47
621,동영상,11,13,9,14,47
362,사찰,16,15,10,6,47
439,상대,14,10,12,11,47
428,결론,14,15,12,6,47
480,자유,13,12,15,6,46
583,나선,11,19,12,4,46
217,무료,23,9,11,3,46
908,추적,7,15,16,8,46
447,감형,14,9,11,12,46
254,새벽,20,9,13,4,46
1354,예고,5,15,21,5,46
259,여자,20,11,12,3,46
1577,대란,4,25,13,4,46
952,목사,7,18,7,14,46
435,소환조사,14,12,15,5,46
305,모든,18,11,8,9,46
250,투입,21,12,11,2,46
257,보고,20,13,11,2,46
364,참여,16,11,13,6,46
853,교통,8,9,13,16,46
500,정책,13,11,13,9,46
614,이사장,11,25,6,3,45
486,머리,13,11,17,4,45
648,알바,10,17,16,2,45
821,과태료,8,18,11,8,45
398,경기,15,10,11,9,45
1361,석방,5,14,18,8,45
451,보수,14,12,7,12,45
748,강남,9,18,12,6,45
478,생각,13,12,16,4,45
565,세계,12,12,11,10,45
964,식약처,7,12,17,9,45
777,법정구속,9,11,14,11,45
365,선택,16,9,10,10,45
1148,폭발,6,25,4,10,45
1304,도박,5,12,17,11,45
412,남친,14,5,11,15,45
1974,난동,2,10,25,8,45
1154,공범,6,8,15,16,45
899,개최,7,16,16,5,44
746,사이트,9,11,18,6,44
1478,침대,4,33,6,1,44
574,항소,12,13,11,8,44
247,연장,21,5,13,5,44
1150,판단,6,15,15,8,44
373,승객,16,10,12,6,44
381,인상,16,10,5,13,44
735,사상,9,10,19,6,44
582,보호,11,10,12,11,44
620,어디,11,16,7,10,44
999,사립,7,1,1,35,44
521,제기,12,11,16,5,44
482,시행,13,11,14,6,44
208,남자,23,8,10,3,44
418,인근,14,11,16,3,44
497,준비,13,22,8,1,44
1221,택배,5,20,12,7,44
765,접촉,9,10,23,2,44
265,희생,20,12,8,4,44
303,합격,18,15,7,4,44
492,이틀,13,16,11,4,44
545,보상,12,7,11,13,43
328,발언,17,12,13,1,43
331,처분,17,5,12,9,43
649,규제,10,10,14,9,43
538,당국,12,7,16,8,43
627,부당,11,15,13,4,43
