,단어명,사회1분기빈도수,사회2분기빈도수,사회3분기빈도수,사회4분기빈도수,총빈도수
1431,오토바이,4,5,15,2,26
800,중상,8,12,5,1,26
653,보험금,10,2,10,4,26
715,건보,9,6,6,5,26
806,구속기소,8,6,7,5,26
920,집행,7,8,5,6,26
1504,노출,4,15,5,2,26
548,재단,12,7,5,2,26
658,바로,10,9,6,1,26
925,마트,7,8,8,3,26
926,신동빈,7,10,7,2,26
928,새마을금고,7,3,14,2,26
1319,해명,5,6,7,8,26
1114,롯데,6,8,9,3,26
1280,발부,5,10,5,6,26
1029,불만,6,12,7,1,26
1230,항의,5,8,11,2,26
1306,급식,5,4,13,4,26
1228,경비,5,9,10,2,26
781,정치자금,9,3,12,2,26
596,기억,11,5,5,5,26
876,노래방,8,6,8,4,26
676,내사,10,8,5,3,26
1988,허가,2,10,7,7,26
847,인터넷,8,5,8,5,26
628,인재,11,6,7,2,26
976,생명,7,6,11,2,26
1137,수준,6,10,5,5,26
1238,강력,5,8,7,5,25
703,정말,9,5,8,3,25
812,상황,8,9,5,3,25
1773,허용,3,4,9,9,25
792,강사,8,7,8,2,25
520,반성,12,3,4,6,25
772,시인,9,7,8,1,25
968,서도,7,7,10,1,25
408,입학,15,3,4,3,25
779,여교사,9,5,3,8,25
982,질환,7,5,10,3,25
1079,수익,6,7,6,6,25
960,걱정,7,5,10,3,25
764,최종,9,5,10,1,25
689,유가족,10,5,6,4,25
799,케어,8,8,6,3,25
805,여자친구,8,8,3,6,25
1245,동네,5,9,7,4,25
651,문무,10,13,1,1,25
1006,성공,7,5,5,8,25
1307,소장,5,9,9,2,25
836,지난해,8,3,7,7,25
563,측근,12,2,9,2,25
1035,법률,6,8,8,3,25
1031,무시,6,9,7,3,25
1291,선정,5,10,8,2,25
1457,나라,4,9,8,4,25
1281,목소리,5,5,8,7,25
1181,뇌물수수,6,9,5,5,25
917,선발,7,9,7,2,25
1367,교회,5,5,7,8,25
819,명품,8,5,3,9,25
2012,모델,2,16,5,2,25
393,마스크,15,6,1,3,25
1369,일반,5,10,4,6,25
1113,불허,6,5,9,5,25
2118,정전,2,1,21,1,25
849,꼼수,8,3,12,2,25
1032,훈련,6,9,5,4,24
721,명령,9,7,7,1,24
1540,인증,4,9,9,2,24
2112,유해,2,8,9,5,24
1007,애인,7,8,7,2,24
747,선수,9,5,8,2,24
1797,공정위,3,6,14,1,24
1289,비율,5,9,5,5,24
1552,위조,4,5,7,8,24
1623,전망,3,7,12,2,24
1215,반박,5,6,8,5,24
1346,시비,5,3,11,5,24
1820,중학생,3,8,10,3,24
1241,평화,5,11,7,1,24
767,차단,9,5,8,2,24
745,노무현,9,8,5,2,24
1576,체류,4,3,12,5,24
314,이중근,18,1,2,3,24
1468,음식,4,9,8,3,24
530,중고,12,5,3,4,24
813,모욕,8,8,4,4,24
1485,연금,4,6,9,5,24
892,수입,7,5,7,5,24
851,김해,8,1,12,3,24
644,별세,10,5,7,2,24
911,수업,7,10,5,2,24
823,최악,8,3,10,3,24
540,가방,12,1,5,6,24
679,권고,10,9,3,2,24
1147,배달,6,10,7,1,24
924,복귀,7,7,9,1,24
1706,알몸,3,3,3,15,24
533,파기,12,4,6,2,24
531,이동,12,3,7,2,24
1108,뿌리,6,8,8,2,24
569,육아,12,8,3,1,24
866,촛불,8,6,3,7,24
2047,기무사,2,2,15,5,24
1106,지방선거,6,12,4,2,24
1685,규탄,3,8,2,11,24
590,미끼,11,6,5,2,24
656,기획,10,6,3,5,24
874,불복,8,8,6,2,24
1856,드론,2,12,5,5,24
605,정규직,11,6,3,4,24
1087,종교,6,1,6,11,24
1253,안해,5,9,8,2,24
1278,회수,5,5,9,5,24
1140,대부분,6,7,2,8,23
2142,연구,2,6,9,6,23
1146,구역,6,6,6,5,23
1275,복구,5,6,7,5,23
1201,억대,5,10,6,2,23
1440,행인,4,6,7,6,23
1136,혼자,6,7,4,6,23
1133,진보,6,9,3,5,23
1443,해소,4,7,7,5,23
1041,공식,6,5,9,3,23
1584,보석,4,11,4,4,23
1060,노총,6,9,4,4,23
1062,절차,6,6,7,4,23
2241,아시아나,1,2,19,1,23
1190,소년원,5,4,6,8,23
1208,금융,5,9,5,4,23
1295,파악,5,5,11,2,23
1196,고양,5,3,2,13,23
1160,알선,6,3,11,3,23
817,비용,8,4,7,4,23
949,상사,7,9,6,1,23
639,월급,10,4,8,1,23
1792,방법,3,8,8,4,23
970,도움,7,9,5,2,23
750,진료,9,3,6,5,23
1707,스마트폰,3,7,6,7,23
741,둔기,9,8,5,1,23
1909,한강,2,6,12,3,23
937,부하,7,3,11,2,23
1728,언제,3,11,6,3,23
646,감시,10,5,4,4,23
985,자체,7,8,4,4,23
981,종합,7,2,6,8,23
664,정상,10,9,1,3,23
980,사흘,7,4,8,4,23
685,형량,10,3,6,4,23
591,침묵,11,4,6,2,23
673,은행,10,4,5,4,23
872,중요,8,5,5,5,23
1784,민원,3,5,13,2,23
1615,추돌,3,13,5,2,23
889,탈세,8,6,6,3,23
1019,감소,6,7,9,1,23
795,막말,8,8,5,2,23
527,인구,12,3,5,3,23
551,자신,12,4,6,1,23
1086,주목,6,4,9,3,22
1095,은폐,6,4,7,5,22
955,수습,7,5,3,7,22
2235,여름,1,7,13,1,22
900,교체,7,6,5,4,22
1475,근절,4,7,6,5,22
2041,음란물,2,6,3,11,22
1757,언론,3,11,5,3,22
692,전기,10,2,8,2,22
683,군인,10,3,7,2,22
1080,체납,6,6,3,7,22
1251,종료,5,7,7,3,22
1737,신도,3,8,6,5,22
1736,공천,3,7,11,1,22
1351,몸살,5,4,10,3,22
1787,반복,3,7,8,4,22
1107,면허,6,4,6,6,22
724,장치,9,2,5,6,22
1191,무사,5,8,6,3,22
1691,회삿돈,3,3,8,8,22
1142,식품,6,3,8,5,22
1124,도시,6,5,6,5,22
2337,경제,1,3,10,8,22
1403,대출,4,6,7,5,22
1493,거짓말,4,8,6,4,22
793,근로,8,8,1,5,22
1198,배임,5,8,8,1,22
918,포함,7,8,5,2,22
858,뺑소니,8,3,4,7,22
632,요양,11,3,3,5,22
600,수도권,11,5,3,3,22
1300,조성,5,7,8,2,22
1005,지속,7,4,9,2,22
1298,차장,5,6,8,3,22
494,암매장,13,2,6,1,22
577,크레인,12,6,3,1,22
997,충남,7,3,6,6,22
1315,삭제,5,8,6,3,22
1853,주년,2,9,7,4,22
1269,무산,5,8,3,6,22
1594,구멍,4,9,4,5,22
1009,법관,7,3,5,7,22
1025,반려견,6,6,7,3,22
1065,장자연,6,10,2,4,22
1050,명의,6,5,5,6,22
1334,고장,5,8,4,5,22
2069,통일,2,7,12,1,22
1654,앞바다,3,7,10,2,22
993,사무실,7,7,4,4,22
1254,손해배상,5,6,9,2,22
906,사례,7,8,2,4,21
1003,협회,7,7,5,2,21
1499,의뢰,4,6,5,6,21
1724,출국,3,12,3,3,21
972,등록,7,4,4,6,21
890,순직,7,5,8,1,21
1143,출근길,6,2,6,7,21
1657,해당,3,7,7,4,21
1288,불가피,5,2,10,4,21
1605,가격,3,7,9,2,21
886,중형,8,5,6,2,21
1189,차로,5,8,4,4,21
1182,진입,6,3,5,7,21
1742,시급,3,6,4,8,21
1452,지정,4,8,5,4,21
1765,결함,3,2,14,2,21
871,의회,8,3,8,2,21
848,대기,8,3,9,1,21
862,이송,8,4,7,2,21
375,부영,16,1,2,2,21
915,불명,7,3,10,1,21
2340,외국,1,7,11,2,21
1293,직업,5,6,5,5,21
1259,가슴,5,9,6,1,21
1514,열차,4,5,10,2,21
948,장기,7,9,2,3,21
654,타고,10,4,3,4,21
757,헌법,9,6,5,1,21
1822,사무장,3,11,2,5,21
950,지지자,7,8,5,1,21
1505,옥상,4,6,6,5,21
1632,프로그램,3,4,8,6,21
1349,카톡,5,8,4,4,21
935,접수,7,9,2,3,21
1054,전체,6,2,11,2,21
2053,원정,2,1,6,12,21
696,원세훈,10,7,3,1,21
1248,선생님,5,8,5,3,21
963,스님,7,4,8,2,21
1631,발암,3,8,9,1,21
1655,독도,3,5,7,6,21
1385,하늘,4,7,2,8,21
1643,정신,3,5,7,6,21
824,무효,8,6,4,2,20
443,출마,14,3,1,2,20
1330,태극기,5,5,6,4,20
835,취한,8,4,5,3,20
1347,차질,5,2,9,4,20
1432,중인,4,7,5,4,20
1761,노력,3,9,4,4,20
1395,우선,4,6,6,4,20
700,타이어,9,5,4,2,20
1204,회복,5,6,3,6,20
751,수원,9,2,8,1,20
1846,최근,2,3,6,9,20
1807,가입,3,3,9,5,20
1852,구매,2,4,7,7,20
744,분양,9,1,7,3,20
1877,강서,2,1,5,12,20
769,외부,9,3,4,4,20
1260,이전,5,2,10,3,20
1794,납품,3,6,7,4,20
1276,규정,5,3,10,2,20
587,고성,11,6,1,2,20
1229,당시,5,8,4,3,20
722,조윤선,9,1,9,1,20
1424,연인,4,7,7,2,20
702,공부,9,6,4,1,20
1021,여행,6,5,7,2,20
1686,공동,3,6,6,5,20
1069,최저,6,5,7,2,20
1127,불가,6,3,7,4,20
916,당한,7,5,4,4,20
1118,구한,6,6,4,4,20
1711,실패,3,6,9,2,20
1110,권리,6,4,6,4,20
1502,환경부,4,10,3,3,20
939,휴대폰,7,5,3,5,20
2256,포르노,1,3,1,15,20
2060,선처,2,9,7,2,20
2230,내용,1,5,11,3,20
974,천안,7,5,4,4,20
1553,상자,4,4,10,2,20
2495,도피,1,10,4,5,20
1055,고속,6,2,10,2,20
1565,시내버스,4,10,3,3,20
1571,고려,4,5,7,4,20
996,보조금,7,6,2,5,20
1628,감금,3,4,9,4,20
1624,재심,3,6,6,5,20
1034,요금,6,3,7,4,20
1620,복직,3,3,12,2,20
1011,꿀꺽,7,6,4,3,20
1618,기념,3,7,7,3,20
1015,도착,6,5,5,4,20
1129,자기,6,6,7,1,20
875,신입생,8,5,4,3,20
1735,비공개,3,8,7,2,20
1144,불편,6,4,7,3,20
1470,질문,4,7,6,3,20
1739,국회의원,3,8,5,4,20
884,작성,8,6,4,2,20
1165,책임자,6,2,8,4,20
1082,조선,6,10,2,1,19
959,저출산,7,4,5,3,19
688,포착,10,4,4,1,19
697,스프링클러,10,2,4,3,19
718,상대로,9,6,3,1,19
1583,분향소,4,8,6,1,19
1526,방침,4,7,5,3,19
953,배제,7,5,5,2,19
1436,주기,4,11,3,1,19
1678,전주,3,4,9,3,19
842,비밀,8,5,4,2,19
1234,행세,5,3,10,1,19
1000,사전,7,4,4,4,19
1247,재개,5,5,7,2,19
969,임신,7,4,5,3,19
675,김정은,10,6,2,1,19
1310,불륜,5,6,5,3,19
877,구성,8,3,6,2,19
670,지적,10,4,2,3,19
827,농장,8,2,3,6,19
1067,소방차,6,6,6,1,19
1047,오피스텔,6,7,4,2,19
1546,비위,4,1,7,7,19
1020,대리,6,3,4,6,19
987,총력,7,4,6,2,19
1328,진단,5,5,5,4,19
647,전교조,10,2,4,3,19
1633,가담,3,4,8,4,19
829,서류,8,5,5,1,19
2491,대진,1,14,3,1,19
2036,재범,2,7,4,6,19
1053,선장,6,6,6,1,19
941,군수,7,6,4,2,19
575,대중교통,12,2,4,1,19
1610,범인,3,8,6,2,19
896,부동산,7,3,6,3,19
905,계좌,7,3,8,1,19
1027,체결,6,4,6,3,19
1490,필리핀,4,12,1,2,19
775,전복,9,1,8,1,19
2336,청주,1,9,7,2,19
855,사체,8,6,3,2,19
1125,행안부,6,7,5,1,19
1783,생중계,3,9,3,4,19
2473,가사,1,15,2,1,19
1762,운전기사,3,5,5,6,19
1033,사이,6,5,4,4,19
810,시스템,8,2,2,7,19
1158,동시,6,5,6,2,19
2514,조명,1,8,7,3,19
1374,이별,4,8,3,4,19
1388,장서,4,3,7,5,19
752,고민,9,1,8,1,19
1117,가축,6,1,11,1,19
1462,홍보,4,5,7,3,19
1383,자치,4,6,4,5,19
844,제외,8,4,6,1,19
1430,파업,4,3,8,4,19
1112,능력,6,7,4,2,19
1777,인생,3,3,4,9,19
2418,창문,1,3,13,1,18
1467,행패,4,7,5,2,18
2414,의약품,1,6,5,6,18
1448,중심,4,8,4,2,18
1466,접근,4,3,6,5,18
2102,의인,2,14,1,1,18
2164,출제,2,4,2,10,18
1421,연락,4,5,6,3,18
1966,운영자,2,8,4,4,18
2099,벌써,2,7,8,1,18
2077,치마,2,6,7,3,18
2273,권성동,1,8,8,1,18
1726,메모,3,5,8,2,18
2270,프로포폴,1,11,3,3,18
1497,최소,4,3,5,6,18
1399,의문,4,4,5,5,18
1501,경찰서,4,2,4,8,18
1394,상처,4,6,3,5,18
2347,행정권,1,6,8,3,18
1390,갑론,4,2,8,4,18
1809,농가,3,2,8,5,18
1815,외면,3,5,5,5,18
1362,상해,5,4,6,3,18
1825,체포영장,3,8,5,2,18
1508,한번,4,5,3,6,18
1481,남부,4,8,2,4,18
1530,사범,4,6,7,1,18
2390,일가,1,11,4,2,18
2227,플라스틱,1,7,8,2,18
2392,창업,1,3,9,5,18
1982,승차,2,5,3,8,18
929,사관,7,6,3,2,18
1861,자연,2,3,10,3,18
958,제보,7,6,4,1,18
1126,아래,6,3,7,2,18
1119,원금,6,4,1,7,18
922,골프,7,8,2,1,18
768,응원,9,2,3,4,18
1018,스트레스,6,3,6,3,18
2521,진짜,1,8,6,3,18
1096,상담,6,4,6,2,18
1088,들통,6,7,3,2,18
913,법적,7,2,6,3,18
717,보완,9,4,3,2,18
1051,보관,6,3,6,3,18
631,어금니,11,2,4,1,18
598,수요,11,3,3,1,18
865,다리,8,7,2,1,18
888,방서,8,3,5,2,18
782,내부,9,5,1,3,18
1285,창고,5,1,9,3,18
863,야간,8,2,5,3,18
1172,계약,6,4,5,3,18
803,비방,8,6,1,3,18
2484,용산,1,9,6,2,18
868,관광,8,4,4,2,18
1527,기름,4,6,5,2,17
1533,방지,4,6,6,1,17
1097,환송,6,4,5,2,17
1223,심의,5,3,5,4,17
944,임대주택,7,4,3,3,17
1077,양성,6,6,2,3,17
1509,무고,4,6,4,3,17
680,차관,10,5,1,1,17
1944,해제,2,2,11,2,17
763,정지,9,1,6,1,17
1379,의지,4,6,6,1,17
1212,금고,5,3,4,5,17
672,변명,10,2,4,1,17
1183,내달,5,5,4,3,17
1156,괴롭힘,6,4,4,3,17
760,청소,9,3,4,1,17
1207,다음,5,6,4,2,17
1683,유발,3,4,7,3,17
2025,심신,2,1,1,13,17
1447,목포,4,5,2,6,17
1925,부자,2,3,6,6,17
1701,벤츠,3,7,2,5,17
1753,체제,3,6,7,1,17
1169,며느리,6,6,4,1,17
2483,완전,1,3,7,6,17
2031,공급,2,5,8,2,17
736,춘천,9,2,2,4,17
845,개정안,8,5,3,1,17
1705,게시,3,2,8,4,17
1151,혁신,6,7,3,1,17
1471,제거,4,4,4,5,17
1149,전담,6,3,6,2,17
2279,정치권,1,4,8,4,17
1803,이메일,3,5,3,6,17
1482,교도소,4,5,7,1,17
1138,미흡,6,7,2,2,17
936,육아휴직,7,3,5,2,17
712,생존자,9,3,2,3,17
1203,유감,5,4,5,3,17
864,실수,8,6,1,2,17
909,종결,7,4,4,2,17
1551,수급,4,2,5,6,17
1072,행동,6,1,5,5,17
2149,경주,2,3,7,5,17
907,민간,7,2,6,2,17
1653,초과,3,3,7,4,17
1649,간다,3,7,6,1,17
1340,그대로,5,3,6,3,17
1308,홀로,5,7,3,2,17
1249,변화,5,5,6,1,17
1044,협의,6,4,5,2,17
2150,부대,2,6,4,5,17
635,여대생,10,3,1,3,17
2397,우울증,1,6,1,9,17
1590,감식,4,4,4,5,17
1042,박탈,6,3,7,1,17
1002,발목,7,4,5,1,17
1313,정권,5,8,3,1,17
1622,위증,3,10,2,2,17
616,평택,11,2,3,1,17
1010,화상,7,2,6,2,17
1981,경쟁,2,4,10,1,17
893,노모,7,5,3,2,17
1607,중독,3,4,8,2,17
1049,인기,6,4,6,1,17
1318,공익,5,5,5,2,17
984,소녀,7,3,4,3,17
1743,생산,3,7,5,2,17
1297,기온,5,2,8,2,17
580,참변,11,1,2,3,17
1242,세금,5,8,3,1,17
885,출범,8,4,4,1,17
1286,강간,5,4,4,4,17
986,특정,7,6,3,1,17
1355,의미,5,7,3,2,17
2048,사각,2,8,4,3,17
1239,실태,5,5,2,5,17
659,학과,10,3,2,2,17
1303,수석,5,2,2,8,17
788,불참,9,1,6,1,17
1139,고령,6,2,3,5,16
1444,시청,4,5,4,3,16
1446,연쇄,4,6,5,1,16
992,술집,7,6,1,2,16
1175,경상,6,3,4,3,16
998,배소,7,3,5,1,16
1170,과실,6,4,1,5,16
995,운항,7,2,5,2,16
838,한잔,8,3,4,1,16
1157,괴물,6,3,6,1,16
994,선배,7,5,3,1,16
2298,영아,1,1,9,5,16
1555,토론회,4,7,1,4,16
1614,트럭,3,3,8,2,16
2179,통화,1,5,5,5,16
1668,반입,3,7,2,4,16
854,빌딩,8,4,3,1,16
1788,지구대,3,7,2,4,16
1671,위원,3,5,5,3,16
1075,일대,6,3,5,2,16
1664,성분,3,5,4,4,16
2043,격리,2,3,8,3,16
1561,운명,4,3,7,2,16
2191,여대,1,1,4,10,16
1675,취객,3,7,4,2,16
2185,전자담배,1,9,1,5,16
1676,보건,3,4,5,4,16
1084,대처,6,2,4,4,16
2244,대학원생,1,10,4,1,16
2124,매년,2,2,5,7,16
1518,제안,4,2,6,4,16
880,체험,8,1,6,1,16
2169,종업원,2,5,7,2,16
1579,입시,4,5,3,4,16
2522,속옷,1,8,4,3,16
1778,봉사,3,3,5,5,16
1495,흡입,4,2,7,3,16
951,전역,7,3,5,1,16
1128,기범,6,5,2,3,16
1597,결식,3,5,4,4,16
1600,평양,3,7,4,2,16
1775,역주행,3,6,2,5,16
943,라인,7,6,1,2,16
1694,조롱,3,7,4,2,16
2173,판정,2,1,7,6,16
2076,주사,2,2,5,7,16
1363,민주주의,5,6,1,4,16
1703,소음,3,6,2,5,16
2022,매달,2,4,3,7,16
1843,결제,2,3,7,4,16
1202,변호,5,2,5,4,16
1413,초등학교,4,6,2,4,16
1412,민간인,4,5,5,2,16
1411,취하,4,2,4,6,16
1262,위헌,5,5,2,4,16
1372,공유,4,3,6,3,16
1376,학습,4,9,2,1,16
1900,신뢰,2,6,2,6,16
921,보안,7,3,4,2,16
2368,편파,1,5,9,1,16
1875,실질,2,3,5,6,16
1400,접대,4,9,1,2,16
1220,옥중,5,5,3,3,16
1209,과제,5,4,5,2,16
2015,압수,2,4,2,8,16
1850,주행,2,1,12,1,16
1734,동포,3,6,3,4,16
1314,약속,5,5,4,2,16
1301,납치,5,1,7,3,16
1426,기숙사,4,5,4,3,16
1236,제대로,5,2,5,4,16
1240,신설,5,2,5,4,16
739,아침,9,2,3,2,16
2026,미약,2,1,1,12,16
1342,찬성,5,2,3,6,16
2436,임대,1,3,6,6,16
1250,연령,5,4,5,2,16
1216,당선,5,4,4,2,15
1089,회식,6,5,2,2,15
776,묵인,9,1,2,3,15
1521,끝내,4,4,4,3,15
1290,탈북민,5,4,5,1,15
1568,현대차,4,2,5,4,15
1389,흔적,4,3,4,4,15
846,최경환,8,2,2,3,15
1904,조희연,2,6,3,4,15
2057,협약,2,4,6,3,15
1515,염동열,4,8,2,1,15
1779,현수막,3,7,3,2,15
1217,김부겸,5,4,5,1,15
1758,행각,3,4,5,3,15
1384,육군,4,4,5,2,15
2219,선거법,1,2,7,5,15
1052,폐업,6,2,5,2,15
1048,장학금,6,4,4,1,15
870,장례식,8,2,2,3,15
2388,불신,1,5,7,2,15
1442,선박,4,6,4,1,15
1541,가지,4,5,4,2,15
2437,시속,1,2,8,4,15
1102,위법,6,6,1,2,15
2202,질주,1,2,10,2,15
808,로비,8,1,5,1,15
1721,개방,3,5,5,2,15
1358,장사,5,6,3,1,15
947,만남,7,4,3,1,15
1357,나들이,5,3,5,2,15
902,신축,7,2,5,1,15
2004,현대,2,5,7,1,15
2154,총수,2,5,4,4,15
1100,전수,6,4,2,3,15
811,최선,8,3,3,1,15
1959,민변,2,7,5,1,15
1008,행복,7,3,3,2,15
1404,기계,4,3,7,1,15
2027,불안감,2,2,7,4,15
1638,노동계,3,9,2,1,15
2021,기본,2,4,3,6,15
1316,도전,5,4,5,1,15
1480,기능,4,5,5,1,15
2285,싸움,1,4,8,2,15
1014,발화,7,2,5,1,15
931,제명,7,4,2,2,15
2091,농도,2,10,2,1,15
727,터미널,9,2,3,1,15
1769,구직,3,3,7,2,15
1193,명예,5,3,5,2,15
990,개인정보,7,1,5,2,15
1013,국과수,7,2,4,2,15
1931,낚시,2,8,4,1,15
1934,유서,2,3,8,2,15
1496,오염,4,6,4,1,15
1022,짝퉁,6,2,4,3,15
2265,정의,1,3,3,8,15
1299,담당,5,4,2,4,15
2410,가정폭력,1,2,5,7,15
2000,권한,2,4,5,4,15
2080,지대,2,6,6,1,15
2017,정치인,2,8,4,1,15
1185,기대,5,3,4,3,15
2073,폭풍,2,2,6,5,15
977,동결,7,3,4,1,15
1872,차이,2,6,5,2,15
1449,지하,4,7,3,1,15
1450,비극,4,2,6,3,15
1869,자진,2,4,4,5,15
2083,공감,2,4,5,3,14
1580,속보,4,2,6,2,14
1046,브로커,6,3,4,1,14
1582,대입,4,3,2,5,14
1339,방조,5,5,2,2,14
1764,코치,3,5,5,1,14
1634,불과,3,3,6,2,14
887,투숙,8,1,3,2,14
1344,목표,5,3,2,4,14
2427,출입,1,7,2,4,14
1036,스스로,6,4,3,1,14
2135,혜택,2,1,10,1,14
2125,유인,2,7,3,2,14
1611,대한,3,7,2,2,14
1656,회담,3,9,1,1,14
1873,변협,2,9,2,1,14
2139,시술,2,6,5,1,14
1265,불법체류,5,2,4,3,14
1596,오류,4,5,1,4,14
1037,나이,6,2,5,1,14
1336,얼마나,5,3,2,4,14
1317,혹시,5,3,3,3,14
1258,유력,5,2,3,4,14
1026,주요,6,4,2,2,14
1001,불량,7,3,3,1,14
1043,항공기,6,1,5,2,14
1651,전력,3,4,4,3,14
1335,자식,5,3,4,2,14
891,반납,7,1,4,2,14
2431,윤리,1,5,3,5,14
930,의도,7,2,3,2,14
1345,명중,5,5,3,1,14
1392,도도,4,2,3,5,14
2464,증세,1,4,6,3,14
1570,압박,4,4,4,2,14
2503,질병,1,7,5,1,14
1498,정비,4,3,3,4,14
711,형제,9,1,3,1,14
1941,대낮,2,3,4,5,14
1130,축사,6,3,4,1,14
1488,공약,4,6,3,1,14
1908,월드,2,4,5,3,14
1821,법원행정처,3,3,6,2,14
932,북적,7,3,3,1,14
1474,근거,4,4,3,3,14
1473,현재,4,3,4,3,14
1756,세대,3,7,3,1,14
1688,역할,3,4,6,1,14
1161,점거,6,3,4,1,14
1162,변론,6,1,1,6,14
2290,당첨,1,1,7,5,14
1423,포천,4,2,5,3,14
1167,친모,6,5,2,1,14
1690,고향,3,5,5,1,14
1458,대사,4,4,4,2,14
1434,직권남용,4,3,2,5,14
2310,비행기,1,6,6,1,14
1176,적폐,6,3,2,3,14
1177,묵묵,6,2,5,1,14
758,답변,9,3,1,1,14
1693,위력,3,1,8,2,14
759,한마디,9,2,2,1,14
1393,제작,4,2,3,5,14
2513,중학교,1,5,6,2,14
1826,퇴진,3,4,5,2,14
1370,냄새,4,3,5,2,14
1884,취준생,2,5,3,4,14
957,소재,7,1,5,1,14
2005,대금,2,4,5,3,14
2052,유차,2,4,1,7,14
1885,캠퍼스,2,4,7,1,14
1886,수상,2,3,4,5,14
1889,성과,2,3,8,1,14
1235,총력전,5,4,3,2,14
1059,익산,6,2,4,2,14
1364,박상기,5,3,2,4,14
1790,신상,3,2,5,4,14
1542,출생,4,5,3,2,14
1539,피고인,4,7,2,1,14
1506,부과,4,2,5,3,14
2006,전격,2,2,4,6,14
1532,경력,4,4,2,4,14
2264,탄핵,1,3,5,5,14
867,일정,8,1,4,1,14
1531,로또,4,5,4,1,14
1760,강의,3,5,3,3,14
1373,남학생,4,3,6,1,14
1522,유도,4,3,4,3,14
946,통영,7,2,3,1,13
1700,국선,3,6,2,2,13
1999,고백,2,6,4,1,13
962,특보,7,1,4,1,13
1665,표시,3,1,1,8,13
1677,임산부,3,2,4,4,13
1738,주력,3,4,5,1,13
1719,메시지,3,4,4,2,13
978,거절,7,1,2,3,13
859,폭발물,8,3,1,1,13
1670,더니,3,3,5,2,13
1659,측정,3,4,2,4,13
1650,이주,3,3,4,3,13
1708,솜방망이,3,3,1,6,13
927,재수,7,2,1,3,13
2253,쟁점,1,1,10,1,13
1644,기승,3,2,7,1,13
1145,난항,6,3,3,1,13
1402,설립,4,1,3,5,13
1405,직전,4,2,6,1,13
1408,날씨,4,1,3,5,13
1410,총리,4,2,4,3,13
1415,봇물,4,4,2,3,13
1818,성남,3,3,4,3,13
1912,여배우,2,2,6,3,13
1422,공격,4,3,4,2,13
1427,고심,4,1,3,5,13
1917,사무소,2,3,5,3,13
1921,손실,2,3,5,3,13
1184,노사,5,4,3,1,13
1438,도서관,4,4,4,1,13
1451,화제,4,5,1,3,13
1455,봉투,4,3,2,4,13
2494,내주,1,7,2,3,13
2287,출장,1,6,4,2,13
1206,일단,5,2,5,1,13
2346,구급차,1,7,4,1,13
1381,글쎄,4,6,2,1,13
1849,검경,2,7,2,2,13
1866,지목,2,4,2,5,13
1279,부산시,5,5,1,2,13
1274,검찰총장,5,4,3,1,13
1271,시효,5,1,3,4,13
1268,인식,5,3,3,2,13
2412,상승,1,4,5,3,13
1321,정리,5,3,3,2,13
2399,임명,1,4,6,2,13
1830,소통,3,2,4,4,13
1261,취재,5,5,2,1,13
1243,분야,5,3,2,3,13
1237,생존,5,3,3,2,13
1359,전날,5,3,3,2,13
1360,연합,5,1,2,5,13
1892,고립,2,1,5,5,13
1225,당부,5,3,4,1,13
1930,지난,2,1,5,5,13
2311,전무,1,9,2,1,13
2272,여의도,1,3,7,2,13
1544,의대,4,4,4,1,13
1953,말다툼,2,4,4,3,13
1056,부분,6,1,4,2,13
1557,여수,4,1,5,3,13
1486,면담,4,5,3,1,13
1558,지구,4,1,4,4,13
1559,국장,4,2,6,1,13
1958,소유,2,4,3,4,13
2187,입법,1,4,6,2,13
2184,얘기,1,6,4,2,13
1599,하나요,3,4,4,2,13
1961,무상,2,2,8,1,13
2122,창원,2,1,7,3,13
1613,가중,3,5,3,2,13
1619,이벤트,3,4,5,1,13
1625,탐색,3,5,4,1,13
1630,김포,3,1,2,7,13
2082,직무,2,7,3,1,13
784,영진,9,2,1,1,13
1741,수사의뢰,3,6,1,3,13
1535,한밤중,4,2,5,2,13
1131,재해,6,4,1,2,13
1081,불감증,6,3,3,1,13
1529,연봉,4,1,7,1,13
2228,정신질환,1,7,1,4,13
1525,게시판,4,1,3,5,13
1519,신호,4,5,2,2,13
1513,퇴사,4,2,2,5,13
1510,호기,4,5,3,1,13
1791,교류,3,4,3,2,12
1772,정도,3,3,1,5,12
1744,친형,3,2,4,3,12
1806,소주,3,3,2,4,12
1971,상반기,2,3,6,1,12
815,이불,8,1,2,1,12
1940,해양,2,5,4,1,12
1746,주도,3,4,3,2,12
1927,심판,2,4,3,3,12
1855,개설,2,2,5,3,12
1766,배경,3,2,4,3,12
1960,노예,2,5,3,2,12
1983,제정,2,1,5,4,12
1926,누군가,2,3,3,4,12
1842,쇼핑,2,2,7,1,12
857,고생,8,1,2,1,12
807,기회,8,1,2,1,12
1897,요건,2,2,6,2,12
1991,하락,2,4,4,2,12
1810,채팅,3,3,5,1,12
1898,완화,2,3,6,1,12
1901,수첩,2,7,2,1,12
1816,논문,3,3,4,2,12
1785,용기,3,5,3,1,12
1903,동기,2,3,5,2,12
1292,마비,5,2,1,4,12
1740,여권,3,2,3,4,12
2369,한전,1,5,2,4,12
1407,소명,4,3,3,2,12
1409,분당,4,2,3,3,12
1417,기상청,4,5,1,2,12
1200,실효,5,2,1,4,12
1199,수배,5,2,4,1,12
