,단어명,정치 빈도수,경제 빈도수,사회빈도수,사설빈도수,총빈도수
1002,사임,9,39,13,3,64
555,한번,19,29,13,3,64
1439,바로,5,38,14,7,64
167,사무소,53,4,6,1,64
1425,장애,5,32,26,1,64
624,동원,17,36,10,1,64
1225,외부,6,40,15,2,63
507,타고,21,24,16,2,63
246,공약,40,5,8,10,63
1065,개막,8,45,8,2,63
1303,예방,6,35,14,8,63
1727,대학생,3,33,25,2,63
2064,어린이집,2,21,39,1,63
461,제기,23,22,15,3,63
2499,김상조,1,58,2,2,63
1494,청소년,4,32,20,7,63
532,중요,20,30,12,1,63
885,오른,11,47,4,1,63
1918,지문,2,11,4,46,63
1864,구매,2,58,2,1,63
860,광화문,11,25,24,3,63
703,마무리,14,36,12,1,63
971,휴대폰,9,37,14,3,63
1840,결혼,3,10,45,5,63
625,싸움,17,23,16,6,62
2037,나무,2,37,14,9,62
2507,케어,1,48,11,2,62
1334,노선,5,49,7,1,62
1732,음성,3,42,16,1,62
1550,차별,4,32,23,3,62
2255,충전,1,53,5,3,62
1404,카메라,5,50,4,3,62
1374,접수,5,49,7,1,62
2182,차세대,1,59,1,1,62
1818,커피,3,42,13,4,62
2090,파업,2,48,9,3,62
984,농단,9,2,48,3,62
1212,눈물,6,15,35,6,62
1305,행정,6,21,34,1,62
623,원금,17,25,17,3,62
404,상임,26,25,10,1,62
1656,아동,3,32,26,1,62
505,감축,21,30,7,4,62
1591,부활,4,46,6,5,61
1472,아트,5,9,2,45,61
1146,기존,7,52,1,1,61
1023,전체,9,39,10,3,61
2042,에어컨,2,45,13,1,61
965,정체,9,14,36,2,61
1558,파트너,4,47,8,2,61
686,무슨,15,18,20,8,61
255,법안,38,20,2,1,61
785,사이,12,19,24,5,60
1910,정비,2,53,3,2,60
1323,여자,6,12,37,5,60
1234,정지,6,35,18,1,60
344,내용,30,19,8,3,60
1753,암호,3,48,8,1,60
2373,패션,1,52,6,1,60
1068,프랑스,8,33,12,7,60
1260,공정,6,36,13,5,60
207,아베,46,10,1,3,60
580,통계,18,27,2,13,60
1524,조선일보,4,15,8,33,60
898,성희롱,11,4,43,2,60
421,깜짝,25,24,8,2,59
855,해킹,11,39,7,2,59
1173,가방,7,41,10,1,59
917,줄줄이,10,28,16,5,59
1216,한강,6,15,35,3,59
1018,이명박,9,2,46,2,59
806,재계,12,40,6,1,59
266,위안부,37,1,18,3,59
1094,긍정,8,45,1,5,59
1758,변신,3,46,7,3,59
1673,침대,3,29,22,4,58
1419,개국,5,49,3,1,58
308,유감,33,11,11,3,58
599,타결,17,37,3,1,58
508,이동,21,25,10,2,58
509,생중계,21,15,21,1,58
1043,대규모,8,41,6,3,58
564,잘못,18,17,19,4,58
1955,주문,2,47,5,3,57
1122,노동,7,34,11,5,57
334,세력,30,12,10,5,57
853,단속,11,21,15,10,57
863,까닭,11,15,24,7,57
356,얘기,29,9,14,5,57
428,침묵,24,4,15,14,57
543,자기,19,15,13,10,57
216,만찬,44,5,7,1,57
1008,전원,9,25,20,3,57
1264,대체,6,40,9,2,57
781,협박,12,4,37,4,57
1570,건가,4,8,5,39,56
1247,인간,6,23,12,15,56
1879,라돈,2,27,26,1,56
950,식당,10,18,19,9,56
197,열병,48,1,1,6,56
1887,연봉,2,44,7,3,56
235,종업원,41,2,9,4,56
1295,인식,6,39,4,6,55
804,진입,12,34,8,1,55
1786,과세,3,50,1,1,55
1267,음주,6,6,36,7,55
915,친구,10,6,33,6,55
797,전화,12,24,15,4,55
795,병역,12,1,31,11,55
1369,대치,5,42,7,1,55
262,이행,37,13,3,2,55
2438,비즈니스,1,51,2,1,55
2159,첨단,1,48,3,3,55
1383,벤츠,5,46,3,1,55
226,미사일,41,4,2,8,55
218,장성,43,6,4,2,55
1157,소리,7,24,19,5,55
1098,주인,8,17,26,4,55
841,정기,11,33,9,1,54
1211,복지부,6,33,12,3,54
1641,고용부,4,32,14,4,54
2207,박람회,1,49,3,1,54
1851,실명,3,34,16,1,54
497,찬성,21,26,4,3,54
1073,폭발,8,14,30,2,54
2100,계좌,2,42,9,1,54
426,완전,24,22,5,3,54
762,기초,13,25,14,2,54
2048,인구,2,38,13,1,54
2101,아침,2,9,35,8,54
642,유족,16,1,34,3,54
258,백악관,38,3,5,8,54
224,상봉,42,2,5,5,54
1712,급여,3,38,12,1,54
265,연설,37,8,4,5,54
1623,기고,4,10,5,35,54
671,부총리,15,31,4,3,53
2106,탈출,2,23,22,6,53
327,해체,31,10,10,2,53
1610,확장,4,47,1,1,53
644,주기,16,14,19,4,53
522,고려,20,23,9,1,53
818,사흘,12,33,6,2,53
408,호소,26,11,11,5,53
622,부정,17,22,11,3,53
1033,유튜브,8,35,6,4,53
269,이산가족,37,5,3,8,53
225,송환,42,2,6,3,53
1480,폭력,4,4,35,10,53
1457,블랙리스트,5,7,33,8,53
951,운명,10,27,8,7,52
1802,제로,3,40,7,2,52
1519,인생,4,12,27,9,52
485,정신,21,12,10,9,52
1349,공포,5,36,8,3,52
454,사찰,23,1,25,3,52
854,머리,11,17,23,1,52
434,행동,24,19,8,1,52
280,비난,35,1,12,4,52
1322,명품,6,37,8,1,52
1150,월급,7,25,12,8,52
241,발의,40,9,2,1,52
1687,외국,3,38,7,4,52
2281,상생,1,48,1,1,51
495,행위,21,18,11,1,51
326,강행,31,10,5,5,51
552,보좌,19,6,25,1,51
756,답변,13,33,4,1,51
479,합동,22,9,18,2,51
1793,미디어,3,43,4,1,51
574,시기,18,27,4,2,51
2260,도약,1,48,1,1,51
1278,상의,6,40,4,1,51
561,연루,19,14,17,1,51
640,신문,16,11,19,4,50
1120,문자,7,23,17,3,50
1084,필리핀,8,22,19,1,50
688,해제,15,28,3,4,50
1434,충격,5,29,11,5,50
636,비밀,16,18,7,9,50
1126,수당,7,14,24,5,50
1686,정민,3,1,2,44,50
635,중간,16,26,4,4,50
889,언제,11,20,8,11,50
1185,키즈,7,33,9,1,50
314,취재,33,2,12,3,50
887,상대,11,17,21,1,50
2383,영국,1,37,7,5,50
1312,차이,6,30,7,7,50
2401,식이,1,1,6,42,50
337,방위,30,13,6,1,50
1854,할머니,3,3,37,7,50
354,의미,29,9,8,4,50
757,배제,13,22,11,4,50
840,감시,11,28,9,2,50
413,직전,25,9,11,4,49
859,강도,11,13,24,1,49
2191,호기,1,40,6,2,49
290,여사,34,1,11,3,49
641,여론,16,7,14,12,49
536,배치,19,18,9,3,49
2099,그린,2,40,5,2,49
303,당선,34,7,7,1,49
463,기지,22,16,8,3,49
1992,주의보,2,27,18,2,49
727,편지,14,4,18,13,49
238,금강산,40,3,3,3,49
707,도움,14,20,13,2,49
747,이란,13,32,1,3,49
353,대변인,29,9,1,9,48
1470,반영,5,38,3,2,48
1469,레드,5,39,3,1,48
1402,음악,5,23,11,9,48
460,해명,23,7,15,3,48
575,협조,18,14,15,1,48
1220,대폭,6,37,2,3,48
1119,아버지,7,8,28,5,48
2475,신생아,1,15,31,1,48
268,서해,37,1,9,1,48
361,공조,29,15,1,3,48
2295,열풍,1,37,6,4,48
1635,교통사고,4,2,40,2,48
680,지자체,15,21,10,2,48
1067,제대로,8,19,12,9,48
2107,마스크,2,19,26,1,48
1730,출산,3,9,32,4,48
1096,보물,8,10,26,4,48
607,간담,17,26,3,1,47
2248,남용,1,6,37,3,47
691,수장,15,23,7,2,47
601,지휘,17,4,25,1,47
566,불가,18,21,7,1,47
1958,아프리카,2,35,9,1,47
702,폭풍,14,26,4,3,47
1280,예측,6,36,3,2,47
450,특위,23,22,1,1,47
2117,바다,2,22,15,8,47
788,의식,12,11,20,4,47
2033,호주,2,39,5,1,47
1156,대로,7,31,5,4,47
542,전날,19,17,9,2,47
403,만남,26,16,4,1,47
378,단일,28,11,7,1,47
1634,사우디,4,37,4,2,47
2239,형사,1,14,30,2,47
1144,직무,7,24,13,2,46
1535,망치,4,31,10,1,46
1165,양산,7,35,1,3,46
2430,이혼,1,5,37,3,46
923,눈치,10,26,7,3,46
1446,은퇴,5,26,14,1,46
786,원칙,12,18,7,9,46
1880,매년,2,36,7,1,46
1583,축구,4,16,23,3,46
960,사례,10,27,7,2,46
1071,특혜,8,8,29,1,46
2015,전담,2,24,18,2,46
1053,대부분,8,11,26,1,46
468,부대,22,11,9,4,46
2229,마당,1,7,5,33,46
787,지도,12,20,10,3,45
2131,행차,2,39,1,3,45
282,남북관계,35,8,1,1,45
2069,감정,2,29,13,1,45
335,채택,30,12,1,2,45
418,동행,25,14,5,1,45
1056,역량,8,31,4,2,45
368,여권,28,5,8,4,45
674,파악,15,20,9,1,45
633,스캔들,17,6,21,1,45
1463,쓰레기,5,12,22,6,45
631,청장,17,4,22,2,45
706,태극기,14,1,23,7,45
1505,요즘,4,27,13,1,45
1509,연말,4,36,4,1,45
556,삭제,19,11,13,2,45
997,방향,9,24,11,1,45
594,철거,17,3,24,1,45
905,과정,11,20,9,4,44
663,출동,16,14,13,1,44
884,발목,11,27,4,2,44
1794,임대료,3,34,5,2,44
2492,부모,1,12,29,2,44
316,펜스,32,1,8,3,44
1460,집행,5,18,19,2,44
2164,기계,1,40,1,2,44
1766,행진,3,36,4,1,44
924,실험,10,21,8,5,44
2129,음식,2,29,9,4,44
752,제거,13,21,9,1,44
2496,중동,1,31,5,7,44
1737,편입,3,39,1,1,44
1384,상공,5,32,5,2,44
402,막판,26,16,1,1,44
1393,손해,5,27,11,1,44
835,변수,12,29,1,1,43
810,하자,12,18,10,3,43
867,자격,11,19,10,3,43
1317,전통,6,29,6,2,43
660,명단,16,11,13,3,43
1310,주력,6,32,1,4,43
654,복구,16,21,5,1,43
417,일방,25,8,6,4,43
1937,폭우,2,3,35,3,43
277,노무현,36,1,3,3,43
1827,재활용,3,18,21,1,43
1045,스스로,8,18,14,3,43
930,통제,10,21,11,1,43
1531,차단,4,35,3,1,43
2297,태국,1,37,4,1,43
565,강력,18,12,12,1,43
492,진보,21,5,11,6,43
1010,다리,9,12,17,5,43
462,의문,23,12,7,1,43
996,훈장,9,8,22,4,43
1127,심의,7,21,13,2,43
715,캠프,14,22,6,1,43
1093,정말,8,13,10,12,43
1620,방법,4,26,7,5,42
1014,재난,9,27,3,3,42
362,승리,29,10,2,1,42
1586,전선,4,34,1,3,42
470,토론,22,13,4,3,42
502,시민단체,21,8,9,4,42
451,냉면,23,6,7,6,42
1521,강요,4,5,31,2,42
2382,실리콘밸리,1,32,3,6,42
1089,최강,8,15,18,1,42
2201,알바,1,23,14,4,42
478,생일,22,4,14,2,42
1539,사이트,4,17,20,1,42
1080,규명,8,19,13,2,42
2110,배출,2,26,10,4,42
427,정치권,24,7,9,2,42
2163,지점,1,33,7,1,42
1326,출연,5,16,20,1,42
422,선발,25,10,4,3,42
1563,매일,4,21,13,4,42
387,반입,27,6,8,1,42
1654,수퍼,3,25,10,3,41
1485,과장,4,20,14,3,41
2118,재무,2,36,2,1,41
1612,대리,4,22,14,1,41
1650,저출산,3,15,20,3,41
1633,표준,4,30,5,2,41
1914,지식,2,34,3,2,41
1416,양극화,5,32,1,3,41
1528,주변,4,27,9,1,41
1903,원자력,2,19,12,8,41
1396,전기요금,5,33,2,1,41
2022,주거,2,36,1,2,41
1379,교육부,5,7,15,14,41
1977,소방관,2,5,32,2,41
1361,공기업,5,24,3,9,41
1951,소주,2,32,6,1,41
1923,화장실,2,5,32,2,41
2141,마리,1,11,28,1,41
1255,체계,6,31,1,3,41
1059,방치,8,8,17,8,41
897,대결,11,22,6,2,41
913,상태,10,9,19,3,41
312,장소,33,5,1,2,41
603,항의,17,4,19,1,41
834,측근,12,4,23,2,41
604,민주주의,17,1,14,9,41
1057,관광객,8,20,10,2,40
728,우린,14,9,10,7,40
1593,준공,4,34,1,1,40
346,이방,30,4,2,4,40
419,경호,25,1,7,7,40
2073,코스,2,28,7,3,40
952,죽음,10,3,19,8,40
538,결의,19,15,5,1,40
861,위로,11,22,6,1,40
318,총선,32,1,4,3,40
2127,사망자,2,6,31,1,40
743,연일,13,22,3,2,40
1435,동안,5,18,15,2,40
845,긴장,11,22,5,2,40
585,다음주,18,11,10,1,40
1455,투기,5,30,2,3,40
763,입국,13,14,11,1,39
1313,탄생,6,17,11,5,39
1182,지난달,7,30,1,1,39
1356,침해,5,12,20,2,39
1400,용기,5,25,4,5,39
1177,순간,7,8,19,5,39
1373,소동,5,4,21,9,39
657,무기,16,11,7,5,39
516,의결,20,15,3,1,39
814,불만,12,19,7,1,39
1574,해고,4,16,15,4,39
1428,열기,5,28,4,2,39
1506,혁명,4,19,6,10,39
1092,그대로,8,18,11,2,39
1104,실수,8,14,14,3,39
1475,사무실,4,20,14,1,39
1291,전직,6,6,24,3,39
554,최선,19,12,6,2,39
330,심재철,31,2,4,2,39
1283,혼란,6,21,8,4,39
846,파괴,11,18,5,5,39
1876,인건비,2,30,5,2,39
1265,쟁점,6,23,9,1,39
876,경력,11,21,3,4,39
734,임기,14,12,8,4,38
1508,성범죄,4,4,28,2,38
1328,당신,5,18,10,5,38
947,완성,10,23,3,2,38
976,정도,9,16,12,1,38
1947,독점,2,31,4,1,38
2447,이건희,1,24,12,1,38
862,반복,11,15,6,6,38
424,작전,24,3,5,6,38
963,새해,10,19,4,5,38
782,노동자,12,6,19,1,38
1725,투명,3,31,3,1,38
714,이해,14,12,9,3,38
1825,구본무,3,26,7,2,38
888,투쟁,11,18,5,4,38
949,산책,10,2,5,21,38
1142,방어,7,19,6,5,37
716,상징,14,11,7,5,37
1030,제천,9,2,24,2,37
1339,극복,5,26,4,2,37
1907,편의,2,26,6,3,37
2396,담배,1,19,11,6,37
2065,공짜,2,17,11,7,37
758,제시,13,21,2,1,37
496,탈북자,21,2,8,6,37
1227,혼자,6,10,17,4,37
369,거론,28,4,3,2,37
1178,맞이,7,26,3,1,37
791,정면,12,13,11,1,37
780,헬기,12,10,13,2,37
1789,중국인,3,14,15,5,37
1210,방탄소년단,6,19,10,2,37
597,기자회견,17,1,18,1,37
1967,우주,2,28,5,2,37
1733,판정,3,16,16,2,37
551,연대,19,9,7,2,37
893,거짓말,11,4,11,10,36
1616,린다,4,22,9,1,36
377,여론조사,28,2,2,4,36
815,사정,12,16,7,1,36
2347,아카데미,1,29,5,1,36
503,관람,21,11,1,3,36
2288,시인,1,2,29,4,36
2387,불공정,1,30,3,2,36
1582,동료,4,2,28,2,36
2379,전자담배,1,26,7,2,36
1114,차원,8,21,5,2,36
1787,포장,3,15,11,7,36
648,절대,16,5,10,5,36
2270,합작,1,32,2,1,36
2509,비정규직,1,25,8,2,36
629,표명,17,9,9,1,36
838,강릉,12,13,10,1,36
1408,크게,5,27,2,2,36
587,부처,18,12,1,5,36
1722,명절,3,22,9,2,36
765,발사,13,20,2,1,36
1189,방산,7,23,4,2,36
1125,경험,7,21,7,1,36
1576,소방,4,6,25,1,36
2200,효율,1,32,2,1,36
1438,석유,5,27,3,1,36
549,시사,19,7,8,1,35
1070,방침,8,11,14,2,35
1560,계산,4,26,2,3,35
1036,기구,8,17,9,1,35
1594,자살,4,5,23,3,35
1109,순위,8,22,4,1,35
550,매우,19,2,12,2,35
1149,무상,7,21,6,1,35
1572,형제,4,22,8,1,35
2213,상한,1,31,2,1,35
2094,그림,2,18,13,2,35
672,리스트,15,13,4,3,35
1751,돼지,3,16,14,2,35
1336,제동,5,19,8,3,35
2031,아이돌,2,18,12,3,35
731,현재,14,13,6,2,35
967,리더십,9,12,3,11,35
2457,무더기,1,13,20,1,35
1889,실태,2,25,6,1,34
472,국군,22,3,2,7,34
1016,가면,9,7,11,7,34
1578,나이,4,14,13,3,34
1577,이미지,4,24,3,3,34
1401,프레,5,19,9,1,34
528,독도,20,3,8,3,34
819,초대,12,16,5,1,34
1411,높이,5,20,8,1,34
615,입법,17,13,3,1,34
1809,역전,3,26,2,3,34
1298,권리,6,12,11,5,34
2030,초반,2,30,1,1,34
754,낙하산,13,12,4,5,34
829,응원,12,7,12,3,34
1076,최근,8,19,4,3,34
2000,파워,2,27,3,2,34
1901,조합,2,26,4,2,34
466,청문회,22,7,3,2,34
2399,기억,1,10,19,4,34
1367,상처,5,9,17,3,34
1224,영어,6,12,9,7,34
1362,보완,5,25,3,1,34
999,구멍,9,15,8,2,34
718,공감,14,11,6,3,34
1319,대기,6,17,9,1,33
833,자제,12,14,4,3,33
890,더니,11,4,15,3,33
572,체육,18,6,7,2,33
2354,실업률,1,27,2,3,33
1133,앞서,7,15,5,6,33
1527,담당,4,17,7,5,33
2233,자원,1,24,6,2,33
1196,파기,7,1,24,1,33
1372,아래,5,7,14,7,33
986,사자,9,17,6,1,33
568,표현,18,4,10,1,33
1564,대가,4,8,16,5,33
939,팩트,10,9,13,1,33
961,노래,10,6,13,4,33
1108,기적,8,9,7,9,33
1011,비행기,9,13,7,4,33
1022,반성,9,5,15,4,33
1162,실질,7,8,15,3,33
513,선수단,21,6,5,1,33
627,위장,17,7,7,2,33
2476,감염,1,18,13,1,33
736,출국,13,8,10,2,33
1158,경계,7,20,1,5,33
578,협정,18,13,1,1,33
1823,예약,3,26,3,1,33
643,주자,16,13,3,1,33
1042,일단,8,11,10,3,32
540,선전,19,7,2,4,32
481,경질,21,7,1,3,32
1982,재벌,2,17,9,4,32
773,왜곡,13,5,9,5,32
886,진상,11,1,17,3,32
2335,무더위,1,6,24,1,32
2122,청소,2,21,8,1,32
964,수정,9,19,3,1,32
968,타격,9,21,1,1,32
903,가나,11,13,4,4,32
1852,손님,3,16,10,3,32
1233,시급,6,20,3,3,32
1830,의자,3,20,6,3,32
1814,강인,3,1,1,27,32
2108,유령,2,22,7,1,32
902,파문,11,4,14,3,32
1389,고문,5,12,13,2,32
1324,기름,6,14,10,2,32
1174,대장,7,10,13,2,32
972,장악,9,14,6,3,32
1555,드라마,4,13,12,3,32
1566,정현,4,9,13,6,32
851,꼼수,11,15,3,2,31
558,백두산,19,7,3,2,31
907,욕설,11,3,16,1,31
2125,안내,2,21,4,4,31
2169,이탈리아,1,22,7,1,31
1770,운반,3,22,5,1,31
2244,양성,1,25,3,2,31
2001,산다,2,21,3,5,31
927,수습,10,11,9,1,31
683,베이징,15,13,1,2,31
992,무시,9,8,11,3,31
1608,신호,4,17,7,3,31
553,심판,19,3,8,1,31
1905,지표,2,26,1,2,31
2057,공부,2,10,15,4,31
637,지적,16,8,6,1,31
2076,봇물,2,20,8,1,31
737,계기,13,8,3,7,31
620,마치,17,7,6,1,31
1304,추모,6,4,20,1,31
1364,잔치,5,14,6,6,31
1380,사면,5,13,11,2,31
545,양보,19,5,5,2,31
1327,보류,5,18,7,1,31
2315,홀로,1,19,8,3,31
1284,근거,6,18,6,1,31
518,마린,20,1,7,2,30
1262,중도,6,21,2,1,30
1097,아시안,8,15,6,1,30
1646,고수,3,9,15,3,30
741,시절,13,6,7,4,30
770,조문,13,8,8,1,30
634,패럴림픽,17,3,8,2,30
1311,벌써,6,11,9,4,30
2208,코레일,1,21,7,1,30
1124,시점,7,18,3,2,30
1617,문턱,4,21,2,3,30
1130,은폐,7,6,14,3,30
595,해병대,17,1,11,1,30
744,불가능,13,11,3,3,30
1179,참여연대,7,12,8,3,30
1748,신화,3,16,6,5,30
1375,무효,5,6,17,2,30
1207,비행,6,19,3,2,30
493,순방,21,5,2,2,30
868,열차,11,5,9,5,30
713,세습,14,3,8,5,30
650,무관,16,7,5,2,30
1357,환경부,5,7,14,4,30
721,포착,14,6,9,1,30
779,반응,12,10,7,1,30
2325,주차장,1,14,14,1,30
1137,위헌,7,3,18,1,29
1607,독립,4,12,10,3,29
1738,취급,3,14,6,6,29
945,심야,10,8,10,1,29
1315,유포,6,4,18,1,29
2223,도서관,1,14,11,3,29
2166,김명수,1,2,24,2,29
1518,보조금,4,19,4,2,29
649,귀환,16,10,1,2,29
519,교황,20,1,3,5,29
1378,사유,5,11,12,1,29
856,접근,11,8,8,2,29
769,민족,13,5,7,4,29
2218,도박,1,2,19,7,29
1511,기도,4,7,15,3,29
2132,도우미,2,6,20,1,29
2455,건축,1,22,4,2,29
1335,고개,5,17,5,2,29
1013,자진,9,9,10,1,29
1498,압력,4,18,6,1,29
2272,추억,1,7,18,3,29
608,성명,17,6,5,1,29
1783,라면,3,14,11,1,29
1269,거짓,6,8,12,3,29
442,의제,24,2,2,1,29
2419,조각,1,1,3,23,28
832,농성,12,3,10,3,28
1138,셀프,7,10,10,1,28
621,주한,17,3,3,5,28
708,모임,14,5,6,3,28
1900,컴퓨터,2,19,5,2,28
1237,유예,6,18,2,2,28
1532,개정안,4,21,1,2,28
1025,논쟁,9,7,6,6,28
1759,경비원,3,2,22,1,28
2304,지배,1,22,3,2,28
1006,저녁,9,12,4,3,28
1301,무대,6,7,14,1,28
1100,대처,8,9,5,6,28
778,기업인,12,9,6,1,28
1489,발탁,4,17,5,2,28
918,전북,10,8,8,2,28
2449,남녀,1,10,14,3,28
581,병력,18,2,2,6,28
925,천안,10,3,14,1,28
1890,명령,2,19,5,2,28
1195,대안,7,15,4,2,28
2343,성적,1,13,13,1,28
1314,세기,6,4,8,10,28
2365,동네,1,13,10,3,27
989,해당,9,7,10,1,27
524,민생,20,3,3,1,27
1172,탑승,7,5,14,1,27
2139,일주일,1,17,8,1,27
2371,교섭,1,24,1,1,27
1005,위법,9,9,8,1,27
2361,만들기,1,17,5,4,27
1168,특정,7,10,9,1,27
1995,민원,2,11,13,1,27
1957,워크숍,2,16,8,1,27
582,집권,18,1,1,7,27
1500,신경,4,13,8,2,27
1975,전시,2,22,2,1,27
1779,덕분,3,14,7,3,27
2007,방해,2,6,15,4,27
767,수행,13,7,6,1,27
1081,화해,8,8,6,5,27
822,설득,12,11,3,1,27
469,만날,22,2,2,1,27
1063,심각,8,11,7,1,27
1107,정리,8,11,7,1,27
2038,상자,2,7,16,2,27
2043,학원,2,10,14,1,27
740,동해,13,4,9,1,27
891,일괄,11,13,1,2,27
735,호남,14,3,9,1,27
616,파행,17,2,6,2,27
2092,스타일,2,20,2,3,27
1121,시한,7,9,3,8,27
2467,초등생,1,2,22,1,26
1791,어르신,3,10,11,2,26
1208,고교,6,1,16,3,26
2468,게이트,1,17,7,1,26
2465,폐업,1,19,5,1,26
1230,외면,6,6,6,8,26
1971,프리,2,16,7,1,26
1614,세운,4,11,9,2,26
1466,고리,5,11,9,1,26
1307,분산,6,15,1,4,26
1756,부작용,3,17,3,3,26
652,즉각,16,4,3,3,26
1755,도시락,3,14,8,1,26
1354,교과서,5,5,6,10,26
1199,집사,7,5,13,1,26
2013,불똥,2,19,3,2,26
667,의회,15,5,5,1,26
943,서로,10,2,9,5,26
506,민심,21,2,2,1,26
698,인물,15,3,7,1,26
1359,존재,5,13,5,3,26
2102,등급,2,21,2,1,26
659,분위기,16,6,2,2,26
793,작성,12,6,7,1,26
1061,해석,8,12,2,4,26
590,날짜,18,4,2,2,26
2216,시즌,1,22,2,1,26
2258,각자,1,20,4,1,26
1254,사이버,6,13,4,3,26
1415,이슈,5,18,2,1,26
1445,모색,5,19,1,1,26
1413,흐름,5,16,1,4,26
2170,억대,1,8,15,2,26
534,국회의장,20,1,2,3,26
771,중재,13,8,3,1,25
1088,거절,8,4,9,4,25
1492,선호,4,19,1,1,25
2024,부터,2,7,8,8,25
1805,전교조,3,1,11,10,25
2162,비닐,1,9,13,2,25
665,민정,15,1,8,1,25
1348,보기,5,12,5,3,25
869,패싱,11,5,4,5,25
512,억류,21,1,2,1,25
1503,새만금,4,13,4,4,25
673,지도자,15,2,5,3,25
823,이면,12,6,5,2,25
2450,하우스,1,17,6,1,25
1882,가세,2,16,6,1,25
1333,번호,5,12,7,1,25
1176,당장,7,14,3,1,25
2321,어머니,1,2,18,4,25
1308,압축,6,10,8,1,25
1256,테러,6,6,9,4,25
1289,끼리,6,8,5,6,25
2394,임시,1,19,4,1,25
1132,여건,7,14,2,2,25
1461,연수,5,18,1,1,25
957,개념,10,12,2,1,25
1707,구입,3,16,5,1,25
1240,미흡,6,15,3,1,25
1232,정의,6,6,6,7,25
1660,고장,3,8,12,2,25
1548,온도,4,18,2,1,25
2224,직장,1,14,9,1,25
2444,속출,1,11,11,2,25
1392,휴일,5,7,12,1,25
2284,강사,1,11,11,2,25
842,무장,11,7,4,3,25
2072,동부,2,16,6,1,25
1204,메달,7,8,7,3,25
824,납치,12,1,11,1,25
517,리비아,20,1,1,3,25
1046,수립,8,14,2,1,25
1832,본인,3,13,7,2,25
1736,발급,3,16,2,3,24
942,이례,10,2,11,1,24
844,전격,11,9,2,2,24
1728,심장,3,16,3,2,24
1916,주인공,2,14,4,4,24
1351,뿌리,5,11,5,3,24
1193,파격,7,13,3,1,24
1716,지출,3,18,2,1,24
2034,유발,2,14,5,3,24
2443,컬링,1,10,12,1,24
1052,정치인,8,4,3,9,24
504,민병두,21,1,1,1,24
1409,행렬,5,8,9,2,24
1630,반납,4,11,8,1,24
1028,자신,9,6,8,1,24
2318,엘리베이터,1,16,6,1,24
1628,재고,4,13,3,4,24
1228,중인,6,9,8,1,24
2175,보급,1,17,4,2,24
1366,잡고,5,11,6,2,24
2466,수소차,1,20,1,2,24
1502,남아,4,12,7,1,24
1095,해도,8,8,5,3,24
2289,확충,1,20,1,2,24
696,소집,15,7,1,1,24
1834,불편,3,4,14,3,24
974,비서실,9,7,7,1,24
1746,번지,3,9,7,5,24
1598,무엇,4,9,3,8,24
1453,사표,5,7,9,2,23
1960,날개,2,16,2,3,23
1300,수단,6,13,3,1,23
826,중진,12,7,2,2,23
1471,갑자기,5,8,7,3,23
1478,김해,4,7,11,1,23
2316,매력,1,15,2,5,23
1437,신속,5,9,8,1,23
912,결심,10,2,10,1,23
1218,종결,6,5,11,1,23
1248,외출,6,5,10,2,23
1099,격려,8,9,5,1,23
1978,선생,2,2,16,3,23
1983,가게,2,8,10,3,23
2448,스트레스,1,11,10,1,23
1320,상실,6,6,10,1,23
1246,여기,6,7,5,5,23
1074,문서,8,8,6,1,23
1215,실천,6,14,2,1,23
613,무력,17,4,1,1,23
2357,흔적,1,3,17,2,23
1355,난항,5,14,3,1,23
2123,제일,2,14,3,4,23
1561,배려,4,11,3,5,23
870,다운,11,9,1,2,23
1353,합법,5,9,6,3,23
2194,경보,1,6,15,1,23
1551,소년,4,4,11,4,23
1263,해법,6,12,4,1,23
1040,약화,8,9,3,3,23
2190,월성,1,16,3,3,23
1919,도둑,2,14,5,2,23
836,사회주의,12,5,3,3,23
1559,감옥,4,1,13,5,23
1844,퇴근,3,13,6,1,23
2378,거품,1,17,1,4,23
2054,영양,2,10,9,2,23
1603,통한,4,16,1,2,23
958,대강,10,2,4,7,23
1747,멤버,3,4,14,1,22
2105,면접,2,15,4,1,22
1661,찾기,3,13,3,3,22
1781,링크,3,15,3,1,22
2003,장려,2,17,1,2,22
970,순직,9,2,10,1,22
1499,휴식,4,7,9,2,22
1580,식사,4,10,6,2,22
1151,정착,7,9,4,2,22
2261,전공,1,16,4,1,22
2472,국가대표,1,11,9,1,22
2330,학부모,1,2,18,1,22
1764,노동계,3,14,2,3,22
1763,장치,3,11,6,2,22
1448,진심,5,9,5,3,22
661,의전,16,3,1,2,22
1856,점거,2,6,13,1,22
1810,숙박,3,16,2,1,22
1062,헌법재판관,8,1,11,2,22
831,결단,12,4,3,3,22
1980,시계,2,11,8,1,22
2388,비만,1,15,4,2,22
2026,감자,2,18,1,1,22
2085,기승,2,10,9,1,22
2420,인류,1,17,2,2,22
1186,동북아,7,12,1,2,22
1677,얼마나,3,8,4,7,22
2309,사원,1,18,2,1,22
1476,상상,4,8,8,2,22
2478,업주,1,11,8,2,22
1390,수색,5,1,12,4,22
2436,우대,1,19,1,1,22
892,외신,11,2,7,2,22
1597,어선,4,1,15,2,22
1346,근본,5,13,1,3,22
1587,무게,4,11,4,2,21
2154,산불,1,3,16,1,21
784,실세,12,3,4,2,21
