,단어명,빈도수
0,경찰,324
1,수사,191
2,의혹,166
3,여성,157
4,징역,142
5,폭염,139
6,특검,136
7,논란,132
8,구속,121
9,사망,112
10,검찰,111
11,폭행,110
12,혐의,108
13,조사,102
14,드루,97
15,김경수,96
16,피해,92
17,불법,91
18,재판,91
19,발견,90
20,사건,90
21,교사,90
22,무죄,81
23,사고,79
24,영장,76
25,환자,75
26,압수수색,74
27,직원,73
28,메르스,69
29,이재명,68
30,난민,68
31,김부선,66
32,몰카,65
33,검거,65
34,아파트,65
35,화재,63
36,소환,62
37,살해,61
38,안희정,61
39,법원,60
40,사기,60
41,추석,60
42,신고,59
43,차량,58
44,성추행,58
45,출석,58
46,살인,57
47,주민,56
48,성폭행,56
49,실종,56
50,처벌,53
51,적발,53
52,문제,53
53,현장,52
54,업체,52
55,유출,52
56,국민,50
57,인천,50
58,변호사,50
59,태풍,49
60,학교,49
61,병원,49
62,워마드,49
63,범죄,48
64,취업,48
65,발생,48
66,남성,48
67,공무원,48
68,남편,48
69,추가,48
70,학생,47
71,구속영장,47
72,의심,46
73,공개,46
74,검사,45
75,유치원,44
76,아들,43
77,선고,42
78,거래,42
79,안전,42
80,흉기,42
81,확대,41
82,판사,41
83,기각,41
84,여고생,40
85,요구,40
86,노조,40
87,어린이집,40
88,일상,39
89,피해자,39
90,뉴스,38
91,조작,38
92,촬영,38
93,실형,37
94,징역형,37
95,청원,37
96,사회,37
97,영상,37
98,지원,37
99,확인,37
100,혐오,37
101,시신,37
102,심사,36
103,아이,36
104,입건,36
105,체포,35
106,반대,35
107,판결,35
108,최고,34
109,사업,34
110,그룹,34
111,구형,34
112,기자,33
113,집회,33
114,대상,33
115,결정,33
116,사람,33
117,해외,33
118,단체,33
119,주차,33
120,우려,32
121,톡톡,32
122,착수,32
123,판매,32
124,구조,32
125,투자,32
126,공항,32
127,댓글,32
128,부인,32
129,시민,31
130,교수,31
131,추정,31
132,부상,31
133,집행유예,31
134,허위,31
135,피의자,31
136,집단,31
137,사장,31
138,거부,31
139,중단,31
140,보물,31
141,운영,30
142,버스,30
143,삼성,30
144,브리핑,30
145,대응,30
146,조양호,30
147,김지은,30
148,운전자,29
149,양승태,29
150,강제,29
151,시위,29
152,도로,29
153,추락,29
154,식중독,29
155,만취,29
156,의사,29
157,교육,29
158,관련,29
159,세월호,29
160,노회찬,29
161,전국,28
162,경찰관,28
163,운전,28
164,지사,28
165,아내,28
166,가족,28
167,소송,28
168,긴급,28
169,기사,28
170,채용,28
171,신청,28
172,솔릭,28
173,대학,28
174,강도,28
175,연기,27
176,박근혜,27
177,고발,27
178,취소,27
179,대법,27
180,가능성,27
181,관리,27
182,간부,27
183,소방관,27
184,비리,27
185,학대,27
186,인정,27
187,이상,26
188,협박,26
189,음주,26
190,역대,26
191,유족,26
192,모두,26
193,건국대,26
194,자금,26
195,보이스피싱,26
196,증가,25
197,검토,25
198,음주운전,25
199,기소,25
200,최저임금,25
201,위반,25
202,반발,25
203,성매매,25
204,난동,25
205,주차장,25
206,쓰레기,25
207,국가,25
208,법정,25
209,사실,25
210,확산,25
211,여부,25
212,일베,25
213,건설,24
214,대책,24
215,집중,24
216,국제,24
217,설치,24
218,일부,24
219,가짜,24
220,차례,24
221,케이크,24
222,돈스코이,24
223,방치,24
224,책임,24
225,폭우,24
226,벌금형,23
227,대법원,23
228,서울대,23
229,필요,23
230,헌재,23
231,국내,23
232,발표,23
233,성범죄,23
234,미투,23
235,접촉,23
236,성희롱,23
237,시험,23
238,송치,23
239,유죄,23
240,시간,23
241,사과,23
242,가장,22
243,투신,22
244,엄마,22
245,집유,22
246,급증,22
247,벌금,22
248,연휴,22
249,편의점,22
250,시설,22
251,우리,22
252,아버지,22
253,예멘,22
254,단속,22
255,사법,22
256,진술,22
257,청소년,22
258,증거,22
259,덜미,22
260,비상,22
261,휴가,22
262,택시,21
263,아동,21
264,범행,21
265,공사,21
266,친구,21
267,건물,21
268,고소,21
269,위기,21
270,노인,21
271,절도,21
272,상습,21
273,고속도로,21
274,공원,21
275,사법부,21
276,문건,21
277,가로,21
278,결과,21
279,예고,21
280,일당,21
281,고교,21
282,도주,21
283,고교생,21
284,하나,21
285,정황,21
286,특별,21
287,물질,21
288,양예원,21
289,정전,21
290,유통,21
291,실장,21
292,주장,20
293,정보,20
294,사용,20
295,갈등,20
296,금지,20
297,서울시,20
298,숙명여고,20
299,공장,20
300,공단,20
301,조폭,20
302,산림조합,20
303,아빠,20
304,청구,20
305,동료,20
306,상도,20
307,강화,20
308,규명,19
309,추행,19
310,근로자,19
311,대학생,19
312,폐지,19
313,어선,19
314,장관,19
315,확정,19
316,박원순,19
317,화장실,19
318,외국인,19
319,속도,19
320,부장,19
321,지시,19
322,전자,19
323,사상,19
324,경북,19
325,강진,19
326,아시아나,19
327,김기춘,18
328,교통사고,18
329,사이트,18
330,인권,18
331,시도,18
332,폭력,18
333,횡령,18
334,소비자,18
335,시대,18
336,제품,18
337,성폭력,18
338,자료,18
339,눈물,18
340,예산,18
341,전쟁,18
342,석방,18
343,대신,18
344,쌍용차,18
345,의료,18
346,붕괴,18
347,계속,18
348,청년,18
349,감염,18
350,국민연금,18
351,초등생,18
352,경남,18
353,치료,18
354,항소심,18
355,개입,18
356,에어컨,18
357,다른,17
358,도박,17
359,징계,17
360,담배,17
361,거리,17
362,원인,17
363,진실,17
364,마을,17
365,머리,17
366,요청,17
367,식약처,17
368,할머니,17
369,인사,17
370,일자리,17
371,보험,17
372,지역,17
373,기간,17
374,진행,17
375,시장,17
376,위해,17
377,대피,17
378,회사,17
379,금품,17
380,센터,17
381,때문,17
382,학부모,17
383,작업,17
384,특수,17
385,합의,17
386,기록,17
387,등장,17
388,국회,17
389,차주,17
390,현금,17
391,더위,17
392,행정,16
393,알바,16
394,제기,16
395,지적장애,16
396,위협,16
397,생각,16
398,음란,16
399,쌍둥이,16
400,장애,16
401,직장,16
402,본격,16
403,개최,16
404,전북,16
405,주택,16
406,당국,16
407,특활비,16
408,인근,16
409,추적,16
410,이용,16
411,대비,16
412,불안,16
413,광고,16
414,주의보,16
415,훼손,16
416,장애인,16
417,보육,16
418,어린이,16
419,재난,16
420,사태,15
421,진상,15
422,출동,15
423,업자,15
424,자유,15
425,충돌,15
426,부부,15
427,판단,15
428,시민단체,15
429,원장,15
430,결혼,15
431,구청,15
432,반려동물,15
433,플러스,15
434,성관계,15
435,노동자,15
436,퓨마,15
437,확보,15
438,조치,15
439,개혁,15
440,행사,15
441,고용,15
442,소환조사,15
443,운행,15
444,탈출,15
445,불개미,15
446,촉구,15
447,단독,15
448,논의,15
449,지인,15
450,승용차,15
451,청탁,15
452,공작,15
453,포항,15
454,농단,15
455,효과,15
456,공범,15
457,기무사,15
458,고의,15
459,임금,15
460,송도,15
461,오토바이,15
462,평균,14
463,전직,14
464,보장,14
465,전남,14
466,적용,14
467,입국,14
468,제자,14
469,호소,14
470,김현주,14
471,도심,14
472,침해,14
473,주말,14
474,시행,14
475,이명박,14
476,입원,14
477,노동,14
478,규제,14
479,의식,14
480,의견,14
481,취해,14
482,경기도,14
483,총장,14
484,법정구속,14
485,기준,14
486,고통,14
487,인명,14
488,실시,14
489,카드,14
490,유포,14
491,대법관,14
492,계획,14
493,업무,14
494,수색,14
495,도입,14
496,개정,14
497,관심,14
498,뇌물,14
499,공정위,14
500,속출,14
501,바다,14
502,결함,14
503,축제,14
504,응급실,14
505,참사,14
506,남동,14
507,시험지,14
508,새마을금고,14
509,철거,13
510,폭로,13
511,위험,13
512,여학생,13
513,정당,13
514,법무부,13
515,새벽,13
516,세상,13
517,단계,13
518,예상,13
519,대란,13
520,수술,13
521,부당,13
522,경찰청,13
523,교통,13
524,찬반,13
525,소방,13
526,급식,13
527,부정,13
528,마약,13
529,정책,13
530,리콜,13
531,현직,13
532,지급,13
533,문재인,13
534,연루,13
535,비서,13
536,방송,13
537,강용석,13
538,발언,13
539,증언,13
540,해상,13
541,파견,13
542,여름,13
543,국정원,13
544,여명,13
545,민원,13
546,급여,13
547,병역,13
548,참여,13
549,창문,13
550,주인,13
551,형사,13
552,연장,13
553,꼼수,12
554,한강,12
555,선원,12
556,무면허,12
557,승객,12
558,첫날,12
559,양심,12
560,교육청,12
561,전망,12
562,처분,12
563,상대,12
564,가능,12
565,명절,12
566,변경,12
567,제출,12
568,이웃,12
569,복직,12
570,택배,12
571,충북,12
572,광장,12
573,스쿨,12
574,동의,12
575,강남,12
576,김해,12
577,어머니,12
578,보호,12
579,강원,12
580,나선,12
581,음성,12
582,주의,12
583,출신,12
584,근무,12
585,포기,12
586,거짓,12
587,예방,12
588,통일,12
589,여중생,12
590,주행,12
591,결론,12
592,체류,12
593,지진,12
594,지금,12
595,여고,12
596,무기징역,12
597,지하철,12
598,몰래,12
599,지자체,12
600,여자,12
601,입장,12
602,광화문,12
603,명예훼손,12
604,돼지,12
605,정치자금,12
606,기내식,12
607,하라,12
608,과천,12
609,계곡,12
610,열대야,12
611,식용,12
612,보상,11
613,내용,11
614,자녀,11
615,아동학대,11
616,작년,11
617,중국인,11
618,죽음,11
619,모텔,11
620,진화,11
621,항의,11
622,업주,11
623,과일,11
624,모집,11
625,남용,11
626,과태료,11
627,조직,11
628,대형,11
629,가해자,11
630,영업,11
631,전원,11
632,공공기관,11
633,성적,11
634,화물차,11
635,출근,11
636,보고,11
637,세계,11
638,생명,11
639,수용,11
640,한반도,11
641,파악,11
642,목숨,11
643,극단,11
644,항소,11
645,투입,11
646,현실,11
647,이틀,11
648,지방,11
649,시비,11
650,부하,11
651,감사,11
652,무료,11
653,예정,11
654,개선,11
655,전과,11
656,사인,11
657,해제,11
658,북한,11
659,얼굴,11
660,강원랜드,11
661,알선,11
662,과정,11
663,회의,11
664,게임,11
665,공포,11
666,감형,11
667,제한,11
668,조현병,11
669,여친,11
670,점검,11
671,전두환,11
672,방화,11
673,돌입,11
674,침수,11
675,고양이,11
676,공지영,11
677,경기,11
678,남친,11
679,관계,11
680,파문,11
681,공천,11
682,협력,11
683,돌파,11
684,해임,11
685,외국,11
686,전체,11
687,설정,11
688,가축,11
689,해수욕장,11
690,미미,10
691,쿠키,10
692,자전거,10
693,의무,10
694,곳곳,10
695,질환,10
696,무단,10
697,특혜,10
698,앞바다,10
699,무혐의,10
700,최종,10
701,행세,10
702,불명,10
703,학원,10
704,소득,10
705,경제,10
706,상자,10
707,고속,10
708,알바생,10
709,질주,10
710,만원,10
711,무더기,10
712,소리,10
713,몸살,10
714,경고,10
715,이후,10
716,경비,10
717,마음,10
718,발전,10
719,민주,10
720,비판,10
721,출국금지,10
722,가구,10
723,통보,10
724,소동,10
725,비정규직,10
726,불가피,10
727,쟁점,10
728,관여,10
729,밀수,10
730,중국,10
731,기밀,10
732,조정,10
733,최악,10
734,토막살인,10
735,중앙,10
736,자택,10
737,마무리,10
738,전달,10
739,선택,10
740,혜택,10
741,변호인,10
742,열사,10
743,가정,10
744,배우,10
745,자연,10
746,이전,10
747,경쟁,10
748,전문,10
749,전문가,10
750,부실,10
751,미세먼지,10
752,한진,10
753,서도,10
754,구미,10
755,강제추행,10
756,사찰,10
757,걱정,10
758,중학생,10
759,상태,10
760,개발,10
761,활동,10
762,남자,10
763,족발,10
764,침입,10
765,보험금,10
766,열차,10
767,테러,10
768,박해미,10
769,규정,10
770,스캔들,10
771,고혈압약,10
772,토막,10
773,수송,10
774,성체,10
775,감소,9
776,헬멧,9
777,조윤선,9
778,처음,9
779,실패,9
780,전주,9
781,해경,9
782,복귀,9
783,주식,9
784,일본,9
785,선거,9
786,손해배상,9
787,허용,9
788,누가,9
789,퇴직,9
790,동영상,9
791,불허,9
792,관광객,9
793,발령,9
