,단어명,빈도수
0,금융,48
1,투자,42
2,경제,37
3,일자리,34
4,삼성,33
5,코노,31
6,브리핑,31
7,출시,31
8,톡톡,29
9,시장,29
10,대출,28
11,국내,27
12,일상,27
13,감소,26
14,고용,26
15,김동연,26
16,확대,25
17,산업,25
18,드론,25
19,김현주,24
20,증가,24
21,혁신,23
22,기술,23
23,농협,23
24,지원,22
25,해외,22
26,성장,22
27,경기,21
28,은행,20
29,세계,20
30,규제,20
31,롯데,20
32,금리,19
33,서비스,18
34,사업,18
35,전망,18
36,주택,18
37,전자,18
38,이상,18
39,최고,17
40,인상,17
41,업계,17
42,개최,17
43,글로벌,17
44,부동산,17
45,중소기업,17
46,인하,17
47,상승,17
48,생산,16
49,조사,16
50,진행,16
51,유류,16
52,바이오,15
53,수출,15
54,소득,15
55,아파트,14
56,발표,14
57,가격,14
58,판매,14
59,전국,14
60,취업,14
61,증시,14
62,논란,14
63,분양,13
64,창업,13
65,물가,13
66,감사,13
67,우려,13
68,매출,13
69,강화,13
70,부담,13
71,브랜드,12
72,개발,12
73,카드,12
74,공개,12
75,필요,12
76,현대차,12
77,검토,12
78,시대,12
79,할인,11
80,이벤트,11
81,하락,11
82,대책,11
83,국제,11
84,최저임금,11
85,청년,11
86,개선,11
87,업체,11
88,문제,11
89,고객,11
90,도입,11
91,행사,11
92,디지털,11
93,최저,10
94,실적,10
95,국민,10
96,정책,10
97,부진,10
98,건설,10
99,국민연금,10
100,자금,9
101,코리아,9
102,안전,9
103,조정,9
104,당국,9
105,연속,9
106,소비자,9
107,자동차,9
108,위해,9
109,임대,9
110,비용,9
111,사회,9
112,육박,9
113,공급,9
114,무역,9
115,중국,9
116,추가,9
117,실시,9
118,직원,9
119,현대,9
120,대기업,9
121,평균,9
122,채용,9
123,이슈,9
124,탐색,9
125,관리,9
126,여성,9
127,가맹,9
128,반도체,8
129,거래,8
130,지역,8
131,업무,8
132,목표,8
133,경영,8
134,효과,8
135,항공,8
136,현장,8
137,진출,8
138,스마트,8
139,적용,8
140,대상,8
141,카카오,8
142,전환,8
143,공동,8
144,피해,8
145,준비,8
146,자율,8
147,영향,8
148,업자,8
149,돌파,8
150,가치,8
151,영업,8
152,공무원,8
153,사상,8
154,가계,8
155,전쟁,7
156,폭락,7
157,수입,7
158,박차,7
159,보증,7
160,기금,7
161,체결,7
162,문화,7
163,유가,7
164,회복,7
165,전문,7
166,한전,7
167,광고,7
168,노사,7
169,장기,7
170,보험,7
171,대비,7
172,수수료,7
173,산업혁명,7
174,위기,7
175,확인,7
176,최종,7
177,법인,7
178,집값,7
179,비리,7
180,시스템,7
181,오픈,7
182,차량,7
183,코스피,7
184,공유,7
185,휘발유,7
186,홍보,7
187,안정,7
188,주식,7
189,체감,7
190,절반,7
191,급증,7
192,석탄,7
193,보유,7
194,이후,6
195,연중,6
196,기록,6
197,분식회계,6
198,공장,6
199,인천,6
200,공인,6
201,협약,6
202,주가,6
203,데이터,6
204,신규,6
205,실업자,6
206,회의,6
207,출범,6
208,껑충,6
209,역대,6
210,카풀,6
211,기념,6
212,생각,6
213,노조,6
214,참여,6
215,의심,6
216,책임,6
217,제조업,6
218,당첨,6
219,가구,6
220,지수,6
221,복지,6
222,미국,6
223,스마트폰,6
224,대폭,6
225,자영,6
226,편의점,6
227,차별,6
228,소비,6
229,리스크,6
230,라돈,6
231,생리대,6
232,수준,6
233,구매,6
234,인기,6
235,배제,6
236,협의,6
237,등록,6
238,주년,6
239,택시,6
240,서민,6
241,반등,6
242,외국인,6
243,가을,6
244,점주,6
245,농촌,6
246,어린이집,6
247,속도,6
248,스타트업,6
249,직스,5
250,회계,5
251,치킨,5
252,삼바,5
253,기간,5
254,관세,5
255,무료,5
256,단체,5
257,관광,5
258,온라인,5
259,투입,5
260,처리,5
261,결정,5
262,과정,5
263,사고,5
264,사장,5
265,기획,5
266,베트남,5
267,급등,5
268,임금,5
269,통상,5
270,음주,5
271,변화,5
272,결과,5
273,대화,5
274,확보,5
275,신제품,5
276,미세먼지,5
277,악화,5
278,펀드,5
279,개혁,5
280,교체,5
281,버스,5
282,연금,5
283,통계,5
284,채권,5
285,수협,5
286,소개,5
287,근로,5
288,원전,5
289,친환경,5
290,우수,5
291,케어,5
292,모바일,5
293,대회,5
294,선거,5
295,폐지,5
296,지주,5
297,수익,5
298,담보,5
299,주목,5
300,희망,5
301,종합,5
302,기아차,5
