,단어명,빈도수
0,경찰,264
1,조사,206
2,성추행,201
3,검찰,188
4,병원,178
5,수사,177
6,미투,174
7,의혹,172
8,혐의,152
9,화재,143
10,징역,140
11,사망,129
12,구속,123
13,여성,117
14,성폭행,114
15,검사,112
16,피해,111
17,논란,102
18,일상,98
19,교수,98
20,톡톡,97
21,사건,93
22,폭행,87
23,소환,83
24,참사,82
25,피해자,82
26,살해,80
27,압수수색,80
28,영장,78
29,발견,77
30,성폭력,77
31,국정원,75
32,밀양,74
33,세종,72
34,불법,71
35,직원,70
36,안희정,68
37,교사,68
38,다스,67
39,재판,66
40,미세먼지,65
41,법원,63
42,제천,62
43,아들,60
44,채용,60
45,폭로,60
46,현장,59
47,비리,58
48,출석,58
49,세월호,57
50,사고,57
51,차량,56
52,구속영장,55
53,가족,55
54,기자,54
55,청구,54
56,기소,53
57,환자,53
58,이윤택,53
59,신고,52
60,평창,52
61,남성,51
62,아내,51
63,지진,51
64,요구,51
65,검거,51
66,뉴스,51
67,아파트,50
68,신생아,50
69,엄마,50
70,학생,49
71,성희롱,48
72,추가,47
73,공무원,46
74,사실,46
75,김현주,46
76,입건,45
77,플러스,45
78,소방,44
79,처벌,44
80,징역형,44
81,화폐,44
82,업체,43
83,무죄,43
84,공개,43
85,아이,43
86,가상,42
87,박근혜,42
88,심사,42
89,부인,42
90,살인,41
91,실형,41
92,변호사,41
93,관련,41
94,국민,40
95,항소심,40
96,간부,40
97,경찰관,40
98,안전,40
99,부상,40
100,포항,39
101,사과,39
102,선고,39
103,남편,39
104,학교,39
105,구조,38
106,체포,38
107,책임,37
108,문제,37
109,검토,37
110,브리핑,37
111,버스,37
112,주민,36
113,아버지,36
114,사람,36
115,의료,36
116,건물,36
117,신청,36
118,시민,36
119,판사,36
120,올림픽,36
121,구형,35
122,피의자,35
123,폐지,35
124,결정,35
125,흉기,35
126,전국,35
127,운영,34
128,관리,34
129,징계,34
130,조치,34
131,사기,34
132,최저임금,34
133,사회,33
134,목동,33
135,긴급,33
136,산불,33
137,협박,33
138,단체,33
139,동료,33
140,가능성,32
141,취소,32
142,규모,32
143,유족,32
144,대책,32
145,사장,32
146,뇌물,32
147,자금,32
148,남매,32
149,지원,31
150,인천,31
151,착수,30
152,방화,30
153,거부,30
154,확인,30
155,고소,30
156,댓글,30
157,대피,30
158,귀가,30
159,인사,30
160,결혼,29
161,운동,29
162,진상,29
163,집단,29
164,대응,29
165,허위,29
166,부장,29
167,중단,29
168,우리,29
169,적발,29
170,인정,29
171,연기,29
172,시신,29
173,서울시,29
174,횡령,29
175,대학,29
176,사망자,29
177,교육,28
178,아빠,28
179,다른,28
180,할머니,28
181,사퇴,28
182,소송,28
183,성범죄,28
184,고준희,28
185,기사,27
186,노조,27
187,확산,27
188,극단,27
189,유출,27
190,자살,26
191,강원랜드,26
192,의사,26
193,추행,26
194,위해,26
195,인권위,26
196,사업,26
197,벌금형,26
198,모두,26
199,영하,26
200,후배,25
201,시간,25
202,기간,25
203,비상,25
204,근무,25
205,직장,25
206,진술,25
207,세상,24
208,주장,24
209,제출,24
210,장관,24
211,집유,24
212,차례,24
213,현직,24
214,범죄,24
215,결과,23
216,남자,23
217,외국인,23
218,청원,23
219,고발,23
220,발생,23
221,단속,23
222,일당,23
223,집행유예,23
224,화장실,23
225,사단,23
226,무료,23
227,송치,23
228,국내,23
229,가해자,23
230,여명,23
231,벌금,23
232,지휘,23
233,금품,23
234,간호사,23
235,조민기,23
236,준희,23
237,친부,23
238,서지현,23
239,블랙리스트,23
240,한파,23
241,눈물,22
242,출동,22
243,성매매,22
244,반대,22
245,보이스피싱,22
246,재산,22
247,증거,22
248,우려,22
249,수색,22
250,폐쇄,22
251,모집,22
252,공항,22
253,폭설,22
254,부모,21
255,소방관,21
256,친구,21
257,공사,21
258,취업,21
259,의무,21
260,연장,21
261,필요,21
262,변호인,21
263,투입,21
264,김동환,21
265,어선,21
266,임금,21
267,금지,21
268,이재용,21
269,새벽,20
270,추락,20
271,여친,20
272,보고,20
273,이상,20
274,여자,20
275,기각,20
276,강제,20
277,행위,20
278,미성년,20
279,여고생,20
280,희생,20
281,공작,20
282,중국,20
283,학원,20
284,강화,20
285,평창올림픽,20
286,인권,20
287,해임,20
288,얼굴,19
289,운전,19
290,권력,19
291,노인,19
292,판매,19
293,정봉주,19
294,시장,19
295,투자,19
296,방해,19
297,지시,19
298,진화,19
299,부실,19
300,경비원,19
301,도로,19
302,판결,19
303,상습,19
304,시도,19
305,문화,19
306,해경,19
307,아동,19
308,전원,19
309,발표,19
310,청장,19
311,인명,19
312,동거,19
313,어머니,19
314,이영학,19
315,합의,18
316,예술,18
317,집중,18
318,관계,18
319,예비,18
320,합격,18
321,법무부,18
322,모든,18
323,위안부,18
324,특활비,18
325,조위,18
326,출신,18
327,김관진,18
328,사용,18
329,경기도,18
330,국세청,18
331,작업,18
332,주인,18
333,실종,18
334,지역,18
335,이중근,18
336,전직,18
337,법정,18
338,학대,18
339,침해,18
340,시설,18
341,업무,18
342,삼성,18
343,감염,18
344,여진,18
345,가능,17
346,주택,17
347,교통사고,17
348,제자,17
349,개혁,17
350,발언,17
351,본격,17
352,택시,17
353,처분,17
354,가로,17
355,의견,17
356,관여,17
357,국정,17
358,센터,17
359,바람,17
360,부부,17
361,배우,17
362,전환,17
363,단독,17
364,대학가,17
365,사형,17
366,청소년,17
367,장애인,17
368,강도,17
369,정황,17
370,강릉,17
371,국가,17
372,지사,17
373,방치,17
374,설치,16
375,부정,16
376,의심,16
377,활동,16
378,위반,16
379,호소,16
380,영어,16
381,계속,16
382,덜미,16
383,최고,16
384,농단,16
385,사찰,16
386,박원순,16
387,참여,16
388,선택,16
389,확대,16
390,라며,16
391,여부,16
392,건강,16
393,인천공항,16
394,안태,16
395,공장,16
396,승객,16
397,추정,16
398,부영,16
399,보복,16
400,치료,16
401,역대,16
402,차별,16
403,전달,16
404,인상,16
405,축소,16
406,여관,16
407,정보,15
408,관광객,15
409,지금,15
410,호텔,15
411,위원장,15
412,원인,15
413,시대,15
414,관계자,15
415,위험,15
416,위협,15
417,마스크,15
418,학부모,15
419,구치소,15
420,절도,15
421,자택,15
422,경기,15
423,대법원,15
424,지하철,15
425,회의,15
426,서울대,15
427,치사,15
428,교육감,15
429,고교,15
430,이용,15
431,영상,15
432,입학,15
433,학년,15
434,자녀,15
435,이슈,14
436,남친,14
437,통보,14
438,강요,14
439,과거,14
440,유죄,14
441,면접,14
442,인근,14
443,갈등,14
444,규명,14
445,기록,14
446,강제추행,14
447,시절,14
448,총장,14
449,북한,14
450,투신,14
451,마무리,14
452,교과서,14
453,결론,14
454,사위,14
455,폭력,14
456,음주운전,14
457,어린이집,14
458,대법,14
459,예정,14
460,소환조사,14
461,편의점,14
462,주차,14
463,용의자,14
464,상대,14
465,범행,14
466,청탁,14
467,문건,14
468,출마,14
469,하나,14
470,대학교,14
471,문자,14
472,감형,14
473,해고,14
474,선임,14
475,근로자,14
476,보수,14
477,이상득,14
478,수수,14
479,성관계,14
480,유기,14
481,여중생,14
482,확보,14
483,알바생,14
484,용인,14
485,가장,13
486,사랑,13
487,때문,13
488,추모,13
489,운전자,13
490,효과,13
491,대한민국,13
492,시위,13
493,남녀,13
494,경찰청장,13
495,의식,13
496,도주,13
497,개선,13
498,부제,13
499,반발,13
500,무더기,13
501,몰카,13
502,국회,13
503,중앙,13
504,불구속,13
505,생각,13
506,협력,13
507,자유,13
508,데이트,13
509,시행,13
510,해외,13
511,유치원,13
512,음주,13
513,머리,13
514,여직원,13
515,고속도로,13
516,본부,13
517,군산,13
518,수당,13
519,이틀,13
520,이후,13
521,암매장,13
522,해결,13
523,원장,13
524,준비,13
525,마약,13
526,명예훼손,13
527,정책,13
528,신연희,13
529,강남구,13
530,조작,13
531,실종자,13
532,해상,13
533,본사,13
534,협조,13
535,집회,13
536,지적장애,13
537,개입,13
538,정체,13
539,주치의,13
540,입원,12
541,여학생,12
542,일자리,12
543,비판,12
544,죽음,12
545,도심,12
546,치매,12
547,발령,12
548,조직,12
549,확정,12
550,돌파,12
551,입장,12
552,반성,12
553,제기,12
554,대신,12
555,여전,12
556,미국,12
557,처리,12
558,시티,12
559,탈출,12
560,인구,12
561,점검,12
562,방문,12
563,중고,12
564,이동,12
565,직위해제,12
566,부담,12
567,파기,12
568,카드,12
569,기준,12
570,광고,12
571,철거,12
572,당국,12
573,무단,12
574,가방,12
575,이현동,12
576,검증,12
577,광장,12
578,적극,12
579,보험,12
580,보상,12
581,방송,12
582,진실,12
583,재단,12
584,마을,12
585,훼손,12
586,자신,12
587,몰래,12
588,전북,12
589,대학생,12
590,전화,12
591,죄송,12
592,미수,12
593,전문,12
594,전남,12
595,지지,12
596,대상,12
597,소동,12
598,측근,12
599,게스트하우스,12
600,주의보,12
601,세계,12
602,경북,12
603,제도,12
604,여경,12
605,육아,12
606,기도,12
607,고용,12
608,특혜,12
609,조카,12
610,출산,12
611,항소,12
612,대중교통,12
613,부검,12
614,크레인,12
615,공모,12
616,추위,12
617,새해,12
618,유영,12
619,식당,11
620,사연,11
621,참변,11
622,현실,11
623,보호,11
624,나선,11
625,경찰청,11
626,휴대전화,11
627,어린이,11
628,고성,11
629,사법,11
630,이명박,11
631,미끼,11
632,침묵,11
633,업자,11
634,현금,11
635,논의,11
636,유통,11
637,기억,11
638,단원,11
639,외압,11
640,수요,11
641,수면제,11
642,보장,11
643,수도권,11
644,대화,11
645,교육부,11
646,충북,11
647,비정규직,11
648,정규직,11
649,청년,11
650,희망,11
651,수도,11
652,시민단체,11
653,배상,11
654,파면,11
655,교장,11
656,통해,11
657,이사장,11
658,이혼,11
659,평택,11
660,공공기관,11
661,박종철,11
662,유포,11
663,손님,11
664,어디,11
665,동영상,11
666,폭탄,11
667,철회,11
668,급증,11
669,무슨,11
670,선언,11
671,부당,11
672,인재,11
673,부족,11
674,사법부,11
675,사이버,11
676,어금니,11
677,요양,11
678,생일,10
679,선물,10
680,예방,10
681,여대생,10
682,담배,10
683,한국인,10
684,문재인,10
685,월급,10
686,아기,10
687,건설,10
688,수사권,10
689,자매,10
690,동물,10
691,별세,10
692,초등생,10
693,캠프,10
694,감시,10
695,전교조,10
696,알바,10
697,규제,10
698,모텔,10
699,문무,10
700,유지,10
701,보험금,10
702,타고,10
703,사태,10
704,기획,10
705,조폭,10
706,연극,10
707,돋보기,10
708,학기,10
709,바로,10
710,학과,10
711,계획,10
712,이웃,10
713,최초,10
714,노동자,10
715,정상,10
716,지청장,10
717,일요,10
718,도입,10
719,돌입,10
720,농성,10
721,아동학대,10
722,충격,10
723,지적,10
724,곳곳,10
725,변명,10
726,은행,10
727,기자회견,10
728,상가,10
729,김정은,10
730,내사,10
731,승용차,10
732,고의,10
733,거래소,10
734,전공,10
735,권고,10
736,차관,10
737,헬기,10
738,민주당,10
739,군인,10
740,추문,10
741,증인,10
742,오태석,10
743,형량,10
744,비서,10
745,패소,10
746,포착,10
747,유가족,10
748,지방,10
749,특별,10
750,전기,10
751,사인,10
752,호선,10
753,공포,10
754,원세훈,10
755,연휴,10
756,스프링클러,10
757,상고,10
758,모녀,10
759,조현준,10
760,금호,9
761,타이어,9
762,일부,9
763,공부,9
764,정말,9
765,절반,9
766,영화,9
767,인공,9
768,인형,9
769,모습,9
770,이동준,9
771,자료,9
772,첫날,9
773,단계,9
774,서비스,9
775,바다,9
776,커피,9
777,형제,9
778,생존자,9
779,마음,9
780,증언,9
781,건보,9
782,적용,9
783,보완,9
784,상대로,9
785,천안함,9
786,기관,9
787,대북,9
788,헌재,9
789,명령,9
790,조윤선,9
791,이제,9
792,장치,9
793,수용,9
794,주의,9
795,터미널,9
796,대형,9
797,김어준,9
798,선거,9
799,역사,9
800,강풍,9
801,대비,9
802,처음,9
803,야산,9
804,돼지,9
805,장애,9
806,사상,9
807,춘천,9
808,방역,9
809,행정,9
810,장례,9
811,필로폰,9
812,아침,9
813,폭언,9
814,둔기,9
815,주차장,9
816,비난,9
817,분양,9
818,노무현,9
819,사이트,9
820,선수,9
821,강남,9
822,투약,9
823,진료,9
824,수원,9
825,고민,9
826,속도,9
827,남경필,9
828,가짜,9
829,민주,9
830,산업,9
831,헌법,9
832,답변,9
833,한마디,9
834,청소,9
835,위기,9
836,지인,9
837,김지은,9
838,정지,9
839,최종,9
840,접촉,9
841,물어,9
842,촬영,9
843,차단,9
844,응원,9
845,외부,9
846,개인,9
847,해수부,9
848,경험,9
849,시인,9
850,이름,9
851,가구,9
852,홍문종,9
853,작동,9
854,전복,9
855,묵인,9
856,법정구속,9
857,당신,9
858,여교사,9
859,재난,9
860,정치자금,9
861,이우현,9
862,내부,9
863,무혐의,9
864,영진,9
865,업주,9
866,먼저,9
867,복지,9
868,당직,9
869,불참,9
870,임은정,9
871,효성,9
872,기부,8
873,예상,8
874,동생,8
875,초읽기,8
876,강사,8
877,근로,8
878,주변,8
879,막말,8
880,법무,8
881,법인,8
882,임원,8
883,케어,8
884,중상,8
885,요청,8
886,보도,8
887,교실,8
888,전자발찌,8
889,비방,8
890,국민연금,8
891,여자친구,8
892,구속기소,8
893,기회,8
894,뽑기,8
895,로비,8
896,업무방해,8
897,특수,8
898,단축,8
899,시스템,8
900,최선,8
901,상황,8
902,모욕,8
903,강원,8
904,이불,8
905,소득,8
906,비용,8
907,잘못,8
908,명품,8
909,진행,8
910,과태료,8
911,환영,8
912,환경,8
913,최악,8
914,무효,8
915,전문가,8
916,생활,8
917,농장,8
918,거리,8
919,서류,8
920,입양,8
921,가해,8
922,과정,8
923,그룹,8
924,상태,8
925,제공,8
926,취한,8
927,뒷돈,8
928,초미세먼지,8
929,지난해,8
930,통제,8
931,한잔,8
932,선원,8
933,원룸,8
934,음란,8
935,비밀,8
936,작가,8
937,감독,8
938,제외,8
939,개정안,8
940,사유,8
941,최경환,8
942,인터넷,8
943,조업,8
944,대기,8
945,부위,8
946,꼼수,8
947,비트코인,8
948,작년,8
949,김윤옥,8
950,김해,8
951,관심,8
952,교통,8
953,빌딩,8
954,겨울,8
955,사체,8
956,유명,8
957,고생,8
958,뺑소니,8
959,감찰,8
960,동참,8
961,폭발물,8
962,추징,8
963,눈길,8
964,보전,8
965,충돌,8
966,활주로,8
967,제한,8
968,이송,8
969,야간,8
970,실수,8
971,다리,8
972,피소,8
973,촛불,8
974,일정,8
975,관광,8
976,분석,8
977,장례식,8
978,의회,8
979,발전,8
980,중요,8
981,병역,8
982,불복,8
983,신입생,8
984,진정,8
985,노래방,8
986,구성,8
987,휴일,8
988,출근,8
989,대학교수,8
990,직장인,8
991,체험,8
992,여주,8
993,종로,8
994,마리,8
995,목욕탕,8
996,합동,8
997,작성,8
998,출범,8
999,정규,8
1000,파일,8
1001,중형,8
1002,투숙,8
1003,삼척,8
1004,집도,8
1005,맞이,8
1006,방서,8
1007,탈세,8
1008,동파,8
1009,순직,7
1010,경영,7
1011,정상화,7
1012,잠정,7
1013,반납,7
1014,수입,7
1015,노모,7
1016,게임,7
1017,목숨,7
1018,부동산,7
1019,영향,7
1020,저수지,7
1021,개최,7
1022,교체,7
1023,속출,7
1024,평창동계올림픽,7
1025,박사,7
1026,신축,7
1027,분노,7
1028,누리꾼,7
1029,계좌,7
1030,사례,7
1031,민간,7
1032,추적,7
1033,종결,7
1034,조정,7
1035,수업,7
1036,신체,7
1037,법적,7
1038,일본,7
1039,불명,7
1040,당한,7
1041,두번째,7
1042,안종범,7
1043,선발,7
1044,포함,7
1045,영업,7
1046,집행,7
1047,보안,7
1048,골프,7
1049,로스쿨,7
1050,합격자,7
1051,복귀,7
1052,마트,7
1053,신동빈,7
1054,관리인,7
1055,그림,7
1056,재수,7
1057,새마을금고,7
1058,돌연,7
1059,노로바이러스,7
1060,사관,7
1061,의도,7
1062,제명,7
1063,구청,7
1064,북적,7
1065,전면,7
1066,정당,7
1067,접수,7
1068,육아휴직,7
1069,지연,7
1070,해역,7
1071,항공,7
1072,부하,7
1073,하일지,7
1074,운행,7
1075,휴대폰,7
1076,회사,7
1077,군수,7
1078,통과,7
1079,라인,7
1080,임대주택,7
1081,상납,7
1082,통영,7
1083,만남,7
1084,장기,7
1085,상사,7
1086,지지자,7
1087,열풍,7
1088,발의,7
1089,전역,7
1090,목사,7
1091,배제,7
1092,파손,7
1093,촉구,7
1094,수습,7
1095,시험,7
1096,소재,7
1097,제보,7
1098,저출산,7
1099,걱정,7
1100,전자,7
1101,보행자,7
1102,패럴림픽,7
1103,특보,7
1104,열사,7
1105,스님,7
1106,식약처,7
1107,심각,7
1108,취해,7
1109,변경,7
1110,서장,7
1111,서도,7
1112,임신,7
1113,폐교,7
1114,불길,7
1115,도움,7
1116,실명,7
1117,등록,7
1118,서울역,7
1119,천안,7
1120,산재,7
1121,생명,7
1122,경리,7
1123,직권,7
1124,승무원,7
1125,동결,7
1126,거절,7
1127,주거,7
1128,사흘,7
1129,심야,7
1130,종합,7
1131,질환,7
1132,위로,7
1133,소녀,7
1134,자체,7
1135,특정,7
1136,총력,7
1137,보육,7
1138,유학,7
1139,개인정보,7
1140,이성,7
1141,만원,7
1142,술집,7
1143,청주대,7
1144,후속,7
1145,사무실,7
1146,선배,7
1147,운항,7
1148,보조금,7
1149,충남,7
1150,배소,7
1151,신분,7
1152,사립,7
1153,사전,7
1154,불량,7
1155,발목,7
1156,협회,7
1157,파문,7
1158,지속,7
1159,성공,7
1160,애인,7
1161,공립,7
1162,행복,7
1163,법관,7
1164,합헌,7
1165,화상,7
1166,파크,7
1167,무술년,7
1168,신해철,7
1169,천장,7
1170,꿀꺽,7
1171,체감온도,7
1172,천사,7
1173,특검,7
1174,하라,7
1175,국과수,7
1176,김천,7
1177,정승,7
1178,발화,7
1179,도착,6
1180,현송월,6
1181,화가,6
1182,로부터,6
1183,결심,6
1184,화물차,6
1185,스트레스,6
1186,감소,6
1187,대리,6
1188,여행,6
1189,짝퉁,6
1190,고양이,6
1191,증가,6
1192,반려견,6
1193,주요,6
1194,체결,6
1195,수리,6
1196,할인,6
1197,실제,6
1198,불만,6
1199,고객,6
1200,무시,6
1201,훈련,6
1202,사이,6
1203,요금,6
1204,법률,6
1205,스스로,6
1206,나이,6
1207,감사,6
1208,퇴직,6
1209,가스,6
1210,공식,6
1211,박탈,6
1212,항공기,6
1213,협의,6
1214,합법,6
1215,회항,6
1216,승소,6
1217,브로커,6
1218,오피스텔,6
1219,장학금,6
1220,인기,6
1221,명의,6
1222,보관,6
1223,폐업,6
1224,선장,6
1225,전체,6
1226,밤샘,6
1227,고속,6
1228,부분,6
1229,민낯,6
1230,골든타임,6
1231,대기업,6
1232,물질,6
1233,익산,6
1234,노총,6
1235,노동,6
1236,한계,6
1237,절차,6
1238,김기춘,6
1239,강행,6
1240,장자연,6
1241,베트남,6
1242,설명,6
1243,소방차,6
1244,연루,6
1245,최저,6
1246,등장,6
1247,전쟁,6
1248,좌석,6
1249,행동,6
1250,자전거,6
1251,불안,6
1252,일대,6
1253,주식,6
1254,양성,6
1255,반응,6
1256,수익,6
1257,정직,6
1258,체납,6
1259,불감증,6
1260,조선,6
1261,소리,6
1262,대처,6
1263,음료,6
1264,포기,6
1265,주목,6
1266,부가,6
1267,결항,6
1268,종교,6
1269,들통,6
1270,추궁,6
1271,피하,6
1272,회식,6
1273,남북,6
1274,주말,6
1275,만취,6
1276,투표,6
1277,번호,6
1278,은폐,6
1279,상담,6
1280,초교,6
1281,환송,6
1282,형사,6
1283,이사,6
1284,조건,6
1285,전수,6
1286,실시,6
1287,위법,6
1288,수술,6
1289,가출,6
1290,무방비,6
1291,재건축,6
1292,지방선거,6
1293,왜곡,6
1294,면허,6
1295,뿌리,6
1296,목줄,6
1297,권리,6
1298,행사,6
1299,환경미화원,6
1300,능력,6
1301,불허,6
1302,롯데,6
1303,거래,6
1304,맥주,6
1305,가축,6
1306,분뇨,6
1307,부친,6
