,단어명,정치1분기빈도수,정치2분기빈도수,정치3분기빈도수,정치4분기빈도수,총빈도수
221,개최,12,8,6,6,32
191,반발,13,10,3,6,32
131,청년,17,4,8,3,32
342,돌입,8,16,5,3,32
261,예고,10,12,7,3,32
570,청문회,4,2,19,7,32
199,핵심,13,7,5,7,32
365,나라,8,13,10,1,32
469,단체,6,19,4,3,32
626,국방,4,2,19,7,32
115,압박,18,7,3,4,32
711,장하,3,1,14,14,32
266,해명,10,14,4,4,32
270,회복,10,6,12,4,32
356,채용,8,7,7,9,31
557,정청,5,8,16,2,31
372,기간,7,10,10,4,31
328,무산,8,20,2,1,31
386,시대,7,13,7,4,31
393,도부,7,14,9,1,31
297,의결,9,12,6,4,31
350,포함,8,11,11,1,31
275,체제,10,17,3,1,31
219,제출,12,7,7,5,31
254,예비,11,18,1,1,31
205,전달,13,8,6,4,31
171,사고,14,6,8,3,31
204,수도,13,12,3,3,31
234,수사권,11,17,1,2,31
212,이재용,13,5,12,1,31
196,판결,13,5,2,10,30
276,싸움,10,10,7,3,30
495,김무성,6,8,8,8,30
107,접촉,20,6,2,2,30
260,노력,10,11,7,2,30
176,카드,14,4,7,5,30
257,나경원,11,11,2,6,30
274,이후,10,13,5,2,30
284,사태,10,5,8,7,30
373,실패,7,14,6,3,30
589,김정숙,4,6,11,9,30
487,계획,6,8,13,3,30
913,출장,1,23,4,2,30
383,동시,7,12,3,8,30
586,본회의,4,21,4,1,30
541,규명,5,13,10,1,29
183,공식,14,10,4,1,29
382,가능,7,17,3,2,29
349,반응,8,10,7,4,29
142,사찰,17,5,4,3,29
708,효과,3,9,12,5,29
460,완화,6,4,16,3,29
327,조정,8,13,4,4,29
357,과거,8,13,5,3,29
162,상승,15,8,2,4,29
435,주의,6,5,13,5,29
399,산업,7,7,7,7,28
957,단독,1,17,2,8,28
263,강조,10,3,11,4,28
277,직원,10,5,6,7,28
259,전쟁,10,8,3,7,28
434,막말,6,11,4,7,28
105,성폭력,20,3,4,1,28
309,행위,9,10,3,6,28
332,업무,8,7,9,4,28
355,부정,8,11,6,3,28
571,후보자,4,4,15,5,28
170,안전,15,6,4,3,28
341,나선,8,11,8,1,28
464,목소리,6,8,10,3,27
364,총선,8,9,7,3,27
253,적극,11,5,7,4,27
243,정신,11,7,3,6,27
312,연기,9,8,4,6,27
543,판단,5,14,5,3,27
278,의미,10,5,6,6,27
318,현장,9,5,8,4,26
247,개편,11,6,6,3,26
226,중앙,12,9,2,3,26
847,주자,2,6,17,1,26
339,모든,8,8,7,3,26
220,통과,12,5,7,2,26
189,질문,14,6,3,3,26
231,착수,12,8,3,3,26
166,구형,15,6,4,1,26
518,수용,5,18,1,2,26
635,다음,4,12,6,3,25
787,사법,2,5,12,6,25
492,송영,6,1,17,1,25
788,친문,2,7,15,1,25
255,신청,11,6,4,4,25
218,긍정,12,5,5,3,25
582,부대,4,2,2,17,25
308,감사원,9,5,7,4,25
244,시기,11,5,8,1,25
182,관리,14,3,7,1,25
649,인천,3,19,1,2,25
585,박정희,4,3,13,5,25
945,이행,1,13,6,5,25
782,태극기,2,1,2,20,25
241,좌파,11,2,3,9,25
396,포기,7,11,2,5,25
488,진행,6,11,6,2,25
358,피해,8,3,10,4,25
141,점검,17,4,2,2,25
273,다른,10,9,5,1,25
251,먼저,11,3,5,5,24
420,통일,7,8,8,1,24
245,가족,11,6,3,4,24
294,철회,9,11,2,2,24
390,연루,7,9,7,1,24
391,가장,7,10,6,1,24
568,교육,4,9,7,4,24
587,연속,4,2,14,4,24
289,여당,9,8,4,3,24
458,쟁점,6,12,5,1,24
315,기회,9,7,2,6,24
478,개정,6,9,6,3,24
351,상황,8,6,5,5,24
228,불참,12,7,2,3,24
187,도착,14,1,7,2,24
442,중요,6,8,9,1,24
765,해외,2,15,5,2,24
310,전문,9,5,9,1,24
486,문정인,6,10,7,1,24
418,거래,7,8,5,4,24
793,보좌,2,11,9,2,24
282,운명,10,8,5,1,24
858,재정,1,6,14,2,23
760,검증,2,7,9,5,23
511,겨냥,5,10,4,4,23
235,징계,11,1,6,5,23
237,증거,11,9,2,1,23
336,선물,8,4,8,3,23
143,피해자,16,2,2,3,23
288,초청,10,5,6,2,23
286,차관,10,3,9,1,23
303,집권,9,3,9,2,23
305,고민,9,7,5,2,23
313,충돌,9,7,2,5,23
634,속보,4,9,6,4,23
330,활동,8,6,5,4,23
271,약속,10,6,4,3,23
525,외교부,5,3,4,11,23
268,기자,10,5,5,3,23
472,복귀,6,5,10,2,23
422,과제,7,6,8,2,23
258,선수,11,1,7,4,23
366,금지,8,10,4,1,23
466,잡기,6,11,2,4,23
456,정보,6,2,10,5,23
522,채택,5,4,10,4,23
290,강행,9,7,1,6,23
190,연대,13,2,2,5,22
446,변호사,6,7,8,1,22
722,개정안,3,8,10,1,22
660,추천,3,12,6,1,22
491,기념,6,10,3,3,22
430,도지사,6,7,5,4,22
291,적용,9,1,6,6,22
256,제재,11,4,6,1,22
139,운동,17,1,3,1,22
556,김진태,5,4,6,7,22
353,통해,8,3,5,6,22
269,일부,10,5,5,2,22
867,연설,1,2,14,5,22
499,언론,6,7,6,2,21
848,유세,2,17,1,1,21
496,지속,6,5,7,3,21
321,제기,9,6,5,1,21
381,참여,7,6,5,3,21
298,정면,9,8,2,2,21
346,주말,8,9,3,1,21
578,경쟁,4,8,7,2,21
323,출범,9,7,3,2,21
603,어디,4,7,5,5,21
296,국무회의,9,5,5,2,21
506,심판,5,12,1,3,21
426,행보,7,6,6,2,21
215,원칙,12,5,3,1,21
409,하라,7,7,3,4,21
441,방송,6,8,5,2,21
602,도입,4,8,5,4,21
140,예술,17,2,1,1,21
516,참배,5,5,10,1,21
432,세력,6,8,2,5,21
343,동반,8,4,7,2,21
844,부동산,2,3,14,2,21
419,마음,7,5,8,1,21
425,상실,7,4,8,2,21
281,정국,10,7,1,2,20
809,의심,2,9,5,4,20
485,영향,6,7,5,2,20
689,역할,3,9,4,4,20
475,표명,6,11,1,2,20
265,안해,10,2,5,3,20
347,찬성,8,8,2,2,20
468,허위,6,8,3,3,20
562,최소,5,9,4,2,20
262,유지,10,4,5,1,20
302,촛불,9,2,4,5,20
370,유출,8,1,7,4,20
509,예상,5,12,1,2,20
414,목표,7,6,4,3,20
408,변화,7,8,2,3,20
885,황교안,1,1,4,14,20
607,심상정,4,8,6,2,20
566,신임,5,2,10,3,20
547,인권,5,7,5,3,20
550,방향,5,7,7,1,20
982,공공기관,1,1,11,7,20
376,반드시,7,6,5,2,20
553,전환,5,7,6,2,20
371,이슈,7,9,2,2,20
463,누가,6,7,4,3,20
304,여론,9,6,2,2,19
551,현실,5,9,4,1,19
316,강원랜드,9,5,3,2,19
314,중진,9,6,3,1,19
795,대결,2,10,5,2,19
334,공감,8,4,3,4,19
534,범죄,5,6,4,4,19
572,강남,4,10,3,2,19
229,통일부,12,2,3,2,19
440,유감,6,6,2,5,19
407,반성,7,6,3,3,19
387,이틀,7,9,2,1,19
248,공연,11,2,3,3,19
344,주재,8,4,5,2,19
910,의안,1,14,3,1,19
375,공직자,7,6,3,3,19
929,보장,1,7,10,1,19
467,불발,6,5,6,2,19
354,불가피,8,5,3,3,19
692,지금,3,6,4,6,19
188,폭로,14,2,2,1,19
535,선거법,5,6,5,2,18
579,전격,4,10,2,2,18
531,정의용,5,5,6,2,18
573,견제,4,10,3,1,18
544,처음,5,6,5,2,18
591,사업,4,2,6,6,18
549,주년,5,5,5,3,18
882,보고서,1,2,12,3,18
331,시도,8,7,1,2,18
359,기획,8,6,3,1,18
367,제한,8,5,4,1,18
374,때문,7,7,3,1,18
380,비공개,7,5,1,5,18
388,권한,7,5,4,2,18
895,이준석,1,7,7,3,18
410,아들,7,4,5,2,18
839,병원,2,11,3,2,18
775,지적,2,5,4,7,18
214,장제원,12,2,1,3,18
279,행정,10,4,3,1,18
451,인물,6,6,5,1,18
452,사망,6,1,9,2,18
206,수수,13,1,3,1,18
731,야권,2,11,2,3,18
726,공격,3,7,6,2,18
280,당론,10,4,1,3,18
311,정치인,9,4,3,2,18
301,거론,9,4,3,2,18
493,만찬,6,8,3,1,18
295,우선,9,2,6,1,18
352,고심,8,4,4,2,18
555,사법부,5,2,6,4,17
969,음주운전,1,2,2,12,17
552,마무리,5,4,7,1,17
597,제도,4,3,8,2,17
948,범위,1,11,4,1,17
598,독립,4,1,10,2,17
819,계파,2,5,8,2,17
750,환경,2,4,2,9,17
724,주기,3,7,5,2,17
673,탁현민,3,9,4,1,17
642,왜곡,3,8,4,2,17
640,수준,4,3,6,4,17
631,자리,4,5,7,1,17
836,조국,2,4,3,8,17
1015,방탄,1,12,2,2,17
360,대비,8,4,4,1,17
431,불가,6,5,4,2,17
436,기각,6,2,8,1,17
417,기준,7,4,2,4,17
320,아베,9,4,3,1,17
416,내용,7,4,5,1,17
413,전해철,7,3,4,3,17
521,등장,5,3,6,3,17
450,의문,6,6,2,3,17
403,소송,7,4,5,1,17
439,최종,6,8,1,2,17
614,잘못,4,1,6,5,16
727,종합,3,6,1,6,16
523,라며,5,5,4,2,16
905,인도,1,2,11,2,16
785,폭풍,2,6,6,2,16
398,절차,7,4,4,1,16
515,차단,5,8,2,1,16
455,강력,6,3,6,1,16
405,반박,7,1,7,1,16
608,토론,4,5,4,3,16
817,생중계,2,11,2,1,16
377,결심,7,6,2,1,16
508,정계,5,8,2,1,16
565,전당대회,5,4,6,1,16
683,취재,3,9,2,2,16
686,태풍,3,4,7,2,16
536,특혜,5,5,3,3,16
470,사전,6,4,3,3,16
461,의사,6,5,4,1,16
933,부적절,1,4,5,6,16
964,싱가포르,1,8,4,3,16
497,공모,6,7,2,1,16
716,항소,3,5,1,7,16
540,보호,5,2,6,3,16
719,자료,3,5,5,3,16
476,벌금,6,4,2,4,16
490,석방,6,7,2,1,16
528,꼼수,5,6,4,1,16
337,부처,8,1,2,5,16
994,입법,1,9,4,2,16
479,면제,6,2,5,2,15
811,총력,2,8,3,2,15
715,불복,3,7,1,4,15
718,경고,3,8,2,2,15
454,끝내,6,7,1,1,15
618,위장,4,5,4,2,15
723,전국,3,7,2,3,15
429,연장,6,1,6,2,15
489,언제,6,3,4,2,15
333,변호인,8,4,2,1,15
599,선출,4,8,1,2,15
423,남북관계,7,3,3,2,15
335,입당,8,4,1,2,15
483,경계,6,2,2,5,15
529,눈물,5,5,4,1,15
838,가동,2,7,5,1,15
