,단어명,빈도수
430,미사일,16
431,시동,16
432,이전,16
433,계속,16
434,노조,16
435,생각,16
436,전면,16
437,언제,16
438,대상,16
439,관람,16
440,시진핑,16
441,면담,16
442,공공기관,16
443,나라,16
444,성과,16
445,위반,16
446,명단,16
447,한국인,16
448,보복,16
449,다스,16
450,장소,16
451,수석,16
452,도부,16
453,철회,16
454,방중,16
455,구역,15
456,복귀,15
457,징계,15
458,육군,15
459,탄핵,15
460,나선,15
461,출석,15
462,제시,15
463,취임,15
464,이후,15
465,방위,15
466,가능,15
467,하락,15
468,아들,15
469,속도,15
470,목소리,15
471,합동,15
472,유지,15
473,사전,15
474,단축,15
475,시장,15
476,가동,15
477,박영선,15
478,인터넷,15
479,부인,15
480,이재용,15
481,고발,15
482,호텔,15
483,통보,15
484,일부,15
485,선발,15
486,당권,15
487,공약,15
488,막말,15
489,고려,14
490,반발,14
491,진실,14
492,유세,14
493,김관영,14
494,출신,14
495,새해,14
496,공군,14
497,어디,14
498,권한,14
499,노력,14
500,거부,14
501,행보,14
502,집단,14
503,운영,14
504,먼저,14
505,주목,14
506,신뢰,14
507,투쟁,14
508,전환,14
509,직원,14
510,정착,14
511,까닭,14
512,번영,14
513,설치,14
514,국정조사,14
515,공단,14
516,등록,14
517,대한민국,14
518,내정,14
519,선출,14
520,긍정,14
521,방미,14
522,민심,14
523,당내,14
524,분리,14
525,운동,14
526,군사분계선,14
527,지방,14
528,친서,14
529,정의,14
530,분권,14
531,보좌,14
532,긴급,14
533,야권,14
534,리얼미터,14
535,변화,14
536,정세균,14
537,참가,14
538,핫라인,14
539,갤럽,14
540,서해,13
541,우선,13
542,계획,13
543,개발,13
544,헬기,13
545,싸움,13
546,선택,13
547,기간,13
548,성폭행,13
549,진행,13
550,교환,13
551,귀국,13
552,내달,13
553,공사,13
554,후보자,13
555,교류,13
556,검사,13
557,의견,13
558,안해,13
559,혐의,13
560,채택,13
561,간다,13
562,참모,13
563,보고서,13
564,문희상,13
565,정치인,13
566,마린,13
567,긴장,13
568,계기,13
569,주민,13
570,여론,13
571,인상,13
572,수용,13
573,우원식,13
574,대변인,13
575,측근,13
576,보장,13
577,경기,13
578,단계,13
579,적폐,13
580,우상호,13
581,여론조사,13
582,이방,13
583,조속,12
584,유력,12
585,민간,12
586,파괴,12
587,냉면,12
588,얘기,12
589,첫날,12
590,수도,12
591,과거,12
592,행위,12
593,대사,12
594,단일,12
595,악수,12
596,대위,12
597,호남,12
598,센터,12
599,황교안,12
600,헌법재판관,12
601,제출,12
602,지속,12
603,순방,12
604,교황,12
605,원금,12
606,때문,12
607,총장,12
608,편지,12
609,대신,12
610,허위,12
611,재산,12
612,의총,12
613,질문,12
614,폭파,12
615,의원직,12
616,위법,12
617,경호,12
618,위장,12
619,베트남,12
620,평가,12
621,은산,12
622,오른,12
623,조국,12
624,기회,12
625,피해,12
626,눈물,12
627,상임,12
