,단어명,빈도수
0,홍준표,49
1,국회,44
2,이재명,44
3,경제,42
4,국감,40
5,정책,38
6,총리,37
7,전원책,35
8,이언주,32
9,김동연,31
10,발언,31
11,손학규,29
12,임종석,28
13,여야,28
14,선언,27
15,일자리,26
16,보수,26
17,하태경,25
18,박지원,25
19,유치원,24
20,논란,24
21,김병준,23
22,김성태,23
23,유은혜,23
24,김정은,22
25,고용,22
26,예산,22
27,평양,22
28,재판,21
29,조명,21
30,민주,21
31,태극기,20
32,문재인,20
33,장관,20
34,국정,20
35,경찰,20
36,특별,19
37,탄핵,19
38,이해찬,19
39,남북,18
40,박근혜,18
41,임명,18
42,방문,18
43,비준,18
44,부대,17
45,검토,17
46,평화,17
47,뉴스,17
48,국민,17
49,회의,16
50,홍영표,16
51,교체,16
52,심재철,16
53,북미,15
54,합의,15
55,인사,15
56,비리,15
57,가짜,15
58,성장,15
59,실장,15
60,세습,15
61,법원,15
62,하나,14
63,황교안,14
64,이낙연,14
65,박용진,14
66,김수현,14
67,의혹,14
68,대책,14
69,장하,14
70,선거,14
71,정권,14
72,다스,14
73,논의,13
74,이용주,13
75,주도,13
76,공동,13
77,사과,13
78,비판,13
79,개혁,13
80,냉면,13
81,비핵화,12
82,음주운전,12
83,민주당,12
84,고발,11
85,친박,11
86,사람,11
87,외교부,11
88,협력,11
89,공개,11
90,저격,11
91,부인,11
92,방북,11
93,교황,11
94,이명박,11
95,판결,10
96,확대,10
97,참석,10
98,전여옥,10
99,지지도,10
100,특위,10
101,하락,10
102,여사,10
103,조사,10
104,발표,10
105,불법,10
106,징역,10
107,사립,10
108,국정감사,10
109,필요,9
110,한반도,9
111,요구,9
112,환경,9
113,특활비,9
114,협치,9
115,좌파,9
116,고위,9
117,회담,9
118,김정숙,9
119,협의,9
120,채용,9
121,지지율,9
122,징용,8
123,문제,8
124,정상회담,8
125,사용,8
126,김무성,8
127,혁신,8
128,조국,8
129,수석,8
130,김부선,8
131,후임,8
132,대북,8
133,동시,8
134,위해,8
135,감사,8
136,전략,8
137,사건,8
138,공무원,8
139,동의,8
140,계엄,8
141,국민연금,8
142,본격,8
143,생각,8
144,단독,8
145,농단,8
146,모두,8
147,순방,8
148,대화,7
149,출신,7
150,준비,7
151,자기,7
152,최저임금,7
153,역사,7
154,선동열,7
155,혜원,7
156,국정원,7
157,이상,7
158,소득,7
159,규제,7
160,김진태,7
161,해임,7
162,핵심,7
163,전쟁,7
164,경제부총리,7
165,공정,7
166,경질,7
167,대위,7
168,항소,7
169,국조,7
170,우려,7
171,청문회,7
172,군사,7
173,국방,7
174,비서실,7
175,위원장,7
176,막말,7
177,판문점,7
178,지적,7
179,공공기관,7
180,출석,7
181,직원,7
182,사태,7
183,통합,7
184,노무현,7
185,산업,7
186,유시민,7
187,계속,6
188,한미,6
189,인상,6
190,살인,6
191,행위,6
192,결정,6
193,개최,6
194,지금,6
195,적용,6
196,트럼프,6
197,윤창,6
198,성과,6
199,청산,6
200,해촉,6
201,무시,6
202,반발,6
203,정치권,6
204,셀프,6
205,강행,6
206,평가,6
207,발의,6
208,나경원,6
209,사업,6
210,반대,6
211,요청,6
212,지역,6
213,대법관,6
214,지사,6
215,종합,6
216,의미,6
217,지원,6
218,연기,6
219,유튜브,6
220,폼페이,6
221,목구멍,6
222,부적절,6
223,선글라스,6
224,기회,6
225,정말,6
226,통해,6
227,조작,6
228,최고,6
229,여의도,6
230,자금,6
231,교육부,6
232,사법,6
233,국가,6
234,정신,6
235,유럽,6
236,행사,6
237,관계,5
238,조치,5
239,아세안,5
240,연대,5
241,이견,5
242,우리,5
243,징계,5
244,사퇴,5
245,정상,5
246,시간,5
247,압수수색,5
248,관련,5
249,상황,5
250,배상,5
251,최선,5
252,정미,5
253,호법,5
254,박정희,5
255,강연재,5
256,검증,5
257,세력,5
258,쇄신,5
259,처벌,5
260,처리,5
261,노조,5
262,복지,5
263,결과,5
264,경계,5
265,효과,5
266,부처,5
267,동원,5
268,후보자,5
269,제출,5
270,사회,5
271,인적,5
272,포기,5
273,정당,5
274,취하,5
275,분야,5
276,비난,5
277,갈등,5
278,조강,5
279,비공개,5
280,먼저,5
281,속도,5
282,어디,5
283,강제,5
284,주장,5
285,구성,5
286,역풍,5
287,카드,5
288,답방,5
289,증가,5
290,일침,5
291,세월호,5
292,헌법,5
293,책임,5
294,이행,5
295,확인,5
296,운영,5
297,촉구,5
298,진보,5
299,정보,5
300,적발,5
301,연설,5
302,혜경궁,5
303,김씨,5
304,선고,5
305,충돌,5
306,유감,5
307,촛불,5
308,잘못,5
309,주의,5
310,적폐,5
311,발생,5
312,인척,5
313,위헌,5
314,야당,5
315,공사,5
316,해제,5
317,기재부,5
318,뇌물,5
319,부총리,5
320,사실,4
321,성사,4
322,적극,4
323,역할,4
324,동맹,4
325,기대,4
326,면담,4
327,미사일,4
328,기지,4
329,거래,4
330,정지,4
331,문화,4
332,현장,4
333,예산안,4
334,심사,4
335,위원,4
336,언행,4
337,수준,4
338,활동,4
339,개선,4
340,감사원,4
341,남방,4
342,관심,4
343,기준,4
344,강조,4
345,해결,4
346,주택,4
347,민간,4
348,전문가,4
349,방지,4
350,투톱,4
351,강화,4
352,잡기,4
353,연내,4
354,거물,4
355,홍문종,4
356,의심,4
357,경기,4
358,기관,4
359,대신,4
360,도입,4
361,연속,4
362,안민석,4
363,불복,4
364,조정,4
365,도지사,4
366,수장,4
367,선수,4
368,김관영,4
369,압박,4
370,미국,4
371,복지부,4
372,전달,4
373,위기,4
374,하라,4
375,기무사,4
376,아내,4
377,공립,4
378,정경두,4
379,성폭행,4
380,반응,4
381,이은재,4
382,주목,4
383,해명,4
384,근로,4
385,기간,4
386,시대,4
387,보고,4
388,가능성,4
389,유출,4
390,수사,4
391,성범죄,4
392,피해,4
393,방안,4
394,비용,4
395,의결,4
396,구속,4
397,인하,4
398,훼손,4
399,전수,4
400,공감,4
401,회복,4
402,신청,4
403,극우,4
404,대응,4
405,민주주의,4
406,원전,4
407,정의당,4
408,경제정책,4
409,이미지,4
410,차기,4
411,소유,4
412,사법부,4
413,패권,4
414,효력,4
415,김문수,4
416,설전,4
417,전두환,4
418,진실,4
419,질의,4
420,범죄,4
421,강용석,4
422,상승,4
423,정의,4
424,채택,4
425,겨냥,4
426,증인,4
427,가족,4
428,게임,4
429,감서,4
430,파리,4
431,국토부,4
432,고양이,4
433,취임,4
434,교육,4
435,벌금,4
436,실소,4
437,속보,4
438,업무,4
439,국군의날,4
440,정세현,3
441,허위,3
442,위반,3
443,펜스,3
444,소통,3
445,원내대표,3
446,돌입,3
447,이정우,3
448,심판,3
449,국회의원,3
450,자격,3
451,발끈,3
452,집단,3
453,이름,3
454,조심,3
455,통상,3
456,윤상현,3
457,지지,3
458,사고,3
459,인생,3
460,아파트,3
461,반문,3
462,주년,3
463,완화,3
464,푸틴,3
465,입장,3
466,싱가포르,3
467,의견,3
468,착수,3
469,오찬,3
470,민정,3
471,탈당,3
472,수소차,3
473,목소리,3
474,예고,3
475,선물,3
476,현직,3
477,대법원,3
478,용국,3
479,피해자,3
480,자유,3
481,방탄소년단,3
482,취소,3
483,독도,3
484,기부,3
485,단체,3
486,일방,3
487,통행,3
488,야권,3
489,기반,3
490,청년,3
491,시급,3
492,통보,3
493,자료,3
494,파행,3
495,종부세,3
496,신임,3
497,개편,3
498,분노,3
499,안전,3
500,법안,3
501,전국,3
502,현안,3
503,질서,3
504,유력,3
505,불참,3
506,도종환,3
507,방침,3
508,양진호,3
509,독설,3
510,발정,3
511,알바,3
512,보호,3
513,재발,3
514,긍정,3
515,고조,3
516,의회,3
517,지속,3
518,도로,3
519,보고서,3
520,불가피,3
521,토론,3
522,곤란,3
523,정개,3
524,정수,3
525,인권,3
526,협조,3
527,반성,3
528,외교,3
529,변화,3
530,지시,3
531,신규,3
532,사전,3
533,낭비,3
534,계획,3
535,공연,3
536,모든,3
537,장제원,3
538,탄력,3
539,단위,3
540,사유,3
541,등장,3
542,판단,3
543,노총,3
544,수도,3
545,안해,3
546,특수,3
547,사찰,3
548,공직자,3
549,이전,3
550,선호,3
551,민생,3
552,독주,3
553,다음,3
554,총선,3
555,김학용,3
556,사이,3
557,참여,3
558,탕평채,3
559,약속,3
560,해킹,3
561,송영길,3
562,정협,3
563,의문,3
564,실패,3
565,안상수,3
566,부정,3
567,단기,3
568,목표,3
569,싸움,3
570,스타,3
571,이준석,3
572,건강,3
573,택시,3
574,총수,3
575,여당,3
576,자초,3
577,건의,3
578,빅딜,3
579,깜짝,3
580,동참,3
581,설치,3
582,작업,3
583,영상,3
584,동행,3
585,역대,3
586,제안,3
587,관보,3
588,게재,3
589,문체부,3
590,한라산,3
591,과거,3
592,생계,3
593,특혜,3
594,공방전,3
595,조만간,3
596,여성,3
597,눈길,3
598,시스템,3
599,마이웨이,3
600,노동,3
601,외치,3
602,기자,3
603,배제,3
604,근절,3
605,당론,3
606,예정,3
607,대선,3
608,교통,3
609,정규직,3
610,권리,3
611,박원순,3
612,악재,3
613,누가,3
614,얘기,3
615,중앙,3
616,지뢰,3
617,제거,3
618,장병,3
619,동영상,3
620,김수민,3
621,신체,3
622,헌재,3
623,류여해,3
624,헌법재판관,3
625,출마,3
626,엉망,3
627,공직,3
628,이사장,3
629,강경화,3
630,국보법,3
631,전해철,3
632,수습,3
633,승인,3
634,장애인,3
635,질문,3
636,고교,3
637,무상교육,3
638,산업부,3
639,사자,3
640,폐지,3
641,개정,3
642,선발,3
643,주간,3
644,유자,3
645,인정,3
646,기념,3
647,수초,3
648,보유,3
649,창현,3
650,선거법,2
651,남북정상회담,2
652,불씨,2
653,설명,2
654,개발,2
655,운동권,2
656,동아시아,2
657,찬성,2
658,입당,2
659,불발,2
660,확신,2
661,기만,2
662,무엇,2
663,변호,2
664,노이즈마케팅,2
665,과도,2
666,착각,2
667,프로세스,2
668,신설,2
669,당원,2
670,눈총,2
671,여권,2
672,총력,2
673,노동계,2
674,대립,2
675,미련,2
676,전권,2
677,권한,2
678,통과,2
679,자격정지,2
680,솜방망이,2
681,누리꾼,2
682,공격,2
683,초청,2
684,악화,2
685,불가,2
686,수험생,2
687,격려,2
688,복구,2
689,도움,2
690,검찰,2
691,정체,2
692,해석,2
693,진짜,2
694,당권,2
695,권익위,2
696,건축,2
697,저녁,2
698,방사청,2
699,몰래,2
700,빨갱이,2
701,조선,2
702,도착,2
703,다자,2
704,다해,2
705,경쟁,2
706,김태년,2
707,부실,2
708,부적정,2
709,편성,2
710,사장,2
711,폭풍,2
712,난항,2
713,아동,2
714,수당,2
715,남북관계,2
716,정기,2
717,주군,2
718,정리,2
719,최소,2
720,탐색,2
721,명품,2
722,계파,2
723,과연,2
724,행보,2
725,존재,2
726,인사청문회,2
727,언론,2
728,김명수,2
729,시너지,2
730,뒷받침,2
731,접촉,2
732,통일부,2
733,머리,2
734,티셔츠,2
735,트집,2
736,노출,2
737,철학,2
738,법원행정처,2
739,지방선거,2
740,희생,2
741,노력,2
742,염치,2
743,자존심,2
744,투명,2
745,촉진,2
746,러브콜,2
747,담당,2
748,결위,2
749,기금,2
750,불협화음,2
751,조기,2
752,정통,2
753,관료,2
754,노형욱,2
755,국무조정실장,2
756,거론,2
757,의장,2
758,광장,2
759,거부,2
760,종로,2
761,고시원,2
762,화재,2
763,취약,2
764,심상정,2
765,수사권,2
766,정도,2
767,각각,2
768,임명장,2
769,연일,2
770,죄송,2
771,기강,2
772,지도,2
773,일부,2
774,퇴장,2
775,대한,2
776,전횡,2
777,지명,2
778,철회,2
779,점검,2
780,어이,2
781,조절,2
