,단어명,빈도수
0,홍준표,114
1,안희정,109
2,검찰,108
3,의혹,106
4,민주,104
5,개헌,100
6,수사,100
7,국민,99
8,출마,93
9,개헌안,88
10,조사,82
11,남북,82
12,구속,73
13,여야,73
14,통합,72
15,국정원,71
16,지방선거,68
17,평창,68
18,박근혜,67
19,국회,65
20,국민의당,65
21,평화,62
22,회담,61
23,안철수,61
24,다스,61
25,민주당,58
26,국정,58
27,정당,58
28,총리,55
29,성추행,52
30,선거,50
31,미투,50
32,유승민,48
33,발의,48
34,정봉주,47
35,우원식,45
36,대책,44
37,특활비,41
38,대화,41
39,서울시장,40
40,입장,40
41,혐의,40
42,이명박,39
43,출석,39
44,지지율,39
45,검토,38
46,대북,38
47,재판,38
48,사퇴,38
49,올림픽,38
50,논란,37
51,김성태,37
52,경찰,37
53,성폭행,37
54,가상,37
55,선언,36
56,영장,35
57,김영철,35
58,평창올림픽,35
59,논의,34
60,사실,34
61,결정,34
62,권력,34
63,뇌물,34
64,소환,34
65,북한,34
66,보복,33
67,화폐,33
68,발언,31
69,추미애,31
70,정의당,30
71,사건,30
72,가능성,30
73,회의,30
74,김여정,29
75,심사,28
76,공동,28
77,지사,28
78,합의,27
79,김정은,27
80,협의,27
81,북미,27
82,박수현,27
83,인정,26
84,관계,26
85,정권,26
86,보고,26
87,참석,26
88,정책,25
89,고위,25
90,특사,25
91,박지원,25
92,반대,25
93,트럼프,24
94,문재인,24
95,여부,24
96,요구,24
97,농단,24
98,자금,24
99,문제,24
100,징역,24
101,대응,24
102,관련,24
103,추가,23
104,확정,23
105,불법,23
106,사과,22
107,댓글,22
108,구속영장,22
109,선고,22
110,보도,22
111,장관,22
112,의원직,22
113,김윤옥,21
114,재산,21
115,박원순,21
116,발표,21
117,청구,21
118,생각,21
119,국가,21
120,남경필,21
121,책임,21
122,검사,20
123,압수수색,20
124,시간,20
125,지역,20
126,구조,20
127,청원,20
128,환영,20
129,성폭력,20
130,하나,20
131,복당,20
132,접촉,20
133,단일,20
134,확인,19
135,처리,19
136,결과,19
137,취소,19
138,방문,19
139,경기,19
140,협상,18
141,압박,18
142,보수,18
143,공천,18
144,교섭단체,18
145,위원장,18
146,투표,18
147,한반도,18
148,출발,18
149,주장,18
150,혁신,18
151,위해,18
152,중단,18
153,준비,18
154,경제,18
155,언급,18
156,임종석,18
157,방남,18
158,개혁,18
159,김영남,18
160,당원,18
161,정치권,17
162,여사,17
163,세월호,17
164,청년,17
165,요청,17
166,필요,17
167,정상회담,17
168,비핵화,17
169,거부,17
170,분권,17
171,사회,17
172,행사,17
173,운동,17
174,측근,17
175,예술,17
176,점검,17
177,사찰,17
178,반대파,17
179,밀양,17
180,피해자,16
181,부인,16
182,지지,16
183,공개,16
184,옥중,16
185,비판,16
186,지원,16
187,야당,16
188,협력,16
189,평양,16
190,공무원,16
191,하락,16
192,공세,16
193,최저임금,16
194,전대,16
195,북핵,15
196,우리,15
197,박영선,15
198,구성,15
199,적폐,15
200,자유,15
201,블랙리스트,15
202,개선,15
203,상승,15
204,일정,15
205,법원,15
206,헌법,15
207,구형,15
208,한미,15
209,성공,15
210,지시,15
211,이방,15
212,탈당,15
213,안전,15
214,조배숙,14
215,사고,14
216,최고,14
217,남북정상회담,14
218,전략,14
219,우려,14
220,카드,14
221,사용,14
222,운영,14
223,지방,14
224,예정,14
225,탄핵,14
