,단어명,경제1분기빈도수,경제2분기빈도수,경제3분기빈도수,경제4분기빈도수,총빈도수
896,김현미,2,2,7,4,15
897,트렌드,2,3,3,1,9
898,가족,2,5,3,4,14
899,기획,2,2,4,5,13
900,미니,2,3,4,1,10
901,주기,2,1,1,1,5
902,벤처기업,2,4,2,3,11
903,누가,2,6,4,1,13
904,기계,2,1,3,1,7
905,무상,2,2,4,1,9
906,열사,2,4,6,3,15
907,솔루션,2,2,7,4,15
908,개막,2,2,6,2,12
909,일제,2,3,1,3,9
910,나선,2,2,11,3,18
911,발행,2,1,3,5,11
912,축산,2,11,1,1,15
913,바로,2,2,2,2,8
914,단지,2,2,1,1,6
915,수익률,2,2,6,1,11
916,적금,2,1,4,1,8
917,구제,2,2,3,2,9
918,국내외,2,1,2,1,6
919,대화,2,4,2,5,13
920,전량,2,2,1,1,6
921,방북,2,2,1,1,6
922,주요,2,5,4,1,12
923,협업,2,1,3,1,7
924,풍선,2,1,2,1,6
925,결론,2,5,4,3,14
926,금융위기,2,2,2,3,9
927,채널,2,1,1,2,6
928,리더,2,3,2,1,8
929,체계,2,6,6,2,16
930,투쟁,2,1,2,3,8
931,단기,2,3,3,4,12
932,엔진,2,3,4,1,10
933,조건,2,2,2,3,9
934,세븐일레븐,2,1,1,2,6
935,하늘,2,1,5,3,11
936,대학,2,4,4,2,12
937,통신비,2,1,1,1,5
938,법인,2,6,5,7,20
939,주문,2,3,2,2,9
940,전체,2,7,6,2,17
941,신뢰,2,5,5,2,14
942,누적,2,1,3,2,8
943,역사,2,5,2,1,10
944,근로자,2,6,8,4,20
945,실현,2,2,1,2,7
946,훈풍,2,9,1,1,13
947,과제,2,6,5,3,16
948,여개,2,1,1,1,5
949,명중,2,2,3,2,9
950,업자,2,3,21,8,34
951,회계,2,5,4,5,16
952,급식,2,4,1,1,8
953,포항,2,1,1,1,5
954,아카데미,2,2,2,1,7
955,주거,2,3,4,1,10
956,출산,2,2,1,2,7
957,경쟁력,2,3,9,3,17
958,가게,2,1,2,1,6
959,상용,2,5,2,1,10
960,기한,2,1,4,2,9
961,내부,2,6,4,3,15
962,차등,2,2,9,3,16
963,택지,2,1,6,2,11
964,케미칼,2,3,3,1,9
965,사건,2,4,2,1,9
966,리콜,2,1,11,4,18
967,홀로,2,2,1,1,6
968,직구,2,1,6,3,12
969,근로,2,9,11,5,27
970,다른,2,2,1,1,6
971,불참,2,2,1,1,6
972,주도,2,3,24,1,30
973,사직,2,1,1,1,5
974,집단소송,2,1,3,1,7
975,소비자원,2,3,5,2,12
976,와인,2,1,1,2,6
977,연기,2,3,2,3,10
978,상속,2,2,1,2,7
979,회원,2,2,1,2,7
980,보증,2,3,5,7,17
981,탐색,2,6,4,9,21
982,축산물,2,2,2,1,7
983,콜러,2,3,1,3,9
984,완전,2,2,1,1,6
985,공급,2,8,22,9,41
986,수도권,2,3,7,3,15
987,이전,2,4,2,1,9
988,공원,2,1,4,4,11
989,향상,2,3,2,2,9
990,배당,2,10,5,2,19
991,노동,2,4,3,2,11
992,조작,2,14,3,2,21
993,지출,2,1,4,1,8
994,페어,2,1,3,2,8
995,유해,2,5,1,1,9
996,전기차,2,3,8,1,14
997,수소,2,2,5,2,11
998,종부세,2,5,17,3,27
999,단독,2,3,3,1,9
1000,아시아,2,2,2,3,9
1001,보증금,2,1,3,1,7
1002,교통,2,2,3,3,10
1003,역량,2,5,5,3,15
1004,신기록,2,6,6,4,18
1005,우드,2,4,1,1,8
1006,펀딩,2,4,1,1,8
1007,운행,2,5,7,4,18
1008,법원,2,6,4,1,13
1009,불과,2,2,2,2,8
1010,판매량,2,1,2,1,6
1011,완료,2,2,4,4,12
1012,단가,2,2,2,2,8
1013,제로,2,3,2,3,10
1014,예방,2,1,2,2,7
1015,즉시,2,5,15,3,25
1016,열차,2,4,1,1,8
1017,기아차,2,3,8,5,18
1018,설비,2,7,5,2,16
1019,위축,2,4,3,1,10
1020,하이닉스,2,2,4,1,9
1021,신용등급,2,3,1,3,9
1022,제기,2,1,3,2,8
1023,하위,2,3,5,1,11
1024,점진,2,2,1,2,7
1025,방침,2,1,2,1,6
1026,언급,2,2,2,1,7
1027,상향,2,1,6,1,10
1028,상장,2,2,2,1,7
1029,무료,2,2,14,5,23
1030,주가,2,6,5,6,19
1031,바닥,2,2,2,2,8
1032,최태원,2,2,5,1,10
1033,우체국,2,4,4,4,14
1034,다이어트,2,3,1,1,7
1035,지자체,2,2,3,2,9
1036,대처,2,2,1,1,6
1037,항공권,1,1,1,1,4
1038,무슨,1,1,1,1,4
1039,종료,1,2,5,1,9
1040,여의도,1,2,4,2,9
1041,자체,1,1,2,1,5
1042,노선,1,4,4,4,13
1043,주식시장,1,1,1,2,5
1044,플랜트,1,2,3,2,8
1045,마켓,1,2,6,2,11
1046,주유소,1,4,2,5,12
1047,만들기,1,1,2,2,6
1048,신속,1,2,2,1,6
1049,텔레콤,1,4,3,3,11
1050,정비,1,3,8,1,13
1051,청소,1,1,1,1,4
1052,연내,1,3,7,3,14
1053,동시,1,3,3,1,8
1054,접종,1,1,1,2,5
1055,허가,1,5,2,2,10
1056,변경,1,7,5,1,14
1057,솔솔,1,1,1,1,4
1058,피케,1,1,1,1,4
1059,나무,1,1,2,1,5
1060,보수,1,1,1,4,7
1061,연구개발,1,3,2,2,8
1062,양극화,1,5,4,2,12
1063,공모,1,7,4,2,14
1064,데이터,1,4,4,6,15
1065,주스,1,1,1,1,4
1066,거취,1,2,2,1,6
1067,청춘,1,2,1,1,5
1068,경제성장률,1,2,4,4,11
1069,안정화,1,1,2,1,5
1070,핑크,1,2,2,1,6
1071,발언,1,1,2,2,6
1072,가로,1,3,1,2,7
1073,걸음,1,1,3,1,6
1074,생계,1,2,1,1,5
1075,시민,1,3,4,1,9
1076,공익,1,4,4,1,10
1077,진통,1,1,2,1,5
1078,하반기,1,4,29,3,37
1079,코엑스,1,2,2,1,6
1080,제철,1,1,1,1,4
1081,상호금융,1,4,6,2,13
1082,농촌,1,11,1,6,19
1083,유튜브,1,1,1,2,5
1084,블로그,1,1,2,1,5
1085,세로,1,3,1,1,6
1086,웰빙,1,1,2,1,5
1087,현지,1,3,3,1,8
1088,임시,1,4,1,1,7
1089,처방,1,1,4,2,8
1090,절벽,1,3,2,2,8
1091,굿네이버스,1,1,2,1,5
1092,서울시,1,4,4,2,11
1093,아동,1,5,10,5,21
1094,자리,1,6,7,3,17
1095,서류,1,4,1,1,7
1096,소재,1,1,1,1,4
1097,당신,1,1,2,1,5
1098,망치,1,1,1,2,5
1099,대국민,1,1,3,2,7
1100,전격,1,7,1,1,10
1101,선진국,1,2,4,1,8
1102,의료,1,6,3,3,13
1103,교환,1,1,2,1,5
1104,범위,1,1,1,1,4
1105,방한,1,1,1,1,4
1106,대치,1,1,3,1,6
1107,조선업,1,5,3,1,10
1108,한계,1,2,4,2,9
1109,우유,1,4,2,1,8
1110,방식,1,3,1,2,7
1111,인테리어,1,1,1,1,4
1112,동력,1,2,1,1,5
1113,캐나다,1,1,1,1,4
1114,유통업,1,2,5,1,9
1115,리나,1,1,3,2,7
1116,순이익,1,1,2,1,5
1117,구슬,1,1,1,2,5
1118,계절,1,1,2,1,5
1119,독립성,1,1,1,2,5
1120,불편,1,2,3,1,7
1121,품질,1,3,3,3,10
1122,다음주,1,1,2,1,5
1123,노후,1,4,3,2,10
1124,시즌,1,3,4,1,9
1125,페스티벌,1,2,2,1,6
1126,대로,1,1,3,1,6
1127,환자,1,1,18,2,22
1128,극복,1,3,4,2,10
1129,여건,1,3,1,1,6
1130,감리,1,7,6,1,15
1131,수정,1,1,4,1,7
1132,신한,1,1,2,1,5
1133,재기,1,1,1,1,4
1134,어워드,1,1,1,1,4
1135,의미,1,1,2,2,6
1136,허리,1,1,4,2,8
1137,처벌,1,5,2,3,11
1138,자영,1,1,17,6,25
1139,기금,1,2,4,7,14
1140,저축은행,1,4,5,4,14
1141,코드,1,2,10,1,14
1142,부업,1,2,1,1,5
1143,발의,1,2,1,1,5
1144,시사,1,1,2,1,5
1145,용품,1,2,4,1,8
1146,연구원,1,1,2,3,7
1147,제동,1,3,3,3,10
1148,심각,1,4,5,1,11
1149,시공,1,2,2,1,6
1150,억대,1,1,1,3,6
1151,증거,1,2,1,1,5
1152,한국인,1,2,2,1,6
1153,촉진,1,2,2,2,7
1154,용량,1,2,2,1,6
1155,줄줄이,1,4,4,3,12
1156,탄력,1,7,4,1,13
1157,물품,1,2,3,1,7
1158,법인세,1,2,2,1,6
1159,임기,1,2,1,1,5
1160,보험금,1,1,7,1,10
1161,주인,1,3,2,1,7
1162,잔치,1,2,1,1,5
1163,소형,1,4,2,1,8
1164,사료,1,2,2,1,6
1165,화재,1,3,13,5,22
1166,상대,1,2,1,2,6
1167,닉스,1,2,3,1,7
1168,프리,1,1,1,1,4
1169,리뉴얼,1,7,1,1,10
1170,고의,1,1,6,4,12
1171,자연,1,3,1,1,6
1172,제조,1,1,2,2,6
1173,기사,1,2,4,2,9
1174,어려움,1,1,1,1,4
1175,불량,1,2,1,1,5
1176,마당,1,1,1,4,7
1177,작품,1,1,1,1,4
1178,급여,1,6,4,3,14
1179,유가,1,5,5,7,18
1180,점심,1,3,2,1,7
1181,차지,1,3,1,1,6
1182,소주,1,2,2,4,9
1183,분기,1,2,3,1,7
1184,과학기술,1,1,1,1,4
1185,분식회계,1,8,4,6,19
1186,메뉴,1,2,1,1,5
1187,뷰티,1,4,2,4,11
1188,이행,1,2,2,1,6
1189,아트,1,1,2,1,5
1190,취소,1,12,11,4,28
1191,이동,1,3,4,1,9
1192,인터넷,1,6,13,2,22
1193,방송,1,2,8,2,13
1194,론칭,1,6,2,2,11
1195,매트,1,3,2,2,8
1196,케어,1,4,3,5,13
1197,산학,1,1,2,1,5
1198,용액,1,1,1,1,4
1199,추징,1,1,3,1,6
1200,계단,1,1,2,1,5
1201,고액,1,1,3,1,6
1202,관세청,1,12,4,3,20
1203,제출,1,2,3,1,7
1204,비율,1,5,8,2,16
1205,등급,1,2,2,4,9
1206,정유,1,1,1,2,5
1207,개척,1,1,3,2,7
1208,자원,1,4,2,3,10
1209,고도화,1,1,1,1,4
1210,사무실,1,3,1,1,6
1211,무한,1,1,1,1,4
1212,배상,1,1,2,1,5
1213,자문,1,3,1,3,8
1214,불확실,1,4,7,2,14
1215,한류,1,1,2,2,6
1216,청약,1,5,6,2,14
1217,금융기관,1,2,1,3,7
1218,뒷받침,1,1,1,1,4
1219,지갑,1,1,3,1,6
1220,크게,1,4,4,1,10
1221,실제,1,1,1,2,5
1222,산다,1,1,1,2,5
1223,축제,1,3,5,4,13
1224,상임,1,1,2,1,5
1225,콘텐츠,1,5,12,3,21
1226,결합,1,1,3,3,8
1227,코스,1,3,3,1,8
1228,심사,1,3,1,1,6
1229,본점,1,1,1,1,4
1230,경험,1,2,2,2,7
1231,분리,1,1,12,5,19
1232,진흥,1,4,10,3,18
1233,동행,1,3,2,4,10
1234,포럼,1,2,1,4,8
1235,의결,1,1,3,1,6
1236,마약,1,1,1,1,4
1237,미지수,1,1,2,1,5
1238,자동,1,1,4,1,7
1239,경제부총리,1,4,1,1,7
1240,세미나,1,3,3,1,8
1241,지시,1,4,2,1,8
1242,원인,1,3,6,4,14
1243,실업자,1,6,7,6,20
1244,조업,1,1,2,4,8
1245,손님,1,2,1,3,7
1246,손해,1,8,4,2,15
1247,연대,1,1,4,1,7
1248,과일,1,2,3,1,7
1249,음료,1,4,1,1,7
1250,스쿨,1,3,1,1,6
1251,스타일,1,1,2,1,5
1252,다지,1,1,2,1,5
1253,디스플레이,1,2,2,2,7
1254,혐의,1,20,5,4,30
1255,울상,1,2,1,1,5
1256,인생,1,1,1,2,5
1257,콘서트,1,2,3,1,7
1258,날개,1,4,4,2,11
1259,송금,1,2,5,2,10
1260,부족,1,2,8,1,12
1261,미스터리,1,3,1,1,6
1262,홍콩,1,2,3,4,10
1263,몰이,1,1,1,1,4
