,단어명,빈도수
0,드루,195
1,홍준표,147
2,특검,136
3,민주,116
4,민주당,115
5,국회,113
6,선거,104
7,이재명,102
8,김성태,99
9,안철수,92
10,평화,92
11,지방선거,91
12,김경수,86
13,김기식,83
14,투표,81
15,회담,79
16,댓글,78
17,수사,77
18,박원순,76
19,여야,70
20,박근혜,67
21,국민,66
22,선언,64
23,북미,64
24,남북,62
25,김문수,59
26,총리,56
27,논란,55
28,김정은,55
29,검찰,54
30,조작,54
31,사퇴,53
32,의혹,52
33,출마,52
34,정상회담,51
35,경찰,49
36,재판,47
37,남북정상회담,44
38,보수,42
39,지사,41
40,문재인,39
41,추미애,39
42,경남,38
43,트럼프,37
44,서울시장,37
45,사전투표,37
46,문제,36
47,국정,36
48,요구,36
49,일화,36
50,사건,36
51,개헌,36
52,추경,36
53,논의,35
54,대선,35
55,처리,35
56,한반도,34
57,당선,34
58,선관위,34
59,판문점,34
60,경제,33
61,조사,33
62,고발,33
63,원희룡,33
64,김부선,32
65,협상,32
66,정권,30
67,발언,30
68,합의,29
69,지지율,29
70,사실,29
71,공개,28
72,폭행,28
73,비핵화,28
74,시장,28
75,지원,28
76,성공,28
77,단식,28
78,정책,27
79,스캔들,27
80,결과,27
81,일자리,27
82,국회의원,27
83,공천,27
84,공약,27
85,징역,27
86,경선,27
87,정의,25
88,유승민,25
89,남경필,25
90,정상,25
91,역사,24
92,당선자,24
93,중단,23
94,책임,23
95,우리,23
96,정상화,23
97,출장,23
98,야당,22
99,원내대표,22
100,발표,22
101,인사,22
102,국정원,22
103,뇌물,22
104,혐의,22
105,계속,21
106,체포,21
107,여론조사,21
108,전략,21
109,본회의,21
110,안보,20
111,위원장,20
112,입장,20
113,시민,20
114,사과,20
115,무산,20
116,북핵,20
117,개헌안,20
118,최저임금,19
119,자유,19
120,이명박,19
121,농단,19
122,민생,19
123,사람,19
124,반대,19
125,선고,19
126,군수,19
127,승리,19
128,인천,19
129,단체,19
130,위해,19
131,교육감,19
132,공세,19
133,출석,19
134,회의,18
135,혁신,18
136,취소,18
137,준비,18
138,비서,18
139,진실,18
140,확인,18
141,기관,18
142,수용,18
143,재보선,18
144,현재,18
145,폐기,18
146,여사,18
147,예비,18
148,우원식,18
149,촉구,17
150,개혁,17
151,홍영표,17
152,가능,17
153,비판,17
154,확정,17
155,정의당,17
156,협력,17
157,수사권,17
158,처벌,17
159,소득,17
160,체제,17
161,무소속,17
162,돌파,17
163,단독,17
164,김태호,17
165,막판,17
166,노무현,17
167,확대,17
168,유세,17
169,청원,17
170,외교,17
171,돌입,16
172,방안,16
173,기대,16
174,송인,16
175,모두,16
176,선택,16
177,한미,16
178,손학규,16
179,당선인,16
180,관련,16
181,집중,16
182,역대,16
183,텃밭,16
184,대응,16
185,미군,16
186,세월호,16
187,유죄,16
188,경호,16
189,예정,15
190,대책,15
191,구성,15
192,해외,15
193,대위,15
194,도전,15
195,전남,15
196,민심,15
197,최고,15
198,친박,15
199,방문,15
200,가능성,15
201,탈당,15
202,지지,15
203,북한,15
204,압승,15
205,거부,15
206,헌법,15
207,개입,15
208,결정,15
209,삼성,15
210,대화,15
211,청탁,15
212,김종필,14
213,법정,14
214,주장,14
215,일정,14
216,도부,14
217,실패,14
218,뉴스,14
219,청산,14
220,검토,14
221,경기,14
222,해명,14
223,의안,14
224,표심,14
225,확실,14
226,제안,14
227,판단,14
228,조정,13
229,공항,13
230,본격,13
231,시대,13
232,부인,13
233,진보,13
234,추서,13
235,보도,13
236,장관,13
237,권력,13
238,추가,13
239,과거,13
240,위반,13
241,참패,13
242,공무원,13
243,충남지사,13
244,해결,13
245,나라,13
246,이후,13
247,광주시,13
248,권영진,13
249,이행,13
250,취임,13
251,보이콧,13
252,행사,13
253,규명,13
254,법원,13
255,특검법,13
256,기소,13
257,다음,12
258,예고,12
259,단축,12
260,방탄,12
261,평가,12
262,쟁점,12
263,수도,12
264,보고,12
265,당권,12
266,여배우,12
267,요청,12
268,의결,12
269,주민,12
270,지역,12
271,심판,12
272,양승조,12
273,분석,12
274,유권자,12
275,동시,12
276,여부,12
277,예상,12
278,결단,12
279,송파,12
280,추천,12
281,강요,12
282,구속영장,12
283,핵실험,12
284,표명,11
285,관계,11
286,재산,11
287,나선,11
288,규제,11
289,권성동,11
290,포기,11
291,미국,11
292,발의,11
293,병원,11
294,박지원,11
295,잡기,11
296,정미,11
297,훈장,11
298,재선,11
299,시간,11
300,예산,11
301,하락,11
