,단어명,세계빈도수,조선빈도수,한겨레빈도수,총빈도수
195,기관,43,31,20,94
290,포함,31,40,22,93
316,가능,29,49,15,93
253,위기,33,34,26,93
413,기자,23,46,23,92
313,본회의,30,41,21,92
367,이행,25,37,29,91
275,핵심,32,37,21,90
335,후보자,28,49,13,90
164,정치권,46,24,19,89
217,헌법,38,33,18,89
197,경기,42,34,13,89
161,민생,46,20,22,88
158,사회,47,24,17,88
81,이명박,70,9,9,88
223,사용,37,33,18,88
435,언론,21,50,17,88
532,만찬,18,44,25,87
231,탈당,36,32,19,87
810,시진핑,9,62,16,87
176,지지도,44,23,20,87
350,통과,26,37,24,87
286,무산,31,36,19,86
191,개입,43,25,18,86
257,인상,33,40,13,86
405,차관,23,46,17,86
306,이후,30,40,15,85
248,방안,34,34,17,85
411,약속,23,36,26,85
287,시대,31,34,20,85
349,모든,26,41,18,85
276,나라,32,37,16,85
228,진보,36,21,28,85
311,출장,30,26,28,84
310,계획,30,41,13,84
157,원희룡,47,31,6,84
187,당선,43,34,7,84
303,노력,30,39,14,83
336,안전,28,34,21,83
449,하라,21,45,17,83
220,성과,37,30,16,83
259,감사,33,27,23,83
927,사무소,6,53,24,83
434,연설,22,37,23,82
329,전쟁,28,30,23,81
554,아베,17,46,18,81
90,뇌물,68,11,2,81
175,당권,44,21,15,80
227,삼성,36,15,29,80
417,금지,23,41,16,80
327,강조,28,30,22,80
709,사령관,12,49,18,79
450,방송,21,48,10,79
224,도전,36,22,21,79
222,본격,37,24,18,79
189,처벌,43,18,18,79
322,과거,29,38,12,79
296,수도,31,36,12,79
117,소환,58,12,9,79
249,취임,34,30,15,79
225,속도,36,28,15,79
242,오찬,34,26,19,79
575,취재,16,33,30,79
283,채용,31,10,37,78
238,지방,35,29,14,78
145,정미,50,3,25,78
247,비난,34,35,8,77
386,개정,24,30,23,77
170,압수수색,45,21,11,77
169,부인,45,17,15,77
155,성폭행,48,16,13,77
404,초청,23,34,20,77
419,정보,23,36,18,77
759,동참,10,60,7,77
194,여부,43,28,6,77
509,사업,18,41,17,76
226,의장,36,30,10,76
268,가짜,32,26,18,76
192,탄핵,43,18,15,76
295,사고,31,28,17,76
271,청년,32,21,23,76
393,문정인,24,43,9,76
602,남북관계,15,35,25,75
294,전달,31,34,10,75
464,안해,20,42,13,75
436,유세,21,40,14,75
93,징역,66,4,5,75
391,해외,24,31,20,75
381,교육,24,40,10,74
402,선물,23,30,21,74
270,반발,32,28,14,74
351,질문,26,36,12,74
265,대한민국,33,27,14,74
410,활동,23,33,18,74
256,운영,33,27,14,74
237,평가,35,26,12,73
354,수용,26,34,13,73
131,정의,53,6,14,73
387,상황,24,38,11,73
344,의미,27,29,17,73
426,기념,22,31,20,73
309,김정숙,30,22,21,73
292,제출,31,30,12,73
299,판결,30,21,21,72
333,업무,28,22,22,72
370,포기,25,38,9,72
346,개편,26,24,21,71
347,중앙,26,26,19,71
371,진행,25,33,13,71
245,대위,34,25,12,71
443,출범,21,26,24,71
235,진실,35,21,14,70
318,사찰,29,23,18,70
254,정상화,33,26,11,70
319,효과,29,23,18,70
298,이재용,31,24,15,70
215,의원직,39,19,12,70
339,총선,27,32,10,69
308,실패,30,36,3,69
355,다음,25,34,10,69
398,검증,23,37,9,69
272,돌입,32,26,11,69
378,철회,24,28,16,68
614,소통,15,34,19,68
324,주의,29,22,17,68
416,선수,23,26,19,68
761,이산가족,10,37,21,68
340,적극,27,23,18,68
288,도부,31,21,16,68
433,일부,22,30,15,67
141,자금,51,12,4,67
112,선고,60,4,3,67
147,법원,49,9,9,67
420,채택,23,30,13,66
331,성폭력,28,15,23,66
328,직원,28,24,14,66
607,발전,15,34,17,66
548,조국,17,37,12,66
432,통해,22,38,6,66
476,신임,20,23,23,66
439,참여,21,26,19,66
239,주목,35,17,14,66
285,기간,31,21,13,65
193,심사,43,11,11,65
425,추천,22,24,19,65
213,재산,39,14,12,65
451,도입,21,25,19,65
508,처음,18,29,17,64
414,복귀,23,26,15,64
375,먼저,24,26,14,64
380,가장,24,23,17,64
372,피해,25,27,12,64
615,서훈,14,32,18,64
281,해명,32,23,8,63
234,당원,35,19,9,63
377,가족,24,20,19,63
312,동시,30,14,19,63
645,내달,14,36,13,63
468,유지,20,27,15,62
701,영상,12,11,39,62
454,세력,21,30,11,62
332,행위,28,21,12,61
343,판단,27,23,11,61
481,전환,20,27,14,61
493,유감,19,33,9,61
470,유출,20,21,20,61
388,불참,24,26,11,61
456,부동산,21,23,17,61
293,예비,31,22,8,61
465,찬성,20,21,19,60
515,때문,18,30,12,60
337,나선,28,17,15,60
460,의심,20,30,10,60
267,최선,32,19,9,60
564,인도,16,25,19,60
182,전대,44,9,7,60
289,의결,31,20,9,60
300,싸움,30,17,13,60
578,사전,16,28,15,59
241,친박,35,13,11,59
403,피해자,23,18,18,59
274,청문회,32,22,5,59
264,선택,33,13,13,59
314,규명,29,8,21,58
341,정신,27,21,10,58
538,제도,17,11,30,58
273,예고,32,17,9,58
472,목표,20,21,17,58
