,단어명,정치빈도수,경제빈도수,사회빈도수
1210,인생,4,1,11
1211,개인정보,4,27,10
1212,창업,4,30,8
1213,설정,4,1,15
1214,마을,4,8,65
1215,사면,4,2,3
1216,진화,4,12,27
1217,구매,4,19,6
1218,실명,4,11,13
1219,표시,4,6,3
1220,아기,4,1,14
1221,가속,4,2,2
1222,미성년,4,1,13
1223,그대로,4,2,16
1224,유통,4,14,14
1225,총력전,4,3,3
1226,통역,4,1,9
1227,업자,4,16,17
1228,열기,4,1,4
1229,상품,4,19,2
1230,빅딜,4,1,1
1231,간판,4,3,5
1232,공유,4,18,7
1233,허가,4,4,21
1234,당신,4,7,20
1235,실용,4,1,4
1236,자제,4,3,7
1237,권리,4,8,23
1238,드론,4,11,14
1239,가치,4,21,9
1240,사흘,4,4,19
1241,얼굴,4,6,16
1242,상처,4,1,12
1243,결함,4,13,4
1244,헌재,4,3,50
1245,차별,4,5,35
1246,불씨,4,3,7
1247,점심,4,3,2
1248,하자,4,5,17
1249,수산물,4,5,2
1250,최초,4,25,33
1251,음악,4,3,6
1252,스타,4,11,13
1253,미흡,4,7,3
1254,사정,4,6,12
1255,폭탄,4,20,9
1256,배후,4,2,2
1257,집값,4,41,9
1258,담합,4,21,7
1259,실현,4,2,6
1260,국토,4,5,4
1261,현안,4,3,6
1262,재건축,4,14,4
1263,사드,4,7,17
1264,아이,4,18,80
1265,규모,4,23,23
1266,설립,4,17,30
1267,지진,4,7,20
1268,대부분,4,3,19
1269,이탈,4,2,4
1270,최경환,4,1,7
1271,가기,4,1,1
1272,어린이,4,5,28
1273,태도,4,1,5
1274,웃음,4,1,5
1275,방치,4,3,20
1276,수도권,4,10,47
1277,진심,4,1,5
1278,전날,4,1,5
1279,은퇴,4,2,2
1280,프레임,4,2,1
1281,통째,4,1,4
1282,주문,4,2,4
1283,간담,4,4,2
1284,경쟁률,4,2,2
1285,명칭,4,1,4
1286,향후,4,2,1
1287,어머니,4,1,13
1288,쇼크,4,12,2
1289,학교,4,5,146
1290,프리,4,1,4
1291,다수,4,2,3
1292,포럼,4,11,3
1293,남매,4,1,13
1294,자금,4,31,55
1295,질책,4,1,1
1296,팽팽,4,1,2
1297,거짓말,4,1,12
1298,가입,4,17,10
1299,리나,4,2,6
1300,공동체,4,4,10
1301,움직임,4,1,8
1302,배신,4,2,4
1303,롯데,4,46,16
1304,인형,4,1,7
1305,소방관,4,1,30
1306,상인,4,8,5
1307,기능,4,10,4
1308,조항,4,5,7
1309,낙관,4,2,1
1310,작성,4,2,12
1311,행렬,4,1,2
1312,퇴장,4,1,4
1313,비극,4,1,5
1314,구호,4,5,3
1315,즉각,4,2,8
1316,신속,4,2,5
1317,좌우,4,1,1
1318,아래,4,1,9
1319,법령,4,3,1
1320,여기,4,2,13
1321,병원,4,8,122
1322,하위,4,9,3
1323,차지,4,2,1
1324,탑승,4,3,3
1325,고사,4,2,5
1326,방침,4,4,18
1327,고용부,4,2,18
1328,몰락,4,3,2
1329,독일,4,7,20
1330,산입,4,1,17
1331,주시,4,1,3
1332,심의,4,5,17
1333,호흡,4,1,2
1334,학생,4,1,126
1335,고향,4,3,19
1336,마케팅,4,15,7
1337,경험,4,9,20
1338,위험,4,14,27
1339,장애인,4,5,35
1340,최저임금법,4,2,15
1341,조선일보,4,2,14
1342,부분,4,1,4
1343,탄생,4,2,13
1344,압도,4,1,3
1345,결렬,4,4,1
1346,여건,4,1,6
1347,인간,4,6,14
1348,주일,4,3,5
1349,방법,4,1,11
1350,레드,4,6,5
1351,시도,4,2,31
1352,지난해,4,53,23
1353,공존,4,1,1
1354,기사,4,8,39
1355,고문,4,1,24
1356,추대,4,2,1
1357,부산시,4,1,47
1358,명예,4,2,20
1359,중소기업,4,83,3
1360,제의,4,1,2
1361,법률,4,6,7
1362,면직,4,1,4
1363,컬링,4,3,5
1364,폐막식,4,1,4
1365,군산,4,17,36
1366,유착,4,2,7
1367,하늘,4,3,36
1368,거래소,4,32,10
1369,대한,3,7,19
1370,정수,3,1,1
1371,해고,3,8,41
1372,정지,3,8,18
1373,아세안,3,2,1
1374,항공,3,25,12
1375,초과,3,14,8
1376,과장,3,7,8
1377,불안,3,14,11
1378,미리,3,1,6
1379,희생,3,1,40
1380,거점,3,8,4
1381,엄정,3,1,12
1382,동력,3,3,3
1383,최종,3,23,21
1384,과잉,3,4,5
1385,노출,3,5,10
1386,하향,3,9,3
1387,친구,3,2,26
1388,음주,3,1,17
1389,곤란,3,1,2
1390,정도,3,2,5
1391,재앙,3,1,2
1392,윤리,3,4,5
1393,불평등,3,16,8
1394,대법,3,3,111
1395,동영상,3,4,6
1396,직장,3,5,24
1397,실패,3,17,20
1398,금리,3,89,2
1399,후퇴,3,9,10
1400,광화문,3,3,29
1401,외부,3,12,11
1402,국장,3,2,17
1403,인력,3,8,11
1404,광장,3,1,26
1405,실험,3,8,14
1406,걱정,3,8,14
1407,목청,3,1,1
1408,완전,3,6,10
1409,실화,3,2,4
1410,상위,3,10,2
1411,기조,3,2,1
1412,손님,3,2,9
1413,대강,3,4,23
1414,생산,3,47,11
1415,직무,3,5,10
1416,가열,3,8,2
1417,지난달,3,7,2
1418,다운,3,1,2
1419,입국,3,4,5
1420,명의,3,2,16
1421,인척,3,2,4
1422,미사,3,4,3
1423,사업자,3,19,7
1424,기도,3,1,5
1425,산업부,3,15,2
1426,카톡,3,15,10
1427,인하,3,34,4
1428,최근,3,8,8
1429,화제,3,2,5
1430,형제,3,2,4
1431,회계,3,18,1
1432,소동,3,4,5
1433,실질,3,6,11
1434,설계,3,7,10
1435,변경,3,12,10
1436,라운드,3,2,4
1437,담당,3,1,8
1438,조건,3,9,6
1439,대외,3,5,2
1440,수집,3,6,8
1441,지대,3,2,4
1442,동거,3,1,1
1443,상상,3,2,6
1444,로봇,3,22,2
1445,부작용,3,4,2
1446,개막,3,9,21
1447,고속,3,6,6
1448,승진,3,10,9
1449,혜택,3,20,11
1450,질서,3,2,2
1451,기류,3,1,3
1452,본질,3,2,6
1453,만료,3,1,3
1454,건물,3,3,33
1455,전진,3,1,1
1456,세대,3,15,10
1457,급증,3,27,19
1458,선고,3,2,102
1459,고통,3,5,22
1460,유포,3,3,29
1461,축제,3,3,50
1462,복합,3,4,15
1463,이웃,3,1,22
1464,민원,3,4,17
1465,지식,3,6,5
1466,공익,3,9,11
1467,대치,3,4,4
1468,차장,3,1,12
1469,기밀,3,1,8
1470,코앞,3,1,4
1471,확산,3,14,37
1472,누적,3,3,2
1473,일시,3,7,1
1474,견인,3,1,1
1475,동맹,3,3,3
1476,확장,3,11,6
1477,실제,3,7,4
1478,모양,3,1,1
1479,호칭,3,1,2
1480,본부,3,5,12
1481,서울대,3,4,57
1482,민주화,3,1,15
1483,인연,3,1,1
1484,승용차,3,1,12
1485,스타일,3,1,2
1486,이륙,3,2,2
1487,복직,3,4,17
1488,연구,3,13,16
1489,그린벨트,3,5,5
1490,식구,3,1,3
1491,건축,3,1,7
1492,다툼,3,1,10
1493,급등,3,23,2
1494,발목,3,1,2
1495,솔릭,3,8,42
1496,답답,3,2,1
1497,깜깜,3,4,3
1498,최강,3,2,14
1499,중도,3,1,5
1500,성향,3,1,3
1501,방해,3,1,16
1502,광고,3,28,21
1503,동일,3,2,8
1504,혼선,3,2,3
1505,불허,3,2,14
1506,시나리오,3,5,5
1507,진영,3,1,6
1508,대규모,3,10,14
1509,플랜,3,1,2
1510,끼리,3,2,5
1511,구한,3,5,5
1512,내주,3,2,8
1513,확충,3,2,2
1514,연장,3,4,25
1515,체계,3,5,9
1516,이별,3,1,5
1517,반영,3,14,7
1518,집결,3,1,5
1519,군부,3,1,1
1520,연구원,3,13,10
1521,제자리,3,6,4
1522,김영록,3,1,3
1523,적합,3,3,1
1524,운전자,3,4,10
1525,충성,3,2,1
1526,개국,3,7,5
1527,악용,3,4,4
1528,징벌,3,4,4
1529,전과,3,1,4
1530,직전,3,3,8
1531,찬반,3,2,6
1532,영국,3,6,3
1533,판매,3,44,34
1534,자릿수,3,1,4
1535,수입,3,22,4
1536,정비,3,5,4
1537,균형,3,4,4
1538,과연,3,4,6
1539,방지,3,7,12
1540,오해,3,2,4
1541,모델,3,14,24
1542,추정,3,7,33
1543,현대,3,76,20
1544,서류,3,7,9
1545,회피,3,4,4
1546,사무실,3,2,21
1547,사랑,3,5,46
1548,눈앞,3,2,7
1549,체험,3,2,23
1550,특권,3,1,4
1551,탈락,3,4,7
1552,정황,3,4,30
1553,구간,3,3,9
1554,부진,3,23,5
1555,우회,3,1,4
1556,결심,3,2,2
1557,화로,3,1,2
1558,빌딩,3,2,8
1559,기체,3,1,2
1560,커피,3,9,6
1561,접대,3,1,7
1562,시민사회,3,2,6
1563,국내,3,81,43
1564,노인,3,12,33
1565,공백,3,5,6
1566,부의,3,3,3
1567,일선,3,3,7
1568,지하철,3,1,38
1569,탈취,3,4,4
1570,임박,3,5,2
1571,경전,3,4,4
1572,강요,3,5,19
1573,무료,3,12,23
1574,직격탄,3,4,4
1575,감독,3,8,25
1576,과로,3,2,1
1577,구제,3,9,9
1578,개설,3,5,8
1579,포석,3,1,1
1580,이색,3,3,2
1581,표명,3,3,9
1582,로서,3,1,3
1583,임금,3,40,36
1584,테이블,3,2,2
1585,싱크탱크,3,1,2
1586,남북한,3,1,3
1587,다자,3,4,3
1588,신선,3,2,1
1589,유령,3,17,9
1590,항공기,3,12,7
1591,자만,3,3,3
1592,환호,3,2,5
1593,대한문,3,1,2
1594,앞날,3,1,2
1595,크게,3,11,7
1596,죄송,3,1,17
1597,자세,3,1,3
1598,실태,3,7,10
1599,전보,3,2,1
1600,안정,3,20,9
1601,한중일,3,2,1
1602,네이버,3,66,16
1603,임시,3,8,7
1604,고백,3,2,8
1605,최대한,3,1,3
1606,견제,3,3,5
1607,체류,3,2,7
1608,대립,3,3,3
1609,주체,3,2,1
1610,결재,3,3,2
1611,운용,3,9,2
1612,이익,3,57,3
1613,평균,3,34,19
1614,최악,3,10,17
1615,불복,3,1,7
1616,순위,3,7,4
1617,분주,3,1,1
1618,이송,3,1,8
1619,슬로건,3,2,2
1620,파기,3,3,15
1621,터키,3,6,2
1622,창구,3,1,7
1623,택시,3,24,32
1624,전용,3,10,13
1625,월급,3,6,27
1626,동결,3,15,7
1627,황당,3,1,5
1628,불이익,3,1,9
1629,돌연,3,1,5
1630,전망,3,43,7
1631,결제,3,30,3
1632,자치,3,1,20
1633,매각,3,30,6
1634,의성,3,1,5
1635,권고,3,8,32
1636,전담,3,7,5
1637,방산,3,4,1
1638,의인,3,7,8
1639,페이스북,3,21,4
1640,진단,3,11,5
1641,경기장,3,1,5
1642,후임,2,2,5
1643,전례,2,1,2
1644,감히,2,1,2
1645,형성,2,1,1
1646,재건,2,2,3
1647,위배,2,1,1
1648,편성,2,3,4
1649,로비,2,1,17
1650,지출,2,8,2
1651,고요,2,2,7
1652,전시회,2,2,4
1653,과일,2,4,2
1654,상자,2,2,6
1655,대처,2,4,11
1656,몰래,2,2,7
1657,연금,2,27,20
1658,양진호,2,1,42
1659,주차장,2,2,20
1660,가격,2,42,4
1661,보존,2,1,9
1662,중소,2,18,3
1663,타당,2,2,1
1664,중간,2,3,5
1665,바이오,2,53,3
1666,전북,2,5,38
1667,사과문,2,2,6
1668,연말,2,9,1
1669,혼자,2,1,11
1670,역시,2,2,3
1671,격돌,2,2,2
1672,염두,2,3,1
1673,사직,2,2,4
1674,건강,2,13,46
1675,주의보,2,9,35
1676,합리,2,1,1
1677,장사,2,11,5
1678,소액,2,4,3
1679,회사,2,30,29
1680,근거,2,10,15
1681,기운,2,2,6
1682,초고,2,2,1
1683,그룹,2,64,27
1684,통계,2,16,6
1685,한일,2,1,2
1686,건의,2,3,5
1687,꼬리,2,3,6
1688,새만금,2,4,12
1689,미약,2,1,7
1690,형량,2,1,7
1691,미달,2,1,3
1692,기증,2,2,1
1693,뺑소니,2,1,4
1694,별도,2,1,3
1695,플레이,2,2,3
1696,학자,2,1,1
1697,구분,2,3,2
1698,세습,2,1,8
1699,부회장,2,43,7
1700,진땀,2,1,2
1701,발생,2,6,43
1702,생선,2,1,1
1703,상정,2,2,4
1704,책임감,2,1,2
1705,지인,2,1,6
1706,용역,2,4,9
1707,텐트,2,1,1
1708,벌금,2,1,32
1709,사제,2,6,7
1710,불감증,2,1,3
1711,무늬,2,2,2
1712,핑계,2,4,2
1713,입찰,2,14,4
1714,보전,2,2,5
1715,보험,2,43,26
1716,생태,2,1,11
1717,남자,2,1,17
1718,모드,2,3,1
1719,착공,2,5,8
1720,어기,2,1,2
1721,원정,2,1,9
1722,배당,2,15,23
1723,실수,2,4,5
1724,페이,2,9,10
1725,프랑스,2,7,4
1726,파리,2,1,6
1727,생계,2,4,4
1728,자택,2,1,23
1729,부장,2,1,49
1730,방통위,2,11,4
1731,앞바다,2,1,8
1732,되레,2,1,11
1733,버튼,2,3,2
1734,지점,2,4,4
1735,용어,2,1,4
1736,반환,2,4,3
1737,설비,2,22,1
1738,스쿨,2,1,11
1739,모집,2,8,20
1740,연봉,2,9,5
1741,황금,2,1,3
1742,입증,2,2,8
1743,함정,2,1,2
1744,선호,2,5,2
1745,보유,2,20,5
1746,실종,2,3,52
1747,방서,2,1,2
1748,노사,2,19,23
1749,안고,2,1,1
1750,차등,2,7,3
1751,비행기,2,8,5
1752,소유,2,5,12
1753,줄줄이,2,4,12
1754,좌초,2,2,6
1755,합법,2,1,12
1756,이사,2,10,28
1757,주간,2,5,2
1758,뇌관,2,2,3
1759,근본,2,2,3
1760,신문,2,2,20
1761,기한,2,2,2
1762,휴식,2,1,7
1763,열사,2,21,24
1764,어찌,2,3,7
1765,촛불집회,2,1,5
1766,일문일답,2,1,1
1767,슈퍼,2,11,4
1768,육아,2,2,19
1769,반기,2,5,2
1770,만큼,2,2,2
1771,이성,2,1,3
1772,부품,2,14,5
1773,수단,2,5,6
1774,가결,2,3,1
1775,대국민,2,1,4
1776,버전,2,1,1
1777,현지,2,6,2
1778,여름,2,4,21
1779,영구,2,1,2
1780,우린,2,2,12
1781,초기,2,2,5
1782,대형,2,15,19
1783,가스,2,15,16
1784,가구,2,31,12
1785,트라우마,2,1,6
1786,시민단체,2,9,61
1787,현금,2,12,16
1788,감동,2,1,9
1789,워드,2,1,1
1790,과도,2,8,2
1791,대거,2,1,5
1792,세부,2,4,1
1793,쌍용차,2,8,43
1794,해고자,2,4,15
1795,불로소득,2,1,4
1796,플랫폼,2,23,4
1797,소외,2,1,5
1798,포퓰리즘,2,2,1
1799,부지,2,2,1
1800,안경,2,3,6
1801,표절,2,2,6
1802,겸직,2,3,3
1803,세종,2,2,53
1804,장수,2,1,4
1805,이야기,2,1,15
1806,교훈,2,3,2
1807,장례식,2,1,4
1808,향기,2,1,5
1809,자영,2,14,5
1810,문서,2,2,7
1811,기내,2,2,2
1812,하반기,2,17,5
1813,부탁,2,1,9
1814,무너,2,1,2
1815,흔적,2,1,12
1816,고속도로,2,13,51
1817,선전,2,2,1
1818,앞장,2,2,4
1819,컨트롤,2,2,3
1820,타워,2,10,8
1821,이재,2,1,2
1822,체감,2,11,2
1823,해도,2,5,8
1824,두번째,2,2,9
1825,구미,2,1,23
1826,포장,2,1,6
1827,성큼,2,3,2
1828,지연,2,10,15
1829,자수,2,2,3
1830,버스,2,8,47
1831,이자,2,8,3
1832,참사,2,3,52
1833,객실,2,1,2
1834,도시락,2,1,3
1835,전시,2,1,14
1836,명도,2,1,6
1837,신중,2,1,2
1838,군복무,2,1,1
1839,승자,2,1,3
1840,독식,2,2,5
1841,구도,2,3,7
1842,장치,2,5,10
1843,꼴찌,2,4,7
1844,아시안,2,1,6
1845,최소,2,7,14
1846,가요,2,4,5
1847,전기,2,16,11
1848,뭐길,2,2,5
1849,과열,2,5,3
1850,면접,2,6,20
1851,월드,2,2,5
1852,여전,2,6,12
1853,외국인,2,19,21
1854,매일,2,3,5
1855,방조,2,2,6
1856,진정,2,3,10
1857,격려,2,1,1
1858,연구개발,2,7,2
1859,패션,2,2,1
1860,손해배상,2,3,13
1861,대기업,2,54,13
1862,손해,2,2,3
1863,물살,2,1,7
1864,돕기,2,1,3
1865,기본,2,8,9
1866,전통,2,7,16
1867,전기요금,2,14,4
1868,유리,2,5,6
1869,제대로,2,1,12
1870,적기,2,1,2
1871,역량,2,3,3
1872,해석,2,2,5
1873,스타트업,2,18,2
1874,여객기,2,3,1
1875,응답,2,6,6
1876,취급,2,3,4
1877,구두,2,2,5
1878,추모식,2,1,5
1879,동기,2,2,2
1880,고독,2,1,1
1881,시청,2,1,17
1882,무근,2,1,3
1883,지옥,2,2,6
1884,소리,2,4,15
1885,선배,2,1,7
1886,천명,2,1,4
1887,유산,2,1,8
1888,승무원,2,9,19
1889,강북,2,1,5
1890,확보,2,8,15
1891,운항,2,5,11
1892,골프,2,3,3
1893,날개,2,4,4
1894,신경,2,3,1
1895,더니,2,3,6
1896,키즈,2,1,1
1897,무능,2,1,5
1898,먹기,2,2,2
1899,환자,2,4,72
1900,흑역사,2,1,3
1901,고리,2,6,6
1902,미적,2,2,1
1903,남용,2,1,26
1904,몰이,2,4,3
1905,급여,2,5,12
1906,의정,2,1,1
1907,안팎,2,6,7
1908,제품,2,21,11
1909,좌절,2,1,4
1910,소설,2,1,5
1911,매년,2,7,4
1912,일로,2,1,3
1913,시선,2,2,3
1914,미수,2,3,8
1915,의뢰,2,7,7
1916,일일,2,1,1
1917,모습,2,1,14
1918,감기,2,1,2
1919,강경,2,1,1
1920,보류,2,2,5
1921,자가,2,4,1
1922,개관,2,6,6
1923,텀블러,2,1,1
1924,뇌물,2,4,66
1925,규칙,2,1,7
1926,월드컵,2,4,10
1927,환원,2,2,1
1928,차이,2,8,8
1929,선도,2,3,2
1930,공표,2,3,4
1931,이메일,2,1,7
1932,일주일,2,1,8
1933,파병,2,1,1
1934,인자,2,2,2
1935,상대,2,5,8
1936,징크스,2,1,1
1937,주한,2,1,1
1938,연습,2,1,3
1939,오버,2,2,3
1940,불쑥,2,1,3
1941,연수,2,2,11
1942,결별,2,2,2
1943,미니,2,7,4
1944,자존심,2,1,1
1945,제로,2,3,5
1946,이기,2,1,2
1947,점거,2,1,12
1948,그림자,2,2,9
1949,그날,2,2,8
1950,수익,2,16,7
1951,북적,2,1,5
1952,처럼,2,1,5
1953,자진,2,2,9
1954,일베,2,1,11
1955,현수막,2,1,2
1956,시급,2,5,15
1957,세상,2,9,34
1958,농민,2,1,22
1959,달리,2,3,3
1960,달성,2,6,2
1961,침대,2,11,14
1962,거제,2,4,4
1963,사비,2,1,6
1964,고조,2,4,3
1965,집행,2,2,14
1966,높이,2,3,7
1967,본부장,2,5,7
1968,벤츠,2,8,3
1969,위임,2,1,2
1970,불가능,2,2,3
1971,다행,2,1,4
1972,매듭,2,3,1
1973,플러스,2,2,1
1974,물류,2,2,11
1975,절실,2,3,7
1976,육박,2,8,7
1977,납품,2,20,5
1978,반전,2,4,2
1979,폭언,2,2,8
1980,졸속,2,2,3
1981,비정규직,2,12,39
1982,프리랜서,2,2,1
1983,진통,2,3,3
1984,도청,2,1,5
1985,배달,2,5,12
1986,난항,2,2,6
1987,조양호,2,30,28
1988,조장,2,1,7
1989,작품,2,1,15
1990,누리집,2,1,4
1991,둘째,2,1,1
1992,고공,2,6,9
1993,형님,2,1,2
1994,미국인,2,2,1
1995,가담,2,1,5
1996,생존,2,8,7
1997,석유,2,3,1
1998,라면,2,4,3
1999,무기한,2,1,6
2000,필수,2,6,6
2001,표준,2,6,5
2002,무난,2,2,1
2003,소수,2,3,1
2004,훈풍,2,3,5
2005,투명,2,7,1
2006,프레,2,1,5
2007,전남,2,1,63
2008,관광객,2,2,17
2009,납득,2,1,1
2010,제보,2,4,11
2011,교통사고,2,9,23
2012,당장,2,3,3
2013,개통,2,3,9
2014,마당,2,2,33
2015,통한,2,3,5
2016,무기,2,4,5
2017,세종시,2,1,17
2018,노후,2,9,13
2019,신분증,2,1,3
2020,후배,2,1,23
2021,비방,2,1,7
2022,사장,2,58,94
2023,하나은행,2,10,5
2024,예측,2,2,6
2025,배상,2,6,44
2026,암호,2,9,7
2027,논리,2,2,9
2028,묘수,2,1,1
2029,해당,2,1,4
2030,비공식,2,2,1
2031,추월,2,1,3
2032,절충,2,1,2
2033,비중,2,15,5
2034,살로,2,1,1
2035,무게,2,2,10
2036,건가,2,1,6
2037,달말,2,2,1
2038,엄단,2,1,2
2039,수리,2,5,6
2040,말로,2,3,2
2041,경의,2,1,3
2042,구속영장,2,1,133
2043,조절,2,7,4
2044,의식,2,3,20
2045,인기,2,12,13
2046,송구,2,2,6
2047,상습,2,6,21
2048,졸업식,2,1,3
2049,러시,2,2,4
2050,한자리,2,2,3
2051,경쟁력,2,7,4
2052,지엠,2,26,19
2053,이건희,2,19,6
2054,바퀴,2,1,3
2055,겨울,2,5,25
2056,수출,2,79,2
2057,집행유예,2,2,27
2058,인천공항,2,20,22
2059,상무,2,5,4
2060,해킹,2,7,6
2061,가즈,2,1,5
2062,수업,2,1,29
2063,주차,2,7,12
2064,입원,2,1,11
2065,통행료,2,3,6
2066,정현,2,4,4
2067,낭비,2,2,2
2068,도둑,2,1,2
2069,순환,2,9,2
2070,치사,2,1,9
2071,이혼,2,3,6
2072,초등생,2,2,21
2073,원전,2,36,6
2074,편의,1,3,5
2075,한마디,1,1,4
2076,수험생,1,3,7
2077,일해,1,1,3
2078,고가,1,10,4
2079,산다,1,4,11
2080,고시원,1,1,13
2081,연료,1,4,6
2082,식물,1,1,5
2083,치기,1,1,2
2084,대우,1,6,3
2085,착륙,1,3,2
2086,물건,1,1,2
2087,번지,1,2,12
2088,눈치,1,4,4
2089,휴대폰,1,3,7
2090,제외,1,13,10
2091,상공,1,1,2
2092,행정부,1,2,1
2093,눈높이,1,1,1
2094,뻥튀기,1,3,4
2095,일리,1,1,1
2096,분수령,1,1,2
2097,방패,1,1,3
2098,오픈,1,7,3
2099,업계,1,45,4
2100,헌법소원,1,1,9
2101,저출산,1,5,11
2102,보건,1,1,10
2103,이정우,1,3,2
2104,열공,1,1,1
2105,줄다리기,1,1,1
2106,대로,1,3,6
2107,맞춤,1,8,8
2108,수요,1,9,1
2109,조업,1,1,4
2110,호주,1,4,1
2111,한도,1,5,2
2112,실효,1,7,3
2113,지상,1,3,2
2114,예산안,1,3,1
2115,재생에너지,1,8,1
2116,학습,1,2,7
2117,익산,1,1,7
2118,감서,1,1,5
2119,축구,1,2,16
2120,교실,1,1,28
2121,상주,1,1,4
2122,여섯,1,1,1
2123,보육,1,1,18
2124,원안,1,1,1
2125,노동부,1,1,12
2126,화면,1,8,7
2127,구경,1,1,5
2128,얼마나,1,6,12
2129,생가,1,1,8
2130,우산,1,1,8
2131,화학,1,16,4
2132,결합,1,1,2
2133,백화점,1,18,6
2134,덕분,1,4,2
2135,세탁,1,2,3
2136,구글,1,20,4
2137,주거지,1,1,1
2138,콜라,1,1,1
2139,발령,1,1,15
2140,덴마크,1,1,1
2141,열흘,1,2,4
2142,돼지,1,3,16
2143,공론,1,2,29
2144,전혀,1,1,3
2145,가로,1,1,10
2146,호박,1,1,2
2147,경유,1,4,4
2148,학회,1,2,4
2149,해외여행,1,4,3
2150,정규직,1,9,38
2151,내야,1,1,3
2152,저항,1,2,4
2153,보험금,1,6,4
2154,안내,1,1,7
2155,관용,1,1,2
2156,만화,1,1,4
2157,펑펑,1,1,4
2158,우정,1,1,2
2159,농협,1,9,4
2160,대출,1,122,6
2161,수순,1,1,3
2162,피하,1,2,8
2163,려고,1,1,1
2164,뒷짐,1,1,2
2165,전이,1,1,2
2166,전직,1,1,36
2167,차명계좌,1,9,1
2168,효성,1,14,5
2169,성인,1,1,7
2170,현대차,1,100,20
2171,사각,1,2,5
2172,먹통,1,5,1
2173,치료,1,6,20
2174,처방,1,6,6
2175,성비,1,1,2
2176,무풍지대,1,1,1
2177,무려,1,1,3
2178,특채,1,1,1
2179,포상,1,1,2
2180,급식,1,1,11
2181,포탈,1,2,2
2182,가계,1,28,1
2183,유전자,1,2,2
2184,골목,1,3,9
2185,균형발전,1,5,8
2186,집주인,1,11,3
2187,굉음,1,1,1
2188,소유자,1,2,1
2189,화살,1,1,1
2190,고지,1,1,1
2191,신용,1,13,1
2192,집무실,1,2,2
2193,법인,1,26,10
2194,카이,1,1,1
2195,시아,1,1,1
2196,고의,1,10,12
2197,낙찰,1,1,2
2198,임용,1,1,3
2199,담배,1,4,13
2200,소비,1,21,1
2201,재편,1,2,1
2202,글로벌,1,14,8
2203,얼마,1,2,2
2204,손경,1,5,2
2205,계절,1,2,3
2206,손가락,1,1,5
2207,호선,1,1,38
2208,시안,1,1,2
2209,저주,1,1,2
2210,홍삼,1,5,1
2211,한라,1,1,2
2212,오르다,1,1,1
2213,부근,1,2,5
2214,화상,1,4,4
2215,추억,1,2,8
2216,공간,1,9,17
2217,스틸,1,1,1
2218,실형,1,1,33
2219,자원,1,21,1
2220,청사,1,1,16
2221,맛집,1,3,3
2222,도심,1,4,32
2223,최태원,1,15,1
2224,숙박,1,2,3
2225,시내,1,1,6
2226,상시,1,1,3
2227,방탄,1,1,5
2228,어서,1,3,2
2229,기흥,1,1,2
2230,지능,1,40,3
2231,발족,1,7,6
2232,과천,1,5,2
2233,불합격,1,1,1
2234,비슷,1,2,2
2235,꿈틀,1,3,1
2236,동작,1,1,4
2237,메르스,1,2,51
2238,고립,1,1,1
2239,장서,1,2,7
2240,올가을,1,1,3
2241,메이커,1,1,1
2242,도구,1,3,3
2243,스피커,1,15,1
2244,전반,1,2,1
2245,보이스피싱,1,3,13
2246,골든,1,1,1
2247,조회,1,4,3
2248,임원,1,24,13
2249,유도,1,2,3
2250,도서관,1,1,14
2251,제대,1,1,1
2252,공공,1,8,17
2253,분실,1,1,4
2254,국산,1,8,3
2255,변질,1,1,1
2256,에너지,1,32,8
2257,링크,1,3,4
2258,고갈,1,1,3
2259,불꽃,1,1,5
2260,자립,1,3,3
2261,비결,1,4,6
2262,가명,1,5,1
2263,충분,1,3,1
2264,데이터,1,18,2
2265,양극화,1,10,3
2266,갈이,1,1,1
2267,안심,1,1,7
2268,물가,1,27,2
2269,중기,1,20,1
2270,시점,1,2,4
2271,사가,1,4,3
2272,주권,1,8,4
2273,창립,1,11,1
2274,증언,1,1,13
2275,일감,1,13,3
2276,증세,1,15,6
2277,격차,1,21,7
2278,디자인,1,7,2
2279,악순환,1,1,2
2280,언니,1,1,3
2281,무책임,1,1,1
2282,엄마,1,5,64
2283,주주,1,33,10
2284,곤혹,1,1,2
2285,다짐,1,2,7
2286,사내,1,4,5
2287,근처,1,1,4
2288,부동,1,3,3
2289,북상,1,1,15
2290,차로,1,3,11
2291,근로장려금,1,10,3
2292,기분,1,1,1
2293,필기,1,1,2
2294,삭감,1,1,4
2295,못내,1,3,2
2296,완공,1,3,5
2297,운동장,1,1,5
2298,와인,1,2,2
2299,지위,1,4,6
2300,희망고문,1,1,1
2301,대륙,1,3,1
2302,해양,1,2,9
2303,대국,1,1,1
2304,근접,1,2,6
2305,사서,1,2,3
2306,아시아,1,8,8
2307,경상,1,1,9
2308,알바,1,9,15
2309,쌍둥이,1,1,21
2310,비도,1,2,3
2311,면세점,1,9,4
2312,연간,1,9,1
2313,돌파구,1,4,3
2314,질주,1,1,10
2315,경비원,1,1,15
2316,경신,1,6,5
2317,유입,1,3,6
2318,자동차,1,50,6
2319,경감,1,1,1
2320,사례,1,3,14
2321,브랜드,1,15,2
2322,냉방,1,1,2
2323,할인,1,29,10
2324,패키지,1,2,3
2325,봉쇄,1,1,2
2326,프로그램,1,3,6
2327,조력자,1,1,1
2328,수혜자,1,3,1
2329,감축,1,4,17
2330,스포츠,1,3,8
2331,총동원,1,1,3
2332,자도,1,9,3
