,단어명,정치빈도수,경제빈도수,사회빈도수
280,메시지,19,4,7
281,하나,19,41,49
282,원장,19,11,49
283,정치권,19,3,10
284,인권,19,7,92
285,지금,19,8,29
286,중앙,19,1,53
287,접촉,19,2,21
288,선수,19,2,24
289,송파,19,2,2
290,우려,18,32,44
291,활동,18,11,34
292,공감,18,6,9
293,시설,18,14,35
294,적극,18,11,9
295,본격,18,21,40
296,연기,18,2,44
297,대응,18,19,45
298,피해자,18,11,159
299,정보,18,51,80
300,처벌,18,7,88
301,공세,18,5,3
302,추가,18,38,65
303,농단,18,1,134
304,가짜,18,15,56
305,효과,18,29,21
306,마음,18,5,28
307,개입,18,10,65
308,사용,18,22,23
309,만남,18,4,10
310,차례,18,7,32
311,여명,18,12,36
312,돌파,18,31,11
313,식당,18,2,10
314,모든,18,9,39
315,성공,18,15,11
316,헌법,18,3,13
317,촛불,18,2,37
318,진전,17,3,1
319,주의,17,11,53
320,사회,17,100,91
321,부동산,17,39,18
322,연대,17,10,35
323,누가,17,5,28
324,하라,17,7,39
325,언론,17,8,59
326,목표,17,13,10
327,방안,17,11,19
328,구속,17,3,186
329,동행,17,3,3
330,처음,17,6,42
331,전문가,17,16,13
332,중지,17,3,8
333,국감,17,4,13
334,발전,17,25,30
335,사법,17,2,161
336,사업,17,67,73
337,차관,17,2,14
338,조처,17,6,12
339,사고,17,36,87
340,은행,17,95,15
341,의미,17,1,10
342,공항,17,17,59
343,가장,17,18,48
344,권성동,17,1,18
345,기준,16,12,44
346,금지,16,26,55
347,시동,16,12,22
348,이전,16,7,40
349,계속,16,11,46
350,노조,16,54,185
351,생각,16,11,21
352,전면,16,15,29
353,언제,16,6,18
354,대상,16,32,38
355,관람,16,1,6
356,면담,16,3,3
357,공공기관,16,25,26
358,나라,16,6,14
359,성과,16,4,6
360,위반,16,15,66
361,명단,16,4,9
362,한국인,16,2,12
363,보복,16,16,10
364,다스,16,9,93
365,장소,16,1,6
366,수석,16,1,11
367,철회,16,7,30
368,구역,15,6,11
369,복귀,15,10,15
370,징계,15,4,50
371,나선,15,5,13
372,출석,15,2,144
373,제시,15,6,10
374,취임,15,13,20
375,이후,15,13,25
376,방위,15,4,7
377,가능,15,42,35
378,하락,15,32,5
379,아들,15,6,57
380,속도,15,15,18
381,목소리,15,9,37
382,합동,15,4,18
383,유지,15,18,15
384,사전,15,11,13
385,단축,15,8,16
386,시장,15,79,83
387,가동,15,17,14
388,인터넷,15,39,11
389,부인,15,2,54
390,이재용,15,52,37
391,고발,15,22,90
392,호텔,15,15,13
393,통보,15,6,23
394,일부,15,10,44
395,공약,15,2,31
396,막말,15,1,13
397,고려,14,5,8
398,반발,14,7,59
399,진실,14,9,36
400,유세,14,15,8
401,출신,14,10,32
402,새해,14,5,12
403,공군,14,1,1
404,어디,14,17,35
405,권한,14,1,10
406,노력,14,10,7
407,거부,14,8,118
408,행보,14,6,1
409,집단,14,7,56
410,운영,14,17,50
411,먼저,14,10,19
412,주목,14,6,26
413,신뢰,14,11,13
414,투쟁,14,1,22
415,전환,14,39,47
416,직원,14,48,102
417,까닭,14,24,21
418,설치,14,5,44
419,공단,14,21,19
420,등록,14,17,13
421,대한민국,14,3,18
422,내정,14,15,9
423,선출,14,4,13
424,긍정,14,7,3
425,민심,14,1,4
426,분리,14,15,6
427,운동,14,6,59
428,지방,14,7,49
429,정의,14,1,18
430,분권,14,1,17
431,보좌,14,2,15
432,긴급,14,11,38
433,변화,14,11,20
434,참가,14,5,8
435,서해,13,2,10
436,우선,13,18,20
437,계획,13,21,27
438,개발,13,59,48
439,헬기,13,2,26
440,싸움,13,4,15
441,선택,13,11,26
442,기간,13,9,37
443,진행,13,2,12
444,교환,13,3,4
445,귀국,13,7,12
446,내달,13,9,9
447,공사,13,41,58
448,후보자,13,3,24
449,교류,13,8,27
450,검사,13,12,136
451,의견,13,8,38
452,안해,13,8,19
453,혐의,13,24,229
454,채택,13,1,6
455,간다,13,5,11
456,참모,13,1,2
457,보고서,13,10,22
458,정치인,13,3,6
459,긴장,13,3,5
460,계기,13,4,2
461,주민,13,9,95
462,여론,13,4,21
463,인상,13,84,40
464,수용,13,7,21
465,대변인,13,2,1
466,보장,13,7,33
467,경기,13,44,117
468,단계,13,6,12
469,적폐,13,2,18
470,조속,12,2,7
471,유력,12,7,12
472,민간,12,21,23
473,파괴,12,2,21
474,냉면,12,5,5
475,얘기,12,1,6
476,첫날,12,7,15
477,수도,12,5,23
478,과거,12,7,39
479,행위,12,7,13
480,대사,12,2,10
481,단일,12,1,13
482,악수,12,1,2
483,센터,12,21,63
484,헌법재판관,12,1,13
485,제출,12,1,28
486,지속,12,18,13
487,교황,12,1,6
488,원금,12,3,12
489,때문,12,10,25
490,총장,12,3,68
491,편지,12,2,20
492,대신,12,12,20
493,허위,12,6,43
494,재산,12,8,22
495,질문,12,3,25
496,위장,12,3,6
497,베트남,12,14,14
498,평가,12,20,26
499,오른,12,3,10
500,기회,12,10,16
501,피해,12,28,145
502,눈물,12,2,46
503,상임,12,4,6
504,명시,12,1,4
505,후속,12,4,4
506,강원랜드,12,6,50
507,추경,12,9,2
508,희망,11,24,24
509,설명,11,13,12
510,교수,11,20,126
511,탄력,11,3,14
512,왜곡,11,4,17
513,폭로,11,2,45
514,사립,11,1,34
515,경고,11,6,11
516,부총리,11,12,4
517,심사,11,11,49
518,특혜,11,11,35
519,대법원,11,1,108
520,변수,11,2,12
521,전격,11,5,6
522,신설,11,14,20
523,비서실,11,1,5
524,세력,11,3,5
525,거래,11,62,65
526,등장,11,6,25
527,판단,11,7,26
528,연결,11,10,6
529,비용,11,10,11
530,화해,11,1,12
531,불참,11,7,7
532,체포,11,1,46
533,자리,11,4,12
534,의제,11,1,1
535,차량,11,18,64
536,화재,11,23,152
537,돌입,11,4,13
538,가슴,11,1,8
539,인터뷰,11,3,8
540,압수수색,11,10,158
541,노동,11,24,75
542,사태,11,8,23
543,깜짝,11,4,9
544,장병,11,3,7
545,기획,11,2,21
546,이동,11,6,13
547,변호사,11,2,77
548,모임,11,1,13
549,대비,11,12,11
550,승리,11,1,12
551,상황,11,12,9
552,경쟁,11,27,12
553,석탄,11,13,6
554,관심,11,7,16
555,제명,11,1,5
556,종업원,11,1,4
557,공작,11,2,47
558,모두,11,23,70
559,정상화,11,10,16
560,폐쇄,11,15,19
561,문자,10,10,11
562,보호,10,15,26
563,잘못,10,8,20
564,부족,10,6,15
565,유예,10,7,6
566,배제,10,8,18
567,이용주,10,1,6
568,생활,10,14,24
569,지적,10,1,9
570,다음,10,13,19
571,비밀,10,8,15
572,제한,10,33,24
573,가나,10,3,3
574,경질,10,2,3
575,무슨,10,5,15
576,쇄신,10,2,4
577,인적,10,2,3
578,강제,10,8,68
579,공격,10,6,7
580,겨냥,10,7,6
581,기본권,10,1,7
582,훼손,10,4,19
583,체육,10,2,4
584,무엇,10,5,12
585,기억,10,2,53
586,사위,10,2,26
587,복원,10,6,19
588,경계,10,3,4
589,정신,10,4,26
590,특수,10,7,32
591,허용,10,14,14
592,치유,10,2,19
593,전달,10,10,17
594,방송,10,5,43
595,호소,10,3,16
596,감사원,10,1,6
597,개념,10,5,9
598,강남,10,33,34
599,여의도,10,3,11
600,축소,10,12,19
601,상징,10,3,19
602,훈장,10,2,5
603,의장,10,3,32
604,러시아,10,1,3
605,고소,10,3,27
606,바람,10,13,50
607,휴가,10,8,20
608,교육,10,17,136
609,마치,10,2,5
610,총회,10,1,7
611,정세,10,1,1
612,영향,10,36,34
613,상가,10,8,5
614,결의,10,2,5
615,다리,10,4,10
616,간부,10,2,50
617,의심,10,12,43
618,관리,10,30,43
619,통신,10,17,2
620,청탁,10,2,44
621,추락,10,9,38
622,가상,10,76,15
623,감시,9,8,19
624,근무,9,6,25
625,당국,9,14,8
626,반박,9,2,3
627,노래,9,1,14
628,시범,9,7,6
629,민주주의,9,3,27
630,의도,9,1,5
631,리더십,9,1,2
632,내부,9,9,14
633,결론,9,13,26
634,유감,9,1,13
635,교육감,9,1,126
636,연내,9,5,1
637,해임,9,6,21
638,주자,9,5,3
639,범죄,9,2,42
640,구축,9,12,4
641,투자,9,141,18
642,지급,9,21,26
643,실행,9,3,3
644,예고,9,8,22
645,발굴,9,5,9
646,법원,9,12,233
647,취업,9,43,49
648,박정희,9,2,27
649,의결,9,3,6
650,국제,9,30,44
651,제거,9,5,9
652,협정,9,3,1
653,불발,9,2,1
654,서도,9,14,25
655,유시민,9,3,2
656,도로,9,10,37
657,전자,9,165,48
658,영업,9,67,11
