,단어명,빈도수
0,가상,113
1,화폐,110
2,톡톡,81
3,일상,79
4,삼성,72
5,타이어,69
6,인상,69
7,코노,68
8,브리핑,68
9,금호,64
10,투자,64
11,최저임금,64
12,일자리,62
13,지원,62
14,김동연,59
15,시장,58
16,금융,57
17,해외,54
18,경영,51
19,롯데,50
20,금리,49
21,수출,48
22,관세,48
23,사업,47
24,특집,47
25,최고,45
26,사회,44
27,플러스,43
28,산업,42
29,은행,42
30,매각,41
31,채용,41
32,국내,40
33,전자,40
34,작년,40
35,협상,40
36,대출,39
37,출시,39
38,청년,39
39,김현주,37
40,거래소,37
41,거래,37
42,노조,36
43,혁신,36
44,경제,35
45,업체,34
46,공장,34
47,논란,33
48,농협,33
49,확대,33
50,역대,33
51,증가,32
52,철강,32
53,부담,31
54,규제,31
55,서비스,31
56,공헌,31
57,비트코인,30
58,군산,30
59,개발,29
60,개최,28
61,직원,28
62,건설,28
63,대책,28
64,자금,27
65,기술,27
66,취업,26
67,세계,26
68,폐쇄,26
69,이주열,26
70,미국,25
71,강화,25
72,주택,25
73,위해,24
74,사장,24
75,한미,24
76,브랜드,24
77,비리,24
78,사상,24
79,성장,23
80,카드,23
81,안정,23
82,합의,22
83,관리,22
84,돌파,22
85,판매,22
86,폭탄,22
87,공정위,22
88,신규,21
89,금감원,21
90,생산,21
91,문제,21
92,진행,21
93,물가,21
94,소득,20
95,협력,20
96,그룹,20
97,전쟁,20
98,글로벌,20
99,무역,20
100,창업,20
101,강남,20
102,가격,20
103,과징금,20
104,부동산,20
105,재건축,19
106,중소기업,19
107,영업,19
108,코스닥,19
109,대기업,18
110,결정,18
111,가맹,18
112,카카오,18
113,비상,18
114,피해,18
115,수요,18
116,정책,18
117,상승,18
118,중단,18
119,발표,17
120,시행,17
121,공인,17
122,오픈,17
123,블록,17
124,체인,17
125,인수,17
126,감소,17
127,아파트,17
128,신동빈,17
129,연휴,17
130,노사,16
131,현대,16
132,준비,16
133,최저,16
134,의혹,16
135,규모,16
136,이상,16
137,고객,16
138,가장,16
139,임금,16
140,트럼프,16
141,전환,16
142,이건희,16
143,차명계좌,16
144,계좌,16
145,커피,15
146,결제,15
147,가능성,15
148,공개,15
149,세금,15
150,실적,15
151,현대차,15
152,통화,15
153,확인,15
154,직장인,15
155,통해,15
156,중국,15
157,보험,15
158,하나,15
159,대우건설,15
160,평창,15
161,국제,14
162,현장,14
163,신청,14
164,할인,14
165,플랫폼,14
166,고용,14
167,업계,14
168,가능,14
169,기준,14
170,하락,14
171,부과,14
172,유지,14
173,조사,14
174,투기,14
175,회사,14
176,실명,14
177,전력,14
178,스타,13
179,김상조,13
180,압박,13
181,본부,13
182,계획,13
183,고발,13
184,광고,13
185,예상,13
186,활성화,13
187,우려,13
188,통상,13
189,도입,13
190,기대,13
191,속도,13
192,회복,13
193,인사,13
194,추가,13
195,소상,13
196,가계,13
197,세이프,13
198,가드,13
199,분할,13
200,외식,13
201,상생,12
202,시대,12
203,더블,12
204,본격,12
205,소비,12
206,이벤트,12
207,자율,12
208,현금,12
209,이후,12
210,검토,12
211,진출,12
212,집값,12
213,자동차,12
214,수입,12
215,안전,12
216,대응,12
217,지역,12
218,주식,12
219,희망,12
220,선정,12
221,사드,12
222,총재,12
223,대상,12
224,소비자,12
225,실업률,12
226,여성,12
227,실시,12
228,확산,12
229,쇼핑,12
230,한파,12
231,센터,11
232,점검,11
233,법정관리,11
234,매출,11
235,최초,11
236,연속,11
237,자산,11
238,뱅크,11
239,평가,11
240,참여,11
241,개정,11
242,과세,11
243,프랜차이즈,11
244,면제,11
245,조선,11
246,타격,11
247,이재용,11
248,공공기관,11
249,개인,11
250,스마트폰,11
251,위기,11
252,보복,11
253,제품,11
254,국가,11
255,국세청,11
256,재정,11
257,추경,11
258,해결,11
259,행사,11
260,우리,11
261,충격,11
262,선물,11
263,회의,11
264,비용,11
265,사용,11
266,지난해,11
267,호반,11
268,새해,11
269,공무원,10
270,채권,10
271,감사,10
272,육박,10
273,시간,10
274,환율,10
275,세트,10
276,계약,10
277,경기,10
278,폐지,10
279,마트,10
280,사실,10
281,노인,10
282,보청기,10
283,아이,10
284,비중,10
285,전국,10
286,여행,10
287,참가,10
288,프리미엄,10
289,적발,10
290,결과,10
291,요청,10
292,상품,10
293,체결,10
294,달러,10
295,네이버,10
296,평창올림픽,10
297,온라인,10
298,평균,10
299,치킨,10
300,홍종학,10
301,사랑,10
302,회생,9
303,개편,9
304,기념,9
305,인하,9
306,베트남,9
307,발전,9
308,책임,9
309,절반,9
310,국민연금,9
311,반도체,9
312,수익,9
313,추천,9
314,개선,9
315,전략,9
316,가동,9
317,기관,9
318,적자,9
319,수수료,9
320,연봉,9
321,급등,9
322,생활,9
323,제공,9
324,사임,9
325,반대,9
326,주행,9
327,사외이사,9
328,필요,9
329,개시,9
330,게임,9
331,장관,9
332,전달,9
333,캠페인,9
334,필수,9
335,악재,9
336,수급,9
337,증시,9
338,구직,9
339,시세,9
340,나눔,9
341,명절,9
342,유세,9
343,맞이,9
344,감축,9
345,부회장,8
346,정상화,8
347,증권,8
348,우정,8
349,건강,8
350,협의,8
351,이자,8
352,대형,8
353,테크,8
354,개입,8
355,포스코,8
356,상승세,8
357,일부,8
358,이용,8
359,변신,8
360,효과,8
361,이익,8
362,코인,8
363,부총리,8
364,사고,8
365,현실,8
366,급증,8
367,성공,8
368,국산,8
369,분쟁,8
370,구조조정,8
371,유통,8
372,국민,8
373,가구,8
374,통합,8
375,혜택,8
376,영향,8
377,담합,8
378,통보,8
379,단체,8
380,개혁,8
381,기재부,8
382,수주,8
383,스마트,8
384,사업자,8
385,철도,8
386,육성,8
387,올림픽,8
388,세제,8
389,논의,8
390,기록,8
391,보유,8
392,주주,8
393,최악,8
394,지속,8
395,부실,8
396,포기,8
397,방문,8
398,대비,8
399,연금,7
400,출범,7
401,등장,7
402,제도,7
403,구매,7
404,투표,7
405,추락,7
406,임단협,7
407,임원,7
408,모델,7
409,전문,7
410,투자자,7
411,특별,7
412,당국,7
413,디지털,7
414,맞춤,7
415,고속도로,7
416,교육,7
417,행복,7
418,시스템,7
419,소외,7
420,검사,7
421,바이오,7
422,동반,7
423,원칙,7
424,중앙회,7
425,방안,7
426,확장,7
427,편의점,7
428,요구,7
429,농업,7
430,목표,7
431,적용,7
432,서민,7
433,선택,7
434,상반기,7
435,코레일,7
436,가치,7
437,전문가,7
438,구속,7
439,갤럭시,7
440,검찰,7
441,입찰,7
442,격차,7
443,예금,7
444,프로모션,7
445,공동,7
446,종합,7
447,최종,7
448,신고,7
449,사태,7
