,단어명,정치 빈도수
431,처음,29
432,조작,29
433,공단,29
434,지방,29
435,공조,29
436,승리,29
437,조선,29
438,김영남,29
439,공항,29
440,혐의,29
441,비대,29
442,특활비,29
443,노동신문,28
444,총장,28
445,속도,28
446,전면,28
447,여권,28
448,거론,28
449,주년,28
450,철회,28
451,반발,28
452,여부,28
453,역할,28
454,사전,28
455,리용호,28
456,사고,28
457,여론조사,28
458,단일,28
459,피해,27
460,중지,27
461,현실,27
462,유력,27
463,전환,27
464,운영,27
465,유지,27
466,대한민국,27
467,경선,27
468,감사,27
469,반입,27
470,성추행,27
471,군수,27
472,마식령,27
473,강제,26
474,출범,26
475,보고서,26
476,재판,26
477,육군,26
478,돌입,26
479,참여,26
480,충돌,26
481,먼저,26
482,뉴욕,26
483,국감,26
484,가짜,26
485,불법,26
486,평가,26
487,막판,26
488,정상화,26
489,만남,26
490,상임,26
491,불참,26
492,출장,26
493,복귀,26
494,보복,26
495,악수,26
496,중앙,26
497,오찬,26
498,선수,26
499,호소,26
500,도입,25
501,개입,25
502,야권,25
503,국민연금,25
504,겨냥,25
505,직전,25
506,대위,25
507,인도,25
508,첫날,25
509,등장,25
510,일방,25
511,동행,25
512,경호,25
513,이전,25
514,깜짝,25
515,선발,25
516,전남,25
517,사회,24
518,작전,24
519,경고,24
520,완전,24
521,정치권,24
522,침묵,24
523,개편,24
524,추천,24
525,건설,24
526,공격,24
527,관광,24
528,이틀,24
529,행동,24
530,한국인,24
531,완료,24
532,본격,24
533,이재용,24
534,의견,24
535,차례,24
536,직원,24
537,홍보,24
538,의제,24
539,긴급,24
540,미투,24
541,추경,24
542,적극,23
543,개발,23
544,부동산,23
545,신임,23
546,가장,23
547,특위,23
548,냉면,23
549,탁현민,23
550,변화,23
551,판단,23
552,사찰,23
553,리얼미터,23
554,효과,23
555,지지도,23
556,가동,23
557,세계,23
558,외무,23
559,대신,23
560,비리,23
561,연결,23
562,해명,23
563,제기,23
564,의문,23
565,서명,23
566,라인,23
567,기지,22
568,국내,22
569,공군,22
570,도전,22
571,청문회,22
572,주의,22
573,영호,22
574,부대,22
575,만날,22
576,김정숙,22
577,핵무기,22
578,토론,22
579,경협,22
580,내정,22
581,내부,22
582,국군,22
583,폐쇄,22
584,성사,22
585,업무,22
586,박근혜,22
587,허위,22
588,신뢰,22
589,평화협정,22
590,생일,22
591,개각,22
592,합동,22
593,도지사,22
594,예비,22
595,경북,22
596,해임,21
597,전원책,21
598,협치,21
599,경질,21
600,판결,21
601,시위,21
602,도로,21
603,정신,21
604,유출,21
605,연내,21
606,실시,21
607,축소,21
608,은행,21
609,워싱턴,21
610,세월호,21
611,진보,21
612,도부,21
613,순방,21
614,조건,21
615,행위,21
616,탈북자,21
617,이드,21
618,찬성,21
619,압수수색,21
620,청년,21
621,목표,21
622,차량,21
623,시민단체,21
624,관람,21
625,민병두,21
626,친서,21
627,당권,21
628,감축,21
629,민심,21
630,타고,21
631,이동,21
632,생중계,21
633,기간,21
634,진실,21
635,억류,21
636,선수단,21
637,단축,21
638,투자,20
639,의결,20
640,리비아,20
641,설전,20
642,마린,20
643,교황,20
644,비상,20
645,자리,20
646,고려,20
647,해상,20
648,선거운동,20
649,민생,20
650,단장,20
651,거래,20
652,분리,20
653,원장,20
654,충남,20
655,하태경,20
656,독도,20
657,해군,20
658,가족,20
659,관리,20
660,지금,20
661,중요,20
662,리설주,20
663,센터,20
664,행정관,20
665,국회의장,20
666,청탁,20
667,송파,20
668,배치,19
669,당원,19
670,대비,19
671,결의,19
672,최종,19
673,갤럽,19
674,선전,19
675,부담,19
676,정경두,19
677,전날,19
678,국무부,19
679,자기,19
680,영향,19
681,양보,19
682,착수,19
683,선박,19
684,사망,19
685,마음,19
686,시사,19
687,매우,19
688,연대,19
689,보좌,19
690,심판,19
691,국정조사,19
692,불발,19
693,선출,19
694,최선,19
695,한번,19
696,충북,19
697,삭제,19
698,강남,19
699,백두산,19
700,베트남,19
701,의원직,19
702,대한,19
703,한반도기,19
704,프로필,19
705,김진표,19
706,연루,19
707,김동철,19
708,방중,19
709,폭침,19
710,인천,19
711,확성기,19
712,단식,19
713,징용,18
714,참모,18
715,다른,18
716,잘못,18
717,내주,18
718,비공개,18
719,청문,18
720,강력,18
721,불가,18
722,분석,18
723,운동,18
724,표현,18
725,의사,18
726,처벌,18
727,자문,18
728,체육,18
729,사단,18
730,양국,18
731,시기,18
732,협조,18
733,피해자,18
734,대사관,18
735,탄핵,18
736,교통,18
737,협정,18
738,자료,18
739,통계,18
740,병력,18
741,구체,18
742,집권,18
743,서울시,18
744,시도,18
745,다음주,18
746,종합,18
747,부처,18
748,집단,18
749,민간,18
750,담판,18
751,날짜,18
752,사위,18
753,조성,18
754,기회,18
755,숙소,18
756,접견,18
757,이산,18
758,구속,18
759,주목,17
760,김수현,17
761,철거,17
762,피랍,17
763,해병대,17
764,변경,17
765,기자회견,17
766,나선,17
767,타결,17
768,걱정,17
769,지휘,17
770,교환,17
771,푸틴,17
772,돌연,17
773,희망,17
774,시찰,17
775,항의,17
776,민주주의,17
777,보장,17
778,징계,17
779,간담,17
780,성명,17
781,전작권,17
782,분노,17
783,공공기관,17
784,제외,17
785,설명,17
786,신설,17
787,무력,17
788,최악,17
789,입법,17
790,파행,17
791,이름,17
792,예고,17
793,산업,17
794,마치,17
795,기획,17
796,주한,17
797,부정,17
798,원금,17
799,여군,17
800,동원,17
801,싸움,17
802,구조,17
803,영변,17
804,강원,17
805,사의,17
806,문희상,17
807,재선,17
808,위장,17
809,공유,17
810,표명,17
811,부인,17
812,청장,17
813,공장,17
814,스캔들,17
815,대구시,17
816,정세균,17
817,패럴림픽,17
818,중간,16
819,비밀,16
820,승인,16
821,구역,16
822,지적,16
823,재정,16
824,돌파,16
825,전당대회,16
826,신문,16
827,여론,16
828,성폭행,16
829,특수,16
830,유족,16
831,주자,16
832,동향,16
833,주기,16
834,방식,16
835,시험,16
836,가치,16
837,절대,16
838,귀환,16
839,탈북민,16
840,권한,16
841,무관,16
842,제한,16
843,즉각,16
844,해리스,16
845,복구,16
846,송영길,16
847,연장,16
848,기사,16
849,무기,16
850,인민,16
851,김태호,16
852,조정,16
853,좌파,16
854,국무회의,16
855,분위기,16
856,토론회,16
857,수사권,16
858,명단,16
859,잡기,16
860,용산,16
861,의전,16
862,반드시,16
863,아들,16
864,출동,16
865,군사훈련,16
866,표심,16
867,관심,16
868,박수현,16
869,핫라인,16
870,재보선,16
871,민정,15
872,훼손,15
873,연속,15
874,의회,15
875,서도,15
876,공작,15
877,수출,15
878,체포,15
879,부총리,15
880,리스트,15
881,지도자,15
882,파악,15
883,차기,15
884,전용기,15
885,참배,15
886,안보리,15
887,폭행,15
888,성폭력,15
889,적대,15
890,휴가,15
891,부족,15
892,지자체,15
893,창설,15
894,군용기,15
895,수역,15
896,최저,15
897,수준,15
898,베이징,15
899,부상,15
900,유럽,15
901,무슨,15
902,삼성,15
903,해제,15
904,기준,15
905,의안,15
906,사장,15
907,수장,15
908,친문,15
909,주택,15
910,보유,15
911,우선,15
912,박주선,15
913,바람,15
914,소집,15
915,경쟁,15
916,지대,15
917,인물,15
918,격전,15
919,추락,15
920,은수미,15
921,조폭,15
922,김부선,15
923,우세,15
924,응원단,15
925,노조,14
926,폭풍,14
927,마무리,14
928,자산,14
929,고민,14
930,태극기,14
931,도움,14
932,모임,14
933,민노총,14
934,목소리,14
935,직후,14
936,정청,14
937,세금,14
938,티스,14
939,비건,14
940,세습,14
941,이해,14
942,캠프,14
943,계파,14
944,상징,14
945,조직,14
946,공감,14
947,국빈,14
948,재산,14
949,문화,14
950,포착,14
951,사태,14
952,세종,14
953,조만간,14
954,김관영,14
955,전국,14
956,동시,14
957,밀양,14
958,사무,14
959,변호사,14
960,주말,14
961,편지,14
962,우린,14
963,발굴,14
964,인터넷,14
965,현재,14
966,검사,14
967,쇼크,14
968,축하,14
969,여론조작,14
970,임기,14
971,총력,14
972,송인,14
973,복무,14
974,호남,14
975,허태정,14
976,무소속,14
977,대림,14
978,친박,13
979,출국,13
980,계기,13
981,방미,13
982,김무성,13
983,조절,13
984,진짜,13
985,깜깜,13
986,기록,13
987,동해,13
988,시절,13
989,복지,13
990,도발,13
991,계엄령,13
992,합참,13
993,연일,13
994,불가능,13
995,쇄신,13
996,브룩스,13
997,무역,13
998,이란,13
999,과제,13
1000,합당,13
1001,붕괴,13
1002,면제,13
1003,한일,13
1004,추정,13
1005,재단,13
1006,통상,13
1007,제거,13
1008,허용,13
1009,낙하산,13
1010,복원,13
1011,유치원,13
1012,수송기,13
1013,답변,13
1014,배제,13
1015,제시,13
1016,나경원,13
1017,총수,13
1018,역대,13
1019,산림,13
1020,움직임,13
1021,시간표,13
1022,분담,13
1023,긴밀,13
1024,새벽,13
1025,기초,13
1026,입국,13
1027,간부,13
1028,발사,13
1029,정무,13
1030,병원,13
1031,수행,13
1032,김일성,13
1033,당론,13
1034,결론,13
1035,선택,13
1036,후속,13
1037,민족,13
1038,제공,13
1039,조문,13
1040,중재,13
1041,내각,13
1042,지난,13
1043,제의,13
1044,아내,13
1045,왜곡,13
1046,견제,13
1047,광역단체장,13
1048,분권,13
1049,대회,13
1050,홍일표,13
1051,교섭단체,13
1052,정철,13
1053,미세먼지,13
1054,권영진,13
1055,조배숙,13
1056,저지,13
1057,만경봉호,13
1058,신당,13
1059,신년사,13
1060,부적절,12
1061,개방,12
1062,기업인,12
1063,반응,12
1064,헬기,12
1065,협박,12
1066,노동자,12
1067,작업,12
1068,채널,12
1069,선정,12
1070,실세,12
1071,사이,12
1072,원칙,12
1073,지도,12
1074,최소,12
1075,의식,12
1076,규모,12
1077,공급,12
1078,시범,12
1079,정면,12
1080,성의,12
1081,작성,12
1082,황교안,12
1083,답방,12
1084,여의도,12
1085,병역,12
1086,기술,12
1087,전화,12
1088,시정,12
1089,공모,12
1090,강경,12
1091,해산,12
1092,절차,12
1093,삼지연,12
1094,보상,12
1095,군산,12
1096,진입,12
1097,버스,12
1098,재계,12
1099,연구원,12
1100,인터뷰,12
1101,자금,12
1102,하자,12
1103,이제,12
1104,행보,12
1105,소상,12
1106,공인,12
1107,불만,12
1108,관함,12
1109,시동,12
1110,사정,12
1111,의총,12
1112,총력전,12
1113,미리,12
1114,폭파,12
1115,소장,12
1116,화재,12
1117,참사,12
1118,소환,12
1119,사흘,12
1120,초대,12
1121,한미정상회담,12
1122,자체,12
1123,김정일,12
1124,설득,12
1125,이면,12
1126,납치,12
1127,영화,12
1128,르포,12
1129,정동영,12
1130,중진,12
1131,업자,12
1132,미정,12
1133,지속,12
1134,영업,12
1135,응원,12
1136,개막식,12
1137,구상,12
1138,김영환,12
1139,정세현,12
1140,결단,12
1141,농성,12
1142,자제,12
1143,측근,12
1144,김부겸,12
1145,박영선,12
1146,광장,12
1147,변수,12
1148,도민,12
1149,사회주의,12
1150,광역,12
1151,재보궐,12
1152,사직서,12
1153,석방,12
1154,강릉,12
1155,아이스하키,12
1156,통합신당,12
1157,당국,11
1158,감시,11
1159,정기,11
1160,무장,11
1161,건강,11
1162,전격,11
1163,긴장,11
1164,파괴,11
1165,전망,11
1166,악화,11
1167,환경,11
1168,그룹,11
