,Title,Date
0,유은혜 카드 꼬이고 심재철 폭로에 막히고…10월 정국 안갯속,2018.09.30
1,"65세 이상 택시 운전자 7만2800명, 80세 이상 770명· 90세 이상 237명이나",2018.09.30
2,"여야, 심재철 사태 공방 지속…""범죄행위"" vs ""대통령 오기""",2018.09.30
3,"김용태 ""전원책 변호사 조강특위 위원으로 사실상 확정""",2018.09.30
4,"전원책 변호사 ""전권없는 조강특위 위원, 안한다""· 한국당 난처",2018.09.30
5,"심재철 ""5500원짜리 사우나는 홍보, 1인당 10만원 식사는 침묵하냐""며 반격",2018.09.30
6,"문대통령, 양산서 3박 4일 휴식 마치고 청와대 복귀",2018.09.30
7,심재철과 박근혜 그리고 노회찬,2018.09.30
8,리용호 북한 외무상 UN총회 연설 전문,2018.09.30
9,"임덕규 ""국회의장단, 남북 국회 회담 때 진정성으로 상대 존중하라""",2018.09.30
10,"北, 다각도로 美향해 종전선언· 평화협정 요구…미국 조치 없임 핵해제 못해",2018.09.30
11,민병두 “해당 업소에서 신용카드 긁어보겠다”,2018.09.29
12,고속도로 통행료 체납액 1위 2천20만원…징수액 0원,2018.09.29
13,"나경원, 文대통령 ""북핵이 우리핵이라 주장할 태세""",2018.09.29
14,"나경원의 일갈 ""문 대통령, 김정은 대변인 평가 들을 정도로 주력""",2018.09.29
15,"한국당 김성태, 심재철 자료 합법 강조…""행정부 감시는 헌법이 보장""",2018.09.29
16,"김성태 ""심재철 자료 합법…정부 실정 비판책무""",2018.09.29
17,"홍철호“청와대 1년간 TV, 차량, 컴퓨터 등 24억 구매했다”",2018.09.29
18,"""靑보다 많은 국회 업무비도 공개""… 국회 불똥",2018.09.29
19,"재정정보 유출 논란 확전…심재철·당청, 공방 격화",2018.09.28
20,"文대통령, 유은혜 청문경과 보고서 재요청",2018.09.28
21,"靑 ""10월 적십자회담서 이산가족 면회소 상시운영 협의""",2018.09.28
22,"靑, 남북공동선언 이행추진위에 군비통제 분과 신설",2018.09.28
23,"靑 ""동·서해선 철도연결 현지조사 10월 추진""",2018.09.28
24,"민주, 국회 윤리위에 심재철 징계요구…""국회 명예 실추""",2018.09.28
25,"한국 ""당정청·사법부 찰떡공조 야당탄압""",2018.09.28
26,"경찰 조사 中 백군기 용인시장, 주택 16채 보유 공개되자 부동산 투기의혹 제기돼",2018.09.28
27,"靑 유은혜 청문보고서 재요청… 野 ""절대 반대""",2018.09.28
28,李총리 “야비한 짓 멈추길” 발끈… 가짜뉴스에 일침,2018.09.28
29,"美, 과거 北서 발굴 한국전 국군전사자 유해 64구 한국에 인도",2018.09.28
30,박근혜 청와대 행정관 “신원조회 기간 급여성 수당 받지 않아”,2018.09.28
31,"추악한 진실 ""5·18 진상규명 범위에 계엄군 성폭력 포함해야""",2018.09.28
32,"김명수 ""심재철 의원실 압수수색 영장 관련 언급 부적절""",2018.09.28
33,청와대는 왜 직원에게 월급 대신 회의참석료를 줬을까,2018.09.28
34,"한국 ""당정청·사법부 찰떡공조 야당탄압""",2018.09.28
35,"이총리 ""방명록 글 왜곡한 가짜뉴스…야비한 짓 멈추길""",2018.09.28
36,"심재철 ""靑 부당 회의수당""…靑 ""월급대신 최소수당""",2018.09.28
37,"심재철 압수수색에 손학규 ""검찰이 야당 중진의원을…국민 알 권리 중요""",2018.09.28
38,전진한 “심재철 공공기록물법 위반 가능성…국회 특활비부터 공개하길”,2018.09.28
39,민선 최초 민주당계 부산시장 오거돈 재산 87억…광역단체장  중 1위,2018.09.28
40,"육군대장 출신 백군기 용인시장, 가족 명의 주택 16채 보유해",2018.09.28
41,청탁금지법 시행 2주년…대다수 안정적정착 긍정평가,2018.09.28
42,"""국회 파행할수도""…심재철·유은혜·비준안 지뢰밭 어쩌나",2018.09.28
43,"박지원 ""文외교 최고"" vs 홍준표 ""평화공세에 속는 것""",2018.09.28
44,"심재철 靑추진비 공개에 ""불법유출"" vs ""야당 탄압""",2018.09.28
45,“미국 상응 조치로 나진-하산 프로젝트 검토 가능”,2018.09.28
46,"경찰, 원희룡 지사 선거법 사건 본격 조사 돌입",2018.09.28
47,"문대통령, 방미 일정 마치고 귀국…공군 2호기로 양산行",2018.09.27
48,유은혜 후보 인사청문 보고서 채택 마감일(27일)도 불발…文 대통령 요청 나설까,2018.09.27
49,"기재부, 심재철 의원 고발장 서울중앙지검 접수 ""업무추진비 실태는 감사받겠다""",2018.09.27
50,외교라인 물갈이… 차관급 5명 인사,2018.09.27
51,"한국당 ""정권의 기획된 야당탄압…대정부투쟁 나설 것""",2018.09.27
52,연휴 끝나자 지뢰밭 국회…판문점선언·심재철 사태 곳곳 대치,2018.09.27
53,"성윤모 ""대통령도 산업정책 당부…혁신성장에 역량 집중하겠다""",2018.09.27
54,선관위 사무총장 전격 사퇴…세계선거기관협의회 스캔들 여파,2018.09.27
55,"손학규 ""소득주도성장 주역 장하성·김동연부터 경질해야""",2018.09.27
56,"안민석, 유승민 IOC위원 면담…""올림픽 남북공동유치 꼭 이루자""",2018.09.27
57,"심재철 압수수색에 김성태 ""대정부 투쟁하겠다"" 기재부 ""추가 고발하겠다""",2018.09.27
58,"심재철 ""靑, 심야·주말 업무추진비 사용 부적절""",2018.09.27
