,Title,Date
0,정세현 “매사 美 허락 받을 수 없어…북미관계보다 앞서나갈 용기 필요”,2018.11.15
1,"한국당 ""울산 중구청장 허위사실 유포…선거법 위반 고발""",2018.11.15
2,"정세현 ""4차 남북정상회담 성사시켜 북미대화 불씨 살려야""",2018.11.15
3,"펜스 ""北과 좀더 긴밀히 소통해달라""…문대통령 ""적극역할 계속""",2018.11.15
4,"日, 서울 한복판서 징용판결 설명회…""종결된 문제"" 강변",2018.11.15
5,"문대통령 ""한미동맹, 北 대화이끌어"" 펜스""北 더많은 조치 기대""",2018.11.15
6,"코이카, 세네갈에 개발한 우물 7곳 지하수 식수 부적합",2018.11.15
7,"이언주 ""기득권 지키려는 운동권 출신 정치인들, 물러나라"" 임종석 하태경 등 저격",2018.11.15
8,"문대통령, 아세안+3 회의서 ""비핵화, 동아시아 번영에 기여""",2018.11.15
9,"오세훈 ""反문 연대 적극 찬성"" 한국당 입당은 ""시기상조""",2018.11.15
10,여야 원내대표 합의 불발…與 오후 본회의 野 보이콧,2018.11.15
11,"문대통령, 펜스 美부통령 면담 돌입…비핵화 로드맵 논의",2018.11.15
12,"문대통령 ""한미동맹이 北 대화로 이끌어…남북·북미 함께 발전""",2018.11.15
13,"문대통령 ""동아시아 공동체 확신…한반도 문제에 하나 돼""",2018.11.15
14,"황교안 ""北 미사일기지 기만 아니면 무엇…北 변호해선 안 돼""",2018.11.15
15,"박지원 ""이언주 노이즈마케팅 잘하고 있지만, 이번엔 손학규의 勝""",2018.11.15
16,"박지원 ""황교안 이런 말 할때 아냐, 檢나갈 준비해야지· 기만은 자기가 해놓고""",2018.11.15
17,"이정우 ""김&장 최저임금 이견, 김동연이 옳았다…인상폭 과도""",2018.11.15
18,"설훈 ""이언주 착각하고 있다, 지역구 옮긴다고 심판 못 면해""",2018.11.15
19,"유기준 ""황교안, 황무지인 당을 개간할 적임자· 태극기부대도 필요""",2018.11.15
20,"황교안 ""우리 향해 날아오는 미사일은 상관없다?, 靑은 북 변호할 일 있나""",2018.11.15
21,"재판거래 직접 챙긴 박근혜 ""日 돈 보내면 프로세스 끝내라""",2018.11.14
22,이낙연 총리 “KTX 세종역 신설 없다”,2018.11.14
23,"""음주운전은 살인행위""…국회의원 이용주는 당원정지 3개월",2018.11.14
24,하태경 “GP 50여개 역사문화현장으로 보존한다”,2018.11.14
25,"""지원금 막 썼다고 탄압""…한유총 편든 한국당 눈총",2018.11.14
26,음주운전 이용주 ‘자격 정지 3개월’ 징계,2018.11.14
27,여권 ‘광주형 일자리’ 총력… 노동계 “강력 저지”,2018.11.14
28,靑 인사 놓고 날선 대립… 예산안 심사 표류,2018.11.14
29,"전원책  ""보수재건 계속할 것… 한국당 미련 없어""",2018.11.14
30,한·러 정상회담,2018.11.14
31,"전원책 ""전권 줬으면 더 말 말아야"" vs 김병준 ""전권은 전례 없는 권한""",2018.11.14
32,한국당 때리면 맞겠지만 박용진3법만 통과시켜달라…박용진 읍소,2018.11.14
33,"선동열 사퇴한 날 손혜원이 SNS에 올린 글은? ""작년 이맘때도 딱 이랬네요""",2018.11.14
34,"""살인행위라면서 3개월 자격정지?"" 이용주 의원 솜방망이 징계에 누리꾼들 발끈",2018.11.14
35,비리집단 한국유치원총연합 편든 한국당 눈총,2018.11.14
36,"전원책 ""이름도 모르는 한국당 비대위원들에게 언행조심하라 공격 받았다""",2018.11.14
37,국정원 “삭간몰 기지 이미 파악…통상 수준의 활동”,2018.11.14
38,"문대통령 ""내년 한·아세안 특별정상회의에 김정은 초청 검토""",2018.11.14
39,"윤상현 의원 ""문재인 정부 내외신 보도에 눈과 귀 닫아""",2018.11.14
40,"평화, 음주운전 이용주에 당원 자격정지 3개월 결정",2018.11.14
41,"김동연, 고용지표 악화에 ""단기간 내 개선 쉽지 않다""",2018.11.14
42,"감사원 ""한수원 75억원 주고 산 예비전동기 사용 불가""",2018.11.14
43,"文대통령, 수험생 격려… ""치열하게 보낸 시간 믿어라""",2018.11.14
44,"문대통령, 브루나이 국왕과 정상회담…신남방정책 지지 당부",2018.11.14
45,"문대통령 ""댐사고 복구 계속 관심""…라오스 총리 ""큰 도움""",2018.11.14
46,"문대통령-아세안 정상들, 내년 한국서 특별정상회의 개최 뜻모아",2018.11.14
47,"검찰, 민주당 심기준 의원 원주사무소 등 압수수색",2018.11.14
48,"이언주 ""지금의 한국당에 입당 안 해…바른미래당도 정체성 없어""",2018.11.14
49,"문대통령 ""수능 수험생 파이팅…인생의 한순간 자신있게 건너길""",2018.11.14
50,"김동엽 “北미사일기지 관련 美언론보도, 정치적인 해석담긴 가짜 뉴스”",2018.11.14
51,"김성태 ""김동연 영입설은 진짜 음모, 김무성· 황교안 당권 도전 안할 것""",2018.11.14
52,"국정원 ""北, 삭간몰 기지서 통상 수준의 활동""",2018.11.14
53,"권익위 ""범죄예방 건축기준, 300세대 이상 아파트로 확대 적용""",2018.11.14
54,"손학규 ""소득주도성장으로는 저녁이 있는 삶 안돼""",2018.11.14
55,"김병기 ""방사청, 불량소총 예산 몰래 끼워 넣었다 발각""",2018.11.14
56,"하태경 ""홍준표, 트럼프까지 빨갱이 우빨이라고 거품물 듯""...두고 보겠다며",2018.11.14
57,"이언주 ""지금은 조선후기 망국적 상황, 이를 알려야 한다""",2018.11.14
58,"김무성·이언주, 반문연대 강조 한마음…영도에서 만날까",2018.11.14
59,문성현 “소득주도·혁신성장 어젠다 너무 추상적”,2018.11.13
60,"김한정 의원, 남양주을 당정 개최 “대중교통문제 해결”",2018.11.13
61,김수현 “고가·다주택자부터 보유세 현실화”,2018.11.13
62,"靑 “내년은 아세안의 해 될 것”…文대통령, ‘신남방정책’ 1주년 동남아行",2018.11.13
