,경제단어
1131,"('기대', 8)"
1132,"('구조', 8)"
1133,"('가족', 8)"
1134,"('병원', 8)"
1135,"('아마존', 8)"
1136,"('트럭', 8)"
1137,"('윤석', 8)"
1138,"('헌', 8)"
1139,"('방문', 8)"
1140,"('지출', 8)"
1141,"('잘못', 8)"
1142,"('확정', 8)"
1143,"('스타벅스', 8)"
1144,"('제동', 8)"
1145,"('휴가', 8)"
1146,"('엘리엇', 8)"
1147,"('특위', 8)"
1148,"('관련', 8)"
1149,"('공익', 8)"
1150,"('넥슨', 8)"
1151,"('이자', 8)"
1152,"('딸', 8)"
1153,"('확보', 8)"
1154,"('신흥', 8)"
1155,"('국산', 8)"
1156,"('음성', 8)"
1157,"('인증서', 8)"
1158,"('호황', 8)"
1159,"('임시', 8)"
1160,"('솔릭', 8)"
1161,"('내일', 8)"
1162,"('공공', 8)"
1163,"('승인', 8)"
1164,"('권고', 8)"
1165,"('일반', 8)"
1166,"('재단', 8)"
1167,"('상장', 8)"
1168,"('퇴', 8)"
1169,"('철', 8)"
1170,"('조현아', 8)"
1171,"('신혼부부', 8)"
1172,"('단축', 8)"
1173,"('비행기', 8)"
1174,"('대우건설', 8)"
1175,"('전무', 8)"
1176,"('해고', 8)"
1177,"('지도', 8)"
1178,"('땅콩', 8)"
1179,"('이노베이션', 8)"
1180,"('경찰', 8)"
1181,"('김정태', 8)"
1182,"('수용', 7)"
1183,"('핵심', 7)"
1184,"('해법', 7)"
1185,"('발족', 7)"
1186,"('귀국', 7)"
1187,"('지주사', 7)"
1188,"('순위', 7)"
1189,"('미니', 7)"
1190,"('쇼핑', 7)"
1191,"('진보', 7)"
1192,"('보편', 7)"
1193,"('시범', 7)"
1194,"('퇴근', 7)"
1195,"('환불', 7)"
1196,"('입', 7)"
1197,"('불확실', 7)"
1198,"('승부', 7)"
1199,"('지주', 7)"
1200,"('행차', 7)"
1201,"('주차', 7)"
1202,"('물질', 7)"
1203,"('서비스업', 7)"
1204,"('디자인', 7)"
1205,"('통화정책', 7)"
1206,"('김포', 7)"
1207,"('인권', 7)"
1208,"('연구개발', 7)"
1209,"('벤츠', 7)"
1210,"('위원회', 7)"
1211,"('투명', 7)"
1212,"('공모', 7)"
1213,"('외국', 7)"
1214,"('특수', 7)"
1215,"('광주', 7)"
1216,"('침해', 7)"
1217,"('경쟁력', 7)"
1218,"('계층', 7)"
1219,"('특허', 7)"
1220,"('당신', 7)"
1221,"('의료', 7)"
1222,"('일시', 7)"
1223,"('유예', 7)"
1224,"('그', 7)"
1225,"('땅', 7)"
1226,"('불참', 7)"
1227,"('의인', 7)"
1228,"('집단', 7)"
1229,"('처리', 7)"
1230,"('부영', 7)"
1231,"('포항', 7)"
1232,"('지진', 7)"
1233,"('중앙회', 7)"
1234,"('권', 7)"
1235,"('뿌리', 7)"
1236,"('고령', 7)"
1237,"('불가', 7)"
1238,"('주유소', 7)"
1239,"('설계', 7)"
1240,"('서류', 7)"
1241,"('전담', 7)"
1242,"('지자체', 7)"
1243,"('가세', 7)"
1244,"('부사', 7)"
1245,"('유력', 7)"
1246,"('공제', 7)"
1247,"('연구소', 7)"
1248,"('능력', 7)"
1249,"('언론사', 7)"
1250,"('최소', 7)"
1251,"('역사', 7)"
1252,"('주기', 7)"
1253,"('매년', 7)"
1254,"('고의', 7)"
1255,"('추정', 7)"
1256,"('명령', 7)"
1257,"('수익률', 7)"
1258,"('독일', 7)"
1259,"('전세계', 7)"
1260,"('방지', 7)"
1261,"('보호무역', 7)"
1262,"('지금', 7)"
1263,"('처벌', 7)"
1264,"('실제', 7)"
1265,"('노선', 7)"
1266,"('돌', 7)"
1267,"('유튜브', 7)"
1268,"('세로', 7)"
1269,"('중요', 7)"
1270,"('점수', 7)"
1271,"('통신사', 7)"
1272,"('조선업', 7)"
1273,"('행위', 7)"
1274,"('의지', 7)"
1275,"('개국', 7)"
1276,"('금통위', 7)"
1277,"('동네', 7)"
1278,"('단가', 7)"
1279,"('모집', 7)"
1280,"('차등', 7)"
1281,"('프랑스', 7)"
1282,"('과장', 7)"
1283,"('보장', 7)"
1284,"('운명', 7)"
1285,"('사익', 7)"
1286,"('주장', 7)"
1287,"('실효', 7)"
1288,"('고성능', 7)"
1289,"('과도', 7)"
1290,"('선언', 7)"
1291,"('공짜', 7)"
1292,"('코', 7)"
1293,"('대한', 7)"
1294,"('콜', 7)"
1295,"('변신', 7)"
1296,"('겨냥', 7)"
1297,"('신화', 7)"
1298,"('두산', 7)"
1299,"('부채', 7)"
1300,"('개방', 7)"
1301,"('타결', 7)"
1302,"('의원', 7)"
1303,"('보완', 7)"
1304,"('출생', 7)"
1305,"('파크', 7)"
1306,"('경협', 7)"
1307,"('물량', 7)"
1308,"('가정', 7)"
1309,"('주인', 7)"
1310,"('환영', 7)"
1311,"('미흡', 7)"
1312,"('서울시', 7)"
1313,"('홍종학', 7)"
1314,"('긍정', 7)"
1315,"('알뜰폰', 7)"
1316,"('오픈', 7)"
1317,"('총괄', 7)"
1318,"('중과', 7)"
1319,"('발언', 7)"
1320,"('조절', 7)"
1321,"('대회', 7)"
1322,"('전가', 7)"
1323,"('사원', 7)"
1324,"('판매량', 7)"
1325,"('신', 7)"
1326,"('반쪽', 7)"
1327,"('상가', 7)"
1328,"('지난달', 7)"
1329,"('누진', 7)"
1330,"('정지', 7)"
1331,"('반발', 7)"
1332,"('톡', 7)"
1333,"('걸음', 7)"
1334,"('통해', 7)"
1335,"('청소년', 7)"
1336,"('감독', 7)"
1337,"('타격', 7)"
1338,"('민', 7)"
1339,"('과거', 7)"
1340,"('라오스', 7)"
1341,"('강제', 7)"
1342,"('발주', 7)"
1343,"('적정', 7)"
1344,"('의뢰', 7)"
1345,"('신용카드', 7)"
1346,"('해', 7)"
1347,"('사드', 7)"
1348,"('첫날', 7)"
1349,"('송영', 7)"
1350,"('속보', 7)"
1351,"('코인', 7)"
1352,"('차례', 7)"
1353,"('작업', 7)"
1354,"('수사의뢰', 7)"
1355,"('위원', 7)"
1356,"('인력', 7)"
1357,"('철회', 7)"
1358,"('회항', 7)"
1359,"('유료', 7)"
1360,"('통신비', 7)"
1361,"('실태', 7)"
1362,"('넷마블', 7)"
1363,"('회수', 6)"
1364,"('게', 6)"
1365,"('껑충', 6)"
1366,"('대우전자', 6)"
1367,"('달성', 6)"
1368,"('뜻', 6)"
1369,"('통계청장', 6)"
1370,"('우수', 6)"
1371,"('박람회', 6)"
1372,"('조세', 6)"
1373,"('공모전', 6)"
1374,"('실장', 6)"
1375,"('선진국', 6)"
1376,"('수장', 6)"
1377,"('주인공', 6)"
1378,"('파격', 6)"
1379,"('방향', 6)"
1380,"('한계', 6)"
1381,"('젠', 6)"
1382,"('해지', 6)"
1383,"('영국', 6)"
1384,"('장비', 6)"
1385,"('처음', 6)"
1386,"('병', 6)"
1387,"('이름', 6)"
1388,"('딜레마', 6)"
1389,"('협업', 6)"
1390,"('재생에너지', 6)"
1391,"('제약', 6)"
1392,"('연말정산', 6)"
1393,"('표준', 6)"
1394,"('기초', 6)"
1395,"('전통', 6)"
1396,"('뚝', 6)"
1397,"('구역', 6)"
1398,"('시', 6)"
1399,"('개장', 6)"
1400,"('단계', 6)"
1401,"('치료', 6)"
1402,"('인간', 6)"
1403,"('배상', 6)"
1404,"('제자리', 6)"
1405,"('콘텐츠', 6)"
1406,"('처방', 6)"
1407,"('정치', 6)"
1408,"('판정', 6)"
1409,"('중견', 6)"
1410,"('국민은행', 6)"
1411,"('기계', 6)"
1412,"('의문', 6)"
1413,"('근무', 6)"
1414,"('과정', 6)"
1415,"('단속', 6)"
1416,"('연합', 6)"
1417,"('지식', 6)"
1418,"('홈', 6)"
1419,"('이동', 6)"
1420,"('심화', 6)"
1421,"('출장', 6)"
1422,"('토지', 6)"
1423,"('관광', 6)"
1424,"('강', 6)"
1425,"('팩트', 6)"
1426,"('폭발', 6)"
1427,"('운동', 6)"
1428,"('판결', 6)"
1429,"('사정', 6)"
1430,"('허위', 6)"
1431,"('얼굴', 6)"
1432,"('안팎', 6)"
1433,"('고리', 6)"
1434,"('넥쏘', 6)"
1435,"('등급', 6)"
1436,"('공격', 6)"
1437,"('복원', 6)"
1438,"('르노', 6)"
1439,"('월급', 6)"
1440,"('사망', 6)"
1441,"('코드', 6)"
1442,"('북미', 6)"
1443,"('아들', 6)"
1444,"('운전', 6)"
1445,"('관심', 6)"
1446,"('석유화학', 6)"
1447,"('문턱', 6)"
1448,"('여당', 6)"
1449,"('이전', 6)"
1450,"('예금', 6)"
1451,"('남', 6)"
1452,"('자급', 6)"
1453,"('공', 6)"
1454,"('협회', 6)"
1455,"('지방', 6)"
1456,"('불가피', 6)"
1457,"('발행', 6)"
1458,"('전월세', 6)"
1459,"('탈세', 6)"
1460,"('에어', 6)"
1461,"('예약판매', 6)"
1462,"('회담', 6)"
1463,"('이하', 6)"
1464,"('언제', 6)"
1465,"('산정', 6)"
1466,"('시가', 6)"
1467,"('동원', 6)"
1468,"('비판', 6)"
1469,"('편취', 6)"
1470,"('싱가포르', 6)"
1471,"('올림픽', 6)"
1472,"('의결권', 6)"
1473,"('관계', 6)"
1474,"('유치', 6)"
1475,"('이재웅', 6)"
1476,"('외', 6)"
1477,"('사제', 6)"
1478,"('자체', 6)"
1479,"('역전', 6)"
1480,"('충돌', 6)"
1481,"('낙하산', 6)"
1482,"('챗봇', 6)"
1483,"('요건', 6)"
1484,"('공무원', 6)"
1485,"('볼', 6)"
1486,"('표시', 6)"
1487,"('서민', 6)"
1488,"('목적', 6)"
1489,"('나라', 6)"
1490,"('신호탄', 6)"
1491,"('해킹', 6)"
1492,"('로또', 6)"
1493,"('남북정상회담', 6)"
1494,"('보험금', 6)"
1495,"('대안', 6)"
1496,"('푸르지오', 6)"
1497,"('꼼수', 6)"
1498,"('얼마나', 6)"
1499,"('재판', 6)"
1500,"('강원랜드', 6)"
1501,"('국토', 6)"
1502,"('주목', 6)"
1503,"('응답', 6)"
1504,"('권오준', 6)"
1505,"('공감', 6)"
1506,"('행보', 6)"
1507,"('벤처기업', 6)"
1508,"('등장', 6)"
1509,"('청', 6)"
1510,"('부족', 6)"
1511,"('현지', 6)"
1512,"('검색', 6)"
1513,"('포털', 6)"
1514,"('케이', 6)"
1515,"('산업혁명', 6)"
1516,"('감사', 6)"
1517,"('문화', 6)"
1518,"('면접', 6)"
1519,"('봇물', 6)"
1520,"('실질', 6)"
1521,"('김현미', 6)"
1522,"('진입', 6)"
1523,"('프리미엄', 6)"
1524,"('조처', 6)"
1525,"('고공', 6)"
1526,"('품목', 6)"
1527,"('변압기', 6)"
1528,"('증액', 6)"
1529,"('제기', 6)"
1530,"('완료', 6)"
1531,"('기구', 6)"
1532,"('경고', 6)"
1533,"('완전', 6)"
1534,"('여전', 6)"
1535,"('절차', 6)"
1536,"('틀', 6)"
1537,"('터키', 6)"
1538,"('싼타페', 6)"
1539,"('외식', 6)"
1540,"('레드', 6)"
1541,"('콕', 6)"
1542,"('심', 6)"
1543,"('지구', 6)"
1544,"('청원', 6)"
1545,"('점유', 6)"
1546,"('상습', 6)"
1547,"('만난', 6)"
1548,"('원화', 6)"
1549,"('설득', 6)"
1550,"('옵션', 6)"
1551,"('자회사', 6)"
1552,"('분식', 6)"
1553,"('해임', 6)"
1554,"('수집', 6)"
1555,"('상통', 6)"
1556,"('대미', 6)"
1557,"('대우', 6)"
1558,"('구본무', 6)"
1559,"('개관', 6)"
1560,"('이명희', 6)"
1561,"('현상', 6)"
1562,"('교섭', 6)"
1563,"('물세례', 6)"
1564,"('하라', 6)"
1565,"('유플러스', 6)"
1566,"('필수', 6)"
1567,"('공조', 6)"
1568,"('문건', 5)"
1569,"('주력', 5)"
1570,"('수능', 5)"
1571,"('주간', 5)"
1572,"('장치', 5)"
1573,"('사주', 5)"
1574,"('판단', 5)"
1575,"('특', 5)"
1576,"('램', 5)"
1577,"('성윤', 5)"
1578,"('모', 5)"
1579,"('나선', 5)"
1580,"('이노', 5)"
1581,"('초대형', 5)"
1582,"('고속', 5)"
1583,"('가시', 5)"
1584,"('출금', 5)"
1585,"('정권', 5)"
1586,"('기업인', 5)"
1587,"('하자', 5)"
1588,"('개념', 5)"
1589,"('발생', 5)"
1590,"('차별', 5)"
1591,"('소', 5)"
1592,"('장애인', 5)"
1593,"('토스', 5)"
1594,"('인치', 5)"
1595,"('체계', 5)"
1596,"('쪽', 5)"
1597,"('동남아', 5)"
1598,"('폐업', 5)"
1599,"('홈쇼핑', 5)"
1600,"('직무', 5)"
1601,"('상대', 5)"
1602,"('경제성장률', 5)"
1603,"('연내', 5)"
1604,"('공연', 5)"
1605,"('소득공제', 5)"
1606,"('클라우드', 5)"
1607,"('밑', 5)"
1608,"('상업', 5)"
1609,"('공략', 5)"
1610,"('동안', 5)"
1611,"('분배', 5)"
1612,"('이행', 5)"
1613,"('부터', 5)"
1614,"('제작', 5)"
1615,"('자유', 5)"
1616,"('마음', 5)"
1617,"('부모', 5)"
1618,"('용성', 5)"
1619,"('외면', 5)"
1620,"('한도', 5)"
1621,"('낸드', 5)"
1622,"('피케티', 5)"
1623,"('빈곤층', 5)"
1624,"('킹', 5)"
1625,"('패소', 5)"
1626,"('승계', 5)"
1627,"('설치', 5)"
1628,"('수리', 5)"
1629,"('수도', 5)"
1630,"('기념', 5)"
1631,"('농산물', 5)"
1632,"('균형발전', 5)"
1633,"('엄마', 5)"
1634,"('시급', 5)"
1635,"('밖', 5)"
1636,"('장려', 5)"
1637,"('그린벨트', 5)"
1638,"('심의', 5)"
1639,"('내리막', 5)"
1640,"('가습기', 5)"
1641,"('살균제', 5)"
1642,"('대진', 5)"
1643,"('택지', 5)"
1644,"('근절', 5)"
1645,"('거주', 5)"
1646,"('샤오미', 5)"
1647,"('지지', 5)"
1648,"('법정', 5)"
1649,"('연중', 5)"
1650,"('체크', 5)"
1651,"('수단', 5)"
1652,"('코딩', 5)"
1653,"('품', 5)"
1654,"('무슨', 5)"
1655,"('탈출', 5)"
1656,"('육성', 5)"
1657,"('소통', 5)"
1658,"('당', 5)"
1659,"('보증금', 5)"
1660,"('관료', 5)"
1661,"('청소기', 5)"
1662,"('판다', 5)"
1663,"('동시', 5)"
1664,"('대외', 5)"
1665,"('착공', 5)"
1666,"('급여', 5)"
1667,"('넷플릭스', 5)"
1668,"('개설', 5)"
1669,"('불만', 5)"
1670,"('발굴', 5)"
1671,"('박근혜', 5)"
1672,"('망치', 5)"
1673,"('매달', 5)"
1674,"('김종갑', 5)"
1675,"('임대료', 5)"
1676,"('타', 5)"
1677,"('강행', 5)"
1678,"('먹튀', 5)"
1679,"('학교', 5)"
1680,"('트리플', 5)"
1681,"('감정', 5)"
1682,"('허창수', 5)"
1683,"('보급', 5)"
1684,"('드루', 5)"
1685,"('소유', 5)"
1686,"('먹통', 5)"
1687,"('인건비', 5)"
1688,"('시중', 5)"
1689,"('자료', 5)"
1690,"('조짐', 5)"
1691,"('세율', 5)"
1692,"('통계청', 5)"
1693,"('출고', 5)"
1694,"('전화', 5)"
1695,"('리', 5)"
1696,"('비서', 5)"
1697,"('무엇', 5)"
1698,"('방한', 5)"
1699,"('겨울', 5)"
1700,"('부활', 5)"
1701,"('정유', 5)"
1702,"('공백', 5)"
1703,"('본부장', 5)"
1704,"('상태', 5)"
1705,"('성금', 5)"
1706,"('도움', 5)"
1707,"('구호', 5)"
1708,"('사랑', 5)"
1709,"('신기록', 5)"
1710,"('수소차', 5)"
1711,"('아동', 5)"
1712,"('인증', 5)"
1713,"('마이너스', 5)"
1714,"('대구', 5)"
1715,"('대학', 5)"
1716,"('창사', 5)"
1717,"('누가', 5)"
1718,"('주요', 5)"
1719,"('신차', 5)"
1720,"('테슬라', 5)"
1721,"('수원', 5)"
1722,"('법률', 5)"
1723,"('방북', 5)"
1724,"('현정은', 5)"
1725,"('심각', 5)"
1726,"('주춤', 5)"
1727,"('저', 5)"
1728,"('반덤핑', 5)"
1729,"('환자', 5)"
1730,"('경협주', 5)"
1731,"('동해', 5)"
1732,"('조항', 5)"
1733,"('포스코건설', 5)"
1734,"('고통', 5)"
1735,"('선호', 5)"
1736,"('유리', 5)"
1737,"('방송', 5)"
1738,"('수산물', 5)"
1739,"('벌써', 5)"
1740,"('가명', 5)"
1741,"('정상', 5)"
1742,"('비트', 5)"
1743,"('홍삼', 5)"
1744,"('삭제', 5)"
1745,"('민주당', 5)"
1746,"('생', 5)"
1747,"('디딤돌', 5)"
1748,"('미디어', 5)"
1749,"('임박', 5)"
1750,"('똘똘', 5)"
1751,"('마포', 5)"
1752,"('쿠웨이트', 5)"
1753,"('결과', 5)"
1754,"('직장', 5)"
1755,"('신입', 5)"
1756,"('경력', 5)"
1757,"('공채', 5)"
1758,"('제시', 5)"
1759,"('매물', 5)"
1760,"('약관', 5)"
1761,"('과천', 5)"
1762,"('무제', 5)"
1763,"('촉구', 5)"
1764,"('우체국', 5)"
1765,"('홍보', 5)"
1766,"('입사', 5)"
1767,"('공기청정기', 5)"
1768,"('온', 5)"
1769,"('노출', 5)"
1770,"('공부', 5)"
1771,"('재난', 5)"
1772,"('구성', 5)"
1773,"('여파', 5)"
1774,"('무선', 5)"
1775,"('저출산', 5)"
1776,"('신입사원', 5)"
1777,"('수당', 5)"
1778,"('리튬', 5)"
1779,"('전격', 5)"
1780,"('운항', 5)"
1781,"('본부', 5)"
1782,"('멜론', 5)"
1783,"('통운', 5)"
1784,"('냉면', 5)"
1785,"('유니폼', 5)"
1786,"('반입', 5)"
1787,"('노트', 5)"
1788,"('평화', 5)"
1789,"('예정', 5)"
1790,"('장벽', 5)"
1791,"('참가', 5)"
1792,"('양산', 5)"
1793,"('약', 5)"
1794,"('제거', 5)"
1795,"('과열', 5)"
1796,"('밥', 5)"
1797,"('간다', 5)"
1798,"('임팩트', 5)"
1799,"('발동', 5)"
1800,"('포기', 5)"
1801,"('변동', 5)"
1802,"('한국은행', 5)"
1803,"('등기', 5)"
1804,"('자격', 5)"
1805,"('해도', 5)"
1806,"('위메프', 5)"
1807,"('어린이', 5)"
1808,"('외환', 5)"
1809,"('호갱', 5)"
1810,"('회계부정', 5)"
1811,"('프로젝트', 5)"
1812,"('상무', 5)"
1813,"('침묵', 5)"
1814,"('손경', 5)"
1815,"('하남', 5)"
1816,"('반기', 5)"
1817,"('정비', 5)"
1818,"('근무시간', 5)"
1819,"('원칙', 5)"
1820,"('선거', 5)"
1821,"('상담', 5)"
1822,"('워', 5)"
1823,"('구한', 5)"
1824,"('경매', 5)"
1825,"('다자', 5)"
1826,"('강요', 5)"
1827,"('큐셀', 5)"
1828,"('한파', 5)"
1829,"('공세', 5)"
1830,"('외환시장', 5)"
1831,"('통보', 5)"
1832,"('시나리오', 5)"
1833,"('창원', 5)"
1834,"('임단협', 5)"
1835,"('배달', 5)"
1836,"('열', 5)"
1837,"('실사', 5)"
1838,"('새해', 5)"
1839,"('시가총액', 5)"
1840,"('분기', 4)"
1841,"('체', 4)"
1842,"('고삐', 4)"
1843,"('음란물', 4)"
1844,"('징벌', 4)"
1845,"('표본', 4)"
1846,"('무용지물', 4)"
1847,"('사건', 4)"
1848,"('조합', 4)"
1849,"('재직', 4)"
1850,"('후끈', 4)"
1851,"('청문회', 4)"
1852,"('홍', 4)"
1853,"('꼴찌', 4)"
1854,"('활', 4)"
1855,"('바', 4)"
1856,"('저축', 4)"
1857,"('빅', 4)"
1858,"('최선', 4)"
1859,"('운전자', 4)"
1860,"('국적', 4)"
1861,"('고심', 4)"
1862,"('청산', 4)"
1863,"('거제', 4)"
1864,"('발암', 4)"
1865,"('전북', 4)"
1866,"('탈락', 4)"
1867,"('폴', 4)"
1868,"('필', 4)"
1869,"('배출', 4)"
1870,"('직격탄', 4)"
1871,"('자리', 4)"
1872,"('산다', 4)"
1873,"('돌파구', 4)"
1874,"('유선', 4)"
1875,"('금융위기', 4)"
1876,"('숨통', 4)"
1877,"('세균', 4)"
1878,"('구입', 4)"
1879,"('결혼', 4)"
1880,"('경상수지', 4)"
1881,"('재미', 4)"
1882,"('입장', 4)"
1883,"('경유', 4)"
1884,"('폭등', 4)"
1885,"('유한양행', 4)"
1886,"('안위', 4)"
1887,"('네트워크', 4)"
1888,"('퀄컴', 4)"
1889,"('앞서', 4)"
1890,"('맘', 4)"
1891,"('입국', 4)"
1892,"('만원', 4)"
1893,"('스모', 4)"
1894,"('제보', 4)"
1895,"('니', 4)"
1896,"('김영배', 4)"
1897,"('쌀', 4)"
1898,"('일정', 4)"
1899,"('알고리즘', 4)"
1900,"('깜짝', 4)"
1901,"('왜곡', 4)"
1902,"('비즈니스', 4)"
1903,"('낼', 4)"
1904,"('해고자', 4)"
1905,"('성분', 4)"
1906,"('패러다임', 4)"
1907,"('새만금', 4)"
1908,"('허가', 4)"
1909,"('신한', 4)"
1910,"('조직', 4)"
1911,"('금고', 4)"
1912,"('국감', 4)"
1913,"('갈수록', 4)"
1914,"('수상한', 4)"
1915,"('외압', 4)"
1916,"('에어부산', 4)"
1917,"('마리', 4)"
1918,"('촉진', 4)"
1919,"('코웨이', 4)"
1920,"('동참', 4)"
1921,"('사이', 4)"
1922,"('임기', 4)"
1923,"('생계', 4)"
1924,"('자동', 4)"
1925,"('여', 4)"
1926,"('민원', 4)"
1927,"('볼트', 4)"
1928,"('여객', 4)"
1929,"('국내선', 4)"
1930,"('나흘', 4)"
1931,"('성범죄', 4)"
1932,"('다리', 4)"
1933,"('깜깜', 4)"
1934,"('한번', 4)"
1935,"('경제정책', 4)"
1936,"('악재', 4)"
1937,"('패닉', 4)"
1938,"('되풀이', 4)"
1939,"('위협', 4)"
1940,"('약세', 4)"
1941,"('도시재생', 4)"
1942,"('반전', 4)"
1943,"('성능', 4)"
1944,"('저하', 4)"
1945,"('월간', 4)"
1946,"('초소', 4)"
1947,"('조치', 4)"
1948,"('청소', 4)"
1949,"('대처', 4)"
1950,"('로템', 4)"
1951,"('중개사', 4)"
1952,"('무기', 4)"
1953,"('방침', 4)"
1954,"('방산', 4)"
1955,"('스튜어드', 4)"
1956,"('예외', 4)"
1957,"('역설', 4)"
1958,"('회피', 4)"
1959,"('주자', 4)"
1960,"('연료', 4)"
1961,"('개미', 4)"
1962,"('세월호', 4)"
1963,"('승차', 4)"
1964,"('경제민주화', 4)"
1965,"('정기', 4)"
1966,"('징계', 4)"
1967,"('진흥', 4)"
1968,"('차세대', 4)"
1969,"('오전', 4)"
1970,"('접속', 4)"
1971,"('계기', 4)"
1972,"('프랜차이즈', 4)"
1973,"('용역', 4)"
1974,"('단말기', 4)"
1975,"('대리점', 4)"
1976,"('실직', 4)"
1977,"('편중', 4)"
1978,"('돌입', 4)"
1979,"('난', 4)"
1980,"('광해', 4)"
1981,"('자가', 4)"
1982,"('출산율', 4)"
1983,"('카뱅', 4)"
1984,"('증여', 4)"
1985,"('단기', 4)"
1986,"('사흘', 4)"
1987,"('곧', 4)"
1988,"('언급', 4)"
1989,"('실검', 4)"
1990,"('부업', 4)"
1991,"('대치', 4)"
1992,"('티몬', 4)"
1993,"('관건', 4)"
1994,"('호주', 4)"
1995,"('실시', 4)"
1996,"('복구', 4)"
1997,"('종료', 4)"
1998,"('남편', 4)"
1999,"('고작', 4)"
2000,"('고령화', 4)"
2001,"('경차', 4)"
2002,"('파트너', 4)"
2003,"('의사', 4)"
2004,"('치킨', 4)"
2005,"('쟁점', 4)"
2006,"('아이템', 4)"
2007,"('후원', 4)"
2008,"('스위스', 4)"
2009,"('잔치', 4)"
2010,"('축', 4)"
2011,"('도심', 4)"
2012,"('고위', 4)"
2013,"('논쟁', 4)"
2014,"('불똥', 4)"
2015,"('경', 4)"
2016,"('식', 4)"
2017,"('자재', 4)"
2018,"('파문', 4)"
2019,"('오피스텔', 4)"
2020,"('행정', 4)"
2021,"('담배', 4)"
2022,"('복합', 4)"
2023,"('메시지', 4)"
2024,"('유', 4)"
2025,"('핑계', 4)"
2026,"('신도시', 4)"
2027,"('해제', 4)"
2028,"('풀', 4)"
2029,"('산림', 4)"
2030,"('훼손', 4)"
2031,"('처분', 4)"
2032,"('매수', 4)"
2033,"('눈치', 4)"
2034,"('사내', 4)"
2035,"('실수', 4)"
2036,"('정신', 4)"
2037,"('화상', 4)"
2038,"('청구', 4)"
2039,"('자전거', 4)"
2040,"('과일', 4)"
2041,"('명단', 4)"
2042,"('세부', 4)"
2043,"('무단', 4)"
2044,"('홀로', 4)"
2045,"('소리', 4)"
2046,"('검증', 4)"
2047,"('도매', 4)"
2048,"('대가', 4)"
2049,"('폴크스바겐', 4)"
2050,"('복직', 4)"
2051,"('답', 4)"
2052,"('공법', 4)"
2053,"('참여정부', 4)"
2054,"('동북아', 4)"
2055,"('눈길', 4)"
2056,"('경비', 4)"
2057,"('노무', 4)"
2058,"('일제', 4)"
2059,"('신호', 4)"
2060,"('배임', 4)"
2061,"('적격성', 4)"
2062,"('간담', 4)"
2063,"('아이디어', 4)"
2064,"('경진', 4)"
2065,"('여름', 4)"
2066,"('기보', 4)"
2067,"('신종', 4)"
2068,"('안산', 4)"
2069,"('존중', 4)"
2070,"('도약', 4)"
2071,"('글쎄', 4)"
2072,"('상권', 4)"
2073,"('사가', 4)"
2074,"('성차별', 4)"
2075,"('과연', 4)"
2076,"('대졸', 4)"
2077,"('부작용', 4)"
2078,"('미래에셋', 4)"
2079,"('업데이트', 4)"
2080,"('무한', 4)"
2081,"('현', 4)"
2082,"('궁금증', 4)"
2083,"('경남', 4)"
2084,"('과실', 4)"
2085,"('입점', 4)"
2086,"('날개', 4)"
2087,"('기념우표', 4)"
2088,"('원점', 4)"
2089,"('남녀', 4)"
2090,"('빅스', 4)"
2091,"('방위', 4)"
2092,"('전성인', 4)"
2093,"('너', 4)"
2094,"('재차', 4)"
2095,"('윤리', 4)"
2096,"('뇌물', 4)"
2097,"('건설업', 4)"
2098,"('예방', 4)"
2099,"('정용진', 4)"
2100,"('맵', 4)"
2101,"('핀셋', 4)"
2102,"('불안감', 4)"
2103,"('석', 4)"
2104,"('과잉', 4)"
2105,"('중고', 4)"
2106,"('글', 4)"
2107,"('성과', 4)"
2108,"('유동성', 4)"
2109,"('차주', 4)"
2110,"('불티', 4)"
2111,"('서울대', 4)"
2112,"('규정', 4)"
2113,"('해상', 4)"
2114,"('조현준', 4)"
2115,"('명품', 4)"
2116,"('소프트웨어', 4)"
2117,"('밀수', 4)"
2118,"('합동', 4)"
2119,"('댐', 4)"
2120,"('드림', 4)"
2121,"('디젤', 4)"
2122,"('상향', 4)"
2123,"('덕분', 4)"
2124,"('총파업', 4)"
2125,"('만남', 4)"
2126,"('조회', 4)"
2127,"('자문', 4)"
2128,"('감축', 4)"
2129,"('야근', 4)"
2130,"('렌터카', 4)"
2131,"('지점', 4)"
2132,"('선출', 4)"
2133,"('노동시간', 4)"
2134,"('연장', 4)"
2135,"('씨', 4)"
2136,"('광풍', 4)"
2137,"('월급쟁이', 4)"
2138,"('김광수', 4)"
2139,"('소동', 4)"
2140,"('몰이', 4)"
2141,"('나무', 4)"
2142,"('예비', 4)"
2143,"('가요', 4)"
2144,"('벨로스', 4)"
2145,"('비결', 4)"
2146,"('바로', 4)"
2147,"('대우조선', 4)"
2148,"('집회', 4)"
2149,"('동영상', 4)"
2150,"('균형', 4)"
2151,"('전체', 4)"
2152,"('아웃', 4)"
2153,"('번호', 4)"
2154,"('무산', 4)"
2155,"('줄줄이', 4)"
2156,"('증자', 4)"
2157,"('과태료', 4)"
2158,"('규', 4)"
2159,"('인프라', 4)"
2160,"('직업', 4)"
2161,"('웹툰', 4)"
2162,"('월드컵', 4)"
2163,"('로밍', 4)"
2164,"('공동체', 4)"
2165,"('대강', 4)"
2166,"('캠페인', 4)"
2167,"('대상자', 4)"
2168,"('영진', 4)"
2169,"('악용', 4)"
