,경제단어
264,"('선정', 26)"
265,"('세금', 26)"
266,"('주가', 26)"
267,"('사람', 26)"
268,"('법인', 26)"
269,"('참여', 26)"
270,"('역대', 26)"
271,"('요금', 26)"
272,"('고객', 26)"
273,"('연금', 26)"
274,"('북한', 26)"
275,"('중단', 26)"
276,"('지엠', 26)"
277,"('신규', 26)"
278,"('택시', 25)"
279,"('상반기', 25)"
280,"('땐', 25)"
281,"('모바일', 25)"
282,"('전기차', 25)"
283,"('문제', 25)"
284,"('종부세', 25)"
285,"('연', 25)"
286,"('국민', 25)"
287,"('돈', 25)"
288,"('항공', 25)"
289,"('소비자', 25)"
290,"('회복', 25)"
291,"('공공기관', 25)"
292,"('발전', 25)"
293,"('선임', 25)"
294,"('주도', 25)"
295,"('여성', 25)"
296,"('유럽', 24)"
297,"('뱅크', 24)"
298,"('반대', 24)"
299,"('혐의', 24)"
300,"('노동', 24)"
301,"('폐지', 24)"
302,"('애플', 24)"
303,"('까닭', 24)"
304,"('이', 24)"
305,"('논의', 24)"
306,"('최초', 24)"
307,"('속', 24)"
308,"('치', 24)"
309,"('추석', 24)"
310,"('채', 24)"
311,"('유출', 24)"
312,"('지배구조', 24)"
313,"('최종', 23)"
314,"('규모', 23)"
315,"('최', 23)"
316,"('하이닉스', 23)"
317,"('하루', 23)"
318,"('국회', 23)"
319,"('분', 23)"
320,"('이용', 23)"
321,"('화재', 23)"
322,"('플랫폼', 23)"
323,"('합의', 23)"
324,"('계약', 23)"
325,"('액', 23)"
326,"('기', 23)"
327,"('예산', 23)"
328,"('실적', 23)"
329,"('공인', 23)"
330,"('듯', 23)"
331,"('희망', 23)"
332,"('임원', 23)"
333,"('모두', 23)"
334,"('편의점', 23)"
335,"('상', 23)"
336,"('급등', 23)"
337,"('한전', 22)"
338,"('펀드', 22)"
339,"('부진', 22)"
340,"('공동', 22)"
341,"('로봇', 22)"
342,"('계', 22)"
343,"('태양광', 22)"
344,"('사용', 22)"
345,"('폭', 22)"
346,"('가맹', 22)"
347,"('폭염', 22)"
348,"('점검', 22)"
349,"('조현민', 22)"
350,"('격차', 21)"
351,"('진출', 21)"
352,"('본격', 21)"
353,"('개인', 21)"
354,"('미세먼지', 21)"
355,"('분쟁', 21)"
356,"('계획', 21)"
357,"('김상조', 21)"
358,"('노동자', 21)"
359,"('월', 21)"
360,"('수입', 21)"
361,"('설비', 21)"
362,"('소비', 21)"
363,"('센터', 21)"
364,"('민간', 21)"
365,"('창', 21)"
366,"('북', 21)"
367,"('제품', 21)"
368,"('갤럭시', 21)"
369,"('담합', 21)"
370,"('청와대', 21)"
371,"('전력', 21)"
372,"('지급', 21)"
373,"('공단', 21)"
374,"('페이스북', 21)"
375,"('자산', 21)"
376,"('필요', 21)"
377,"('가능성', 21)"
378,"('역', 21)"
379,"('납품', 20)"
380,"('전쟁', 20)"
381,"('엘지', 20)"
382,"('인천공항', 20)"
383,"('게임', 20)"
384,"('줄', 20)"
385,"('가치', 20)"
